step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out.T_soft,read_out.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497802,0.498005,0.497235,0.497250,0.496572,0.496515,0.499035,0.498474,0.497156,0.497167,0.498108,0.498082,0.498815,0.498803,0.497304,0.497380,0.498141,0.498122,0.498585,0.498634,0.497916,0.497952,0.498707,0.498686,0.498516,0.498479,0.498277,0.498293,0.499498,0.499457,0.498730,0.498668,0.498145,0.498170,0.499343,0.499320,0.497149,0.497284
400,0.491370,0.493596,0.493754,0.493951,0.487984,0.488118,0.501645,0.497467,0.494173,0.494602,0.497774,0.497313,0.501298,0.498610,0.492129,0.492795,0.495155,0.495005,0.500112,0.498047,0.495016,0.495416,0.497353,0.496905,0.497663,0.496728,0.497560,0.497699,0.500026,0.499757,0.498840,0.498033,0.496916,0.497156,0.499271,0.499085,0.492678,0.493341
600,0.480101,0.486008,0.486998,0.488058,0.475163,0.476358,0.512482,0.501282,0.486433,0.487558,0.492707,0.491176,0.513762,0.503833,0.481690,0.482749,0.487502,0.487222,0.510658,0.500725,0.487573,0.488502,0.493507,0.492307,0.500538,0.495690,0.496229,0.496675,0.502255,0.501368,0.503005,0.499126,0.494949,0.495364,0.499891,0.499416,0.487374,0.487921
800,0.465643,0.475727,0.475109,0.477841,0.459628,0.462424,0.528523,0.507862,0.471430,0.472127,0.482663,0.479036,0.533374,0.513724,0.467354,0.467654,0.475784,0.474985,0.530585,0.509047,0.473300,0.473838,0.485437,0.483011,0.510671,0.497093,0.491844,0.492683,0.507701,0.505101,0.515710,0.503966,0.490780,0.491131,0.501533,0.500364,0.482215,0.480396
1000,0.450832,0.464638,0.461800,0.466192,0.444087,0.447940,0.547596,0.515604,0.457751,0.455061,0.471881,0.464714,0.556890,0.525242,0.456727,0.452985,0.467675,0.464394,0.554894,0.519844,0.458542,0.456265,0.476084,0.471206,0.529435,0.502730,0.486010,0.486441,0.515992,0.510458,0.536853,0.513536,0.484399,0.483497,0.503278,0.501035,0.483433,0.473546
1200,0.440054,0.456272,0.450037,0.455467,0.430838,0.434649,0.567963,0.523714,0.455906,0.444128,0.467534,0.454188,0.580178,0.535032,0.454615,0.441749,0.464193,0.455821,0.580012,0.530789,0.451348,0.441619,0.467324,0.458560,0.550190,0.510580,0.479891,0.478285,0.525360,0.515817,0.563299,0.527284,0.478697,0.474891,0.505346,0.501413,0.493738,0.469251
1400,0.432266,0.450258,0.438977,0.445169,0.420276,0.422480,0.588030,0.531703,0.463729,0.438630,0.470775,0.447209,0.604817,0.545300,0.463898,0.435764,0.467530,0.451692,0.606363,0.540793,0.452422,0.430012,0.462858,0.447980,0.573018,0.518750,0.474014,0.469011,0.533955,0.520008,0.590246,0.540986,0.474681,0.465684,0.506724,0.500990,0.510155,0.467490
1600,0.426334,0.445205,0.429862,0.435977,0.413611,0.412144,0.605883,0.537100,0.478403,0.437505,0.479347,0.443398,0.629935,0.555187,0.478825,0.433582,0.477972,0.451876,0.631703,0.549499,0.464461,0.422236,0.464344,0.440758,0.598371,0.528770,0.471800,0.459724,0.542560,0.523439,0.618879,0.553866,0.474240,0.455313,0.507672,0.499836,0.530924,0.467495
1800,0.422015,0.440897,0.423518,0.428661,0.413151,0.404587,0.624196,0.543282,0.496884,0.440882,0.495154,0.446029,0.655483,0.564807,0.496141,0.433977,0.491994,0.454432,0.657303,0.557514,0.480811,0.419649,0.469294,0.435148,0.624403,0.538666,0.471901,0.450859,0.550592,0.525811,0.648447,0.566268,0.477412,0.445458,0.508225,0.498178,0.554612,0.468221
