step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out.T_soft,read_out.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497973,0.498227,0.498236,0.498254,0.497960,0.497930,0.499160,0.498849,0.498273,0.498324,0.499294,0.499290,0.498764,0.498741,0.498221,0.498289,0.499462,0.499457,0.499282,0.499196,0.498162,0.498298,0.499172,0.499172,0.498911,0.498896,0.498807,0.498836,0.499829,0.499820,0.499010,0.499008,0.498935,0.498939,0.499899,0.499895,0.497881,0.497868
400,0.490634,0.493095,0.495561,0.495694,0.492359,0.492470,0.502679,0.499611,0.493330,0.493707,0.496619,0.496458,0.499236,0.497713,0.493584,0.494042,0.498465,0.498309,0.503613,0.501326,0.493234,0.493951,0.497783,0.497734,0.499322,0.498369,0.497121,0.497396,0.500412,0.500224,0.498275,0.498167,0.498433,0.498548,0.500140,0.500115,0.494630,0.494825
600,0.478054,0.484302,0.489759,0.490345,0.481466,0.482409,0.511835,0.503863,0.482368,0.482764,0.488361,0.487814,0.505918,0.498735,0.481728,0.482467,0.491885,0.491237,0.514394,0.506557,0.482292,0.483211,0.494095,0.493959,0.503115,0.498397,0.490573,0.491176,0.501457,0.500812,0.498489,0.496710,0.497220,0.497598,0.500887,0.500738,0.491232,0.490665
800,0.461447,0.472067,0.478585,0.480332,0.464420,0.466421,0.525228,0.509343,0.466294,0.466090,0.473532,0.472169,0.519501,0.502421,0.463872,0.464349,0.481370,0.479566,0.532849,0.515124,0.467039,0.466377,0.486568,0.485787,0.516979,0.502697,0.477107,0.476897,0.502583,0.500878,0.502984,0.496097,0.494530,0.495087,0.503089,0.502418,0.493689,0.487575
1000,0.447602,0.461868,0.464873,0.467932,0.446088,0.448913,0.542285,0.516476,0.452537,0.448943,0.458260,0.454963,0.537167,0.507798,0.446880,0.444966,0.469596,0.465639,0.552914,0.522925,0.452675,0.448825,0.477165,0.474318,0.536511,0.509002,0.463361,0.460319,0.504036,0.499956,0.513135,0.497600,0.490197,0.490394,0.507707,0.505657,0.508665,0.488325
1200,0.437871,0.454228,0.451854,0.456075,0.429934,0.432801,0.559222,0.523505,0.447655,0.436650,0.449071,0.441627,0.553481,0.512335,0.435062,0.427510,0.461118,0.453104,0.575097,0.531660,0.445114,0.434344,0.473407,0.467303,0.560921,0.519709,0.453751,0.445501,0.506021,0.498381,0.528156,0.502404,0.487079,0.485795,0.514977,0.510556,0.529685,0.491436
1400,0.430832,0.448053,0.440810,0.445576,0.416421,0.418312,0.574555,0.529326,0.451455,0.429396,0.448234,0.432421,0.573465,0.518594,0.432754,0.414618,0.457236,0.442451,0.597624,0.539313,0.444211,0.421995,0.470468,0.459375,0.584224,0.527748,0.448131,0.431881,0.507399,0.495015,0.542205,0.505773,0.484004,0.480970,0.523982,0.516349,0.554407,0.496582
1600,0.426117,0.443295,0.431789,0.436405,0.405905,0.405328,0.588848,0.534503,0.462299,0.427270,0.455148,0.428123,0.592894,0.523440,0.438230,0.405547,0.458032,0.434878,0.620288,0.547815,0.449506,0.412741,0.471265,0.454061,0.608644,0.536866,0.447842,0.420957,0.508913,0.490397,0.558975,0.510684,0.482051,0.476056,0.535849,0.523763,0.582270,0.502773
1800,0.423396,0.439945,0.424573,0.427886,0.400662,0.394846,0.603876,0.540108,0.476257,0.427785,0.465720,0.426969,0.611721,0.527959,0.449133,0.400556,0.465198,0.431151,0.642603,0.554291,0.462171,0.407263,0.475549,0.450790,0.633915,0.544944,0.453935,0.412663,0.512597,0.487732,0.574398,0.513496,0.480435,0.471377,0.546473,0.530215,0.610879,0.508679
