step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.501850,0.501973,0.497741,0.497722,0.496934,0.496824,0.498233,0.497935,0.499399,0.499390,0.498199,0.497830,0.498591,0.498601,0.499627,0.499623,0.501734,0.501268,0.499665,0.499648,0.499589,0.499595,0.502444,0.502025,0.499396,0.499345,0.499299,0.499313,0.502632,0.502287,0.499807,0.499752,0.499612,0.499617,0.502583,0.502166
400,0.505303,0.505982,0.488380,0.488357,0.488983,0.488185,0.493087,0.490845,0.494029,0.494005,0.492359,0.490752,0.493508,0.492439,0.495732,0.495599,0.504367,0.500296,0.498375,0.498294,0.499823,0.499871,0.511252,0.509032,0.499168,0.496286,0.495567,0.495424,0.511482,0.509384,0.497247,0.494963,0.495320,0.495232,0.511947,0.511003
600,0.504464,0.506195,0.471551,0.471615,0.479433,0.476877,0.484978,0.478599,0.479671,0.479738,0.486051,0.481805,0.486753,0.482032,0.485639,0.485087,0.504486,0.495120,0.496119,0.495262,0.497912,0.498282,0.520963,0.514767,0.504158,0.495326,0.492719,0.490790,0.525768,0.519408,0.501041,0.486088,0.488153,0.487474,0.526116,0.521807
800,0.494410,0.497171,0.448245,0.448210,0.468287,0.462666,0.476482,0.460850,0.456635,0.456481,0.479712,0.470940,0.479989,0.466509,0.469059,0.467838,0.504085,0.487166,0.493046,0.490627,0.491951,0.492499,0.529494,0.520412,0.508962,0.497580,0.493684,0.488728,0.539840,0.529736,0.504232,0.480706,0.490009,0.481344,0.538530,0.534325
1000,0.474669,0.477890,0.423216,0.422934,0.456137,0.446063,0.481177,0.441390,0.432869,0.431758,0.475193,0.458487,0.481158,0.449557,0.447852,0.445562,0.505195,0.477907,0.489064,0.483832,0.483675,0.483459,0.534715,0.520267,0.518335,0.504784,0.495003,0.488209,0.552581,0.538030,0.507568,0.478098,0.493640,0.481629,0.549154,0.539467
1200,0.454375,0.457745,0.399949,0.399189,0.445953,0.429527,0.499101,0.425539,0.413703,0.409455,0.475474,0.446843,0.492305,0.435635,0.427423,0.423294,0.508839,0.469043,0.486795,0.477864,0.477390,0.475046,0.536740,0.516089,0.529977,0.513075,0.496979,0.487817,0.569172,0.542021,0.514287,0.468388,0.499229,0.480449,0.565687,0.543574
1400,0.433280,0.436604,0.379375,0.377213,0.437359,0.413496,0.522480,0.412647,0.403434,0.389956,0.479257,0.436482,0.508895,0.423500,0.410175,0.402795,0.513423,0.460892,0.483077,0.469395,0.472037,0.466321,0.537939,0.510837,0.536933,0.517483,0.498142,0.487281,0.584137,0.545972,0.521255,0.460930,0.505055,0.480629,0.580750,0.546916
1600,0.412461,0.415682,0.365255,0.357153,0.431047,0.397767,0.548831,0.403126,0.406954,0.374390,0.487262,0.427138,0.529724,0.413795,0.398634,0.384847,0.519412,0.452767,0.480877,0.460935,0.468595,0.458761,0.538807,0.505015,0.541053,0.518582,0.498520,0.486595,0.598548,0.549563,0.530113,0.451065,0.512575,0.480122,0.592866,0.549891
1800,0.392920,0.396000,0.371720,0.339599,0.428047,0.382907,0.575749,0.395639,0.419610,0.361862,0.498813,0.419109,0.552830,0.406299,0.394327,0.367968,0.526529,0.444720,0.478894,0.452106,0.466128,0.450826,0.539368,0.498346,0.543259,0.517485,0.498594,0.485413,0.610149,0.552682,0.538729,0.443557,0.519496,0.480364,0.604272,0.552676
2000,0.373231,0.376162,0.389720,0.324443,0.429083,0.368476,0.605205,0.387434,0.437458,0.351722,0.513912,0.411405,0.577173,0.400013,0.401196,0.353350,0.535191,0.436355,0.478337,0.443707,0.465957,0.443730,0.539849,0.491327,0.542182,0.513989,0.496653,0.483015,0.623482,0.556462,0.552862,0.435904,0.528516,0.480722,0.613313,0.555217
2200,0.355150,0.357947,0.410394,0.312828,0.433025,0.355279,0.634977,0.379799,0.457299,0.344902,0.530117,0.404780,0.602811,0.393815,0.413307,0.341959,0.543630,0.427872,0.478356,0.436059,0.467134,0.436854,0.541114,0.484727,0.540212,0.510339,0.493688,0.479841,0.637963,0.561314,0.563850,0.430585,0.538531,0.482130,0.621000,0.557347
2400,0.337450,0.340104,0.431864,0.306891,0.441036,0.342764,0.663467,0.372829,0.478118,0.339670,0.548729,0.398349,0.629889,0.388071,0.430760,0.332468,0.553803,0.419133,0.479441,0.427856,0.470227,0.430478,0.542425,0.477915,0.539004,0.507557,0.488415,0.475190,0.647165,0.566689,0.579003,0.428594,0.546435,0.483308,0.627282,0.559177
2600,0.321438,0.323973,0.453785,0.304028,0.451930,0.331643,0.693014,0.365982,0.500593,0.335267,0.568025,0.392274,0.656546,0.382250,0.449338,0.324263,0.562735,0.411053,0.481150,0.420219,0.475240,0.424660,0.543627,0.471008,0.537625,0.504567,0.484354,0.470958,0.650854,0.570320,0.592860,0.427578,0.556882,0.484814,0.632861,0.560895
2800,0.306651,0.309061,0.476294,0.301213,0.463051,0.322302,0.721858,0.358734,0.523871,0.331767,0.585983,0.387278,0.683364,0.376376,0.468973,0.318427,0.570866,0.403416,0.483142,0.411847,0.481290,0.419004,0.544677,0.464549,0.535892,0.500849,0.479508,0.465425,0.649468,0.569447,0.606874,0.428986,0.563243,0.485968,0.637272,0.562309
3000,0.292652,0.294934,0.499306,0.298949,0.477763,0.313526,0.751043,0.351140,0.547321,0.328975,0.606945,0.382208,0.711102,0.371116,0.489541,0.313119,0.581279,0.395322,0.486576,0.405145,0.488241,0.414712,0.545972,0.457693,0.536088,0.499208,0.477499,0.461795,0.648354,0.566713,0.620502,0.430750,0.570452,0.487361,0.641196,0.563585
3200,0.279784,0.281957,0.522306,0.296619,0.492793,0.305585,0.779494,0.343541,0.570740,0.326509,0.627043,0.377810,0.738756,0.365215,0.510291,0.308908,0.590759,0.387581,0.489497,0.399434,0.494430,0.410966,0.547175,0.451221,0.537205,0.497959,0.476654,0.458037,0.646942,0.563297,0.630665,0.432931,0.580360,0.488366,0.644538,0.564693
3400,0.268033,0.270100,0.545274,0.293289,0.509637,0.298299,0.806731,0.336161,0.594309,0.323336,0.648318,0.373310,0.766465,0.359265,0.530986,0.305693,0.601166,0.379917,0.493290,0.393348,0.502637,0.407199,0.548736,0.443851,0.537648,0.496535,0.476884,0.454808,0.644192,0.558186,0.643564,0.437416,0.588702,0.488605,0.647655,0.565793
3600,0.257333,0.259310,0.567843,0.290795,0.525658,0.292715,0.831215,0.329435,0.617156,0.320512,0.668088,0.369269,0.793566,0.353528,0.551358,0.302335,0.609767,0.373200,0.497806,0.388339,0.510037,0.404046,0.550140,0.437874,0.538609,0.495122,0.477271,0.451289,0.640904,0.551845,0.652191,0.438805,0.595646,0.489412,0.649870,0.566550
3800,0.247522,0.249404,0.590287,0.287595,0.541825,0.287204,0.856622,0.322243,0.640438,0.317671,0.688880,0.365070,0.819710,0.348510,0.571148,0.299838,0.620229,0.366247,0.502570,0.384072,0.518336,0.400915,0.551968,0.431655,0.539809,0.494022,0.479213,0.449228,0.638697,0.546874,0.662316,0.442705,0.602507,0.490127,0.652008,0.567297
4000,0.238552,0.240346,0.612308,0.284064,0.558161,0.282341,0.879615,0.316283,0.662110,0.314825,0.708791,0.360801,0.846044,0.342960,0.590623,0.296394,0.629934,0.359520,0.506338,0.378819,0.525481,0.397750,0.553794,0.426166,0.540680,0.492720,0.481575,0.447299,0.634906,0.541401,0.670789,0.445562,0.607554,0.490241,0.653789,0.567903
