step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497784,0.497699,0.498651,0.498662,0.498831,0.498779,0.498043,0.497968,0.499226,0.498910,0.500468,0.500504,0.500226,0.500209,0.502457,0.502437,0.499462,0.499539,0.501020,0.501129,0.501470,0.501479,0.502637,0.502685,0.500166,0.500267,0.499833,0.499834,0.499465,0.499453,0.502602,0.502464,0.499860,0.499966,0.501767,0.501849,0.501894,0.501901,0.502681,0.502728,0.499918,0.500152,0.501408,0.501490,0.500889,0.500887,0.502830,0.502813
400,0.487651,0.487553,0.503057,0.503290,0.494079,0.493628,0.488647,0.488706,0.494508,0.493893,0.497170,0.497152,0.496359,0.496164,0.506134,0.505637,0.500798,0.500529,0.502279,0.502195,0.502101,0.501766,0.513169,0.512866,0.500974,0.501000,0.499484,0.498641,0.495151,0.495165,0.512034,0.510561,0.499263,0.499500,0.503372,0.498864,0.497773,0.497667,0.512724,0.512399,0.500616,0.500693,0.502434,0.500770,0.496319,0.496313,0.512776,0.512366
600,0.472241,0.472116,0.511217,0.511779,0.488310,0.487246,0.475853,0.476220,0.487216,0.485987,0.493679,0.493798,0.492115,0.491147,0.509354,0.508087,0.504091,0.503241,0.504353,0.503569,0.498847,0.495237,0.526811,0.526988,0.499219,0.498940,0.504268,0.499757,0.484402,0.483531,0.528620,0.519329,0.498352,0.498690,0.501934,0.486590,0.486777,0.486340,0.528019,0.528396,0.498852,0.498995,0.508734,0.495870,0.488034,0.488055,0.528365,0.527918
800,0.451321,0.451121,0.517390,0.518345,0.483526,0.481926,0.459548,0.460090,0.477002,0.472302,0.489370,0.489986,0.488148,0.485728,0.506823,0.504852,0.508562,0.506918,0.507284,0.506120,0.499777,0.493545,0.540972,0.542739,0.497754,0.497425,0.512361,0.505056,0.477179,0.473834,0.548660,0.527753,0.496332,0.495517,0.504067,0.475204,0.477772,0.476703,0.542977,0.542746,0.497544,0.497628,0.515434,0.489383,0.479581,0.479649,0.541004,0.539665
1000,0.426210,0.425943,0.518784,0.520269,0.475123,0.472413,0.440515,0.441003,0.470760,0.457174,0.484722,0.485970,0.484445,0.480620,0.501727,0.499241,0.509387,0.507028,0.507218,0.505993,0.500105,0.492506,0.553397,0.553961,0.496934,0.496536,0.520401,0.511092,0.478566,0.467348,0.566445,0.534938,0.494652,0.493735,0.507338,0.466606,0.475415,0.469452,0.557563,0.551294,0.495117,0.495269,0.521247,0.487467,0.473238,0.471596,0.555394,0.545329
1200,0.403233,0.402844,0.517256,0.519074,0.465178,0.461300,0.419862,0.420127,0.469006,0.441965,0.479069,0.480887,0.479271,0.473253,0.493794,0.490858,0.509325,0.506491,0.506011,0.504824,0.499895,0.491113,0.565284,0.562149,0.496183,0.496097,0.530741,0.517834,0.480900,0.460861,0.584021,0.544340,0.492893,0.493067,0.509717,0.456572,0.480029,0.464953,0.567394,0.555299,0.492651,0.492932,0.526469,0.484060,0.470975,0.464621,0.564909,0.548581
