step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L6.qk_lut.T_soft,L6.qk_lut.T_sel,L6.v_lut.T_soft,L6.v_lut.T_sel,L6.out_proj.T_soft,L6.out_proj.T_sel,L7.qk_lut.T_soft,L7.qk_lut.T_sel,L7.v_lut.T_soft,L7.v_lut.T_sel,L7.out_proj.T_soft,L7.out_proj.T_sel,L8.qk_lut.T_soft,L8.qk_lut.T_sel,L8.v_lut.T_soft,L8.v_lut.T_sel,L8.out_proj.T_soft,L8.out_proj.T_sel,L9.qk_lut.T_soft,L9.qk_lut.T_sel,L9.v_lut.T_soft,L9.v_lut.T_sel,L9.out_proj.T_soft,L9.out_proj.T_sel,L10.qk_lut.T_soft,L10.qk_lut.T_sel,L10.v_lut.T_soft,L10.v_lut.T_sel,L10.out_proj.T_soft,L10.out_proj.T_sel,L11.qk_lut.T_soft,L11.qk_lut.T_sel,L11.v_lut.T_soft,L11.v_lut.T_sel,L11.out_proj.T_soft,L11.out_proj.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498310,0.498350,0.497923,0.497909,0.497898,0.497892,0.498372,0.498044,0.497928,0.497920,0.497930,0.497924,0.498227,0.498056,0.497932,0.497922,0.498002,0.497994,0.498257,0.497993,0.497902,0.497895,0.498570,0.498548,0.498243,0.498010,0.497926,0.497919,0.498312,0.498293,0.498395,0.498217,0.497959,0.497951,0.498164,0.498156,0.498213,0.498133,0.497930,0.497921,0.498750,0.498724,0.498427,0.498367,0.497915,0.497912,0.499111,0.499076,0.498575,0.498584,0.497957,0.497954,0.499358,0.499333,0.498476,0.498444,0.498008,0.498026,0.499328,0.499301,0.498454,0.498346,0.498126,0.498134,0.499284,0.499269,0.498477,0.498453,0.498170,0.498214,0.499284,0.499274
400,0.495733,0.496791,0.493801,0.493960,0.493253,0.493182,0.499712,0.495928,0.494537,0.494618,0.495500,0.495466,0.500462,0.494674,0.494056,0.494113,0.496041,0.496028,0.498123,0.495842,0.494605,0.494688,0.496365,0.496328,0.498512,0.495499,0.495243,0.495410,0.496134,0.496104,0.498014,0.495729,0.494613,0.494788,0.496479,0.496473,0.497862,0.496322,0.496103,0.496196,0.497201,0.497174,0.497753,0.496878,0.496543,0.496619,0.497778,0.497713,0.497421,0.496926,0.496880,0.496914,0.498268,0.498221,0.497318,0.496951,0.496914,0.496980,0.498241,0.498198,0.497655,0.497346,0.496612,0.496725,0.498049,0.498015,0.497293,0.497094,0.496833,0.496977,0.498221,0.498194
600,0.491230,0.493853,0.488744,0.489786,0.485338,0.485190,0.503051,0.493766,0.490272,0.490628,0.492154,0.491961,0.507451,0.491708,0.488338,0.488335,0.493146,0.492957,0.502942,0.494443,0.488280,0.488312,0.491928,0.491817,0.504005,0.494228,0.490756,0.490971,0.491902,0.491789,0.501410,0.492658,0.490265,0.490467,0.494525,0.494394,0.502351,0.493900,0.493100,0.493316,0.495098,0.494993,0.500648,0.495941,0.494253,0.494419,0.495758,0.495629,0.498572,0.496302,0.495853,0.495970,0.497469,0.497307,0.497933,0.496401,0.496164,0.496283,0.497650,0.497542,0.498184,0.497112,0.495290,0.495443,0.497547,0.497447,0.497548,0.496821,0.496313,0.496468,0.498014,0.497955
800,0.484876,0.488871,0.480969,0.484109,0.473461,0.473319,0.509914,0.490567,0.482270,0.482757,0.484738,0.484403,0.517867,0.489301,0.478755,0.478344,0.485804,0.485630,0.512336,0.492613,0.477924,0.477640,0.482796,0.482619,0.514727,0.493252,0.481447,0.481336,0.482139,0.482008,0.508387,0.490111,0.482666,0.482335,0.490163,0.489806,0.512440,0.492105,0.485477,0.485547,0.489259,0.489133,0.508933,0.495699,0.486424,0.486407,0.488160,0.488207,0.504175,0.495247,0.490614,0.490767,0.494504,0.493996,0.502764,0.495920,0.492611,0.492641,0.495896,0.495572,0.501397,0.497272,0.492605,0.492199,0.496583,0.496289,0.498843,0.496597,0.496019,0.495948,0.497920,0.497793
1000,0.476863,0.481651,0.470793,0.477433,0.458465,0.458341,0.520207,0.486444,0.470158,0.470390,0.472573,0.472068,0.532148,0.486991,0.466035,0.464859,0.473423,0.473212,0.526270,0.491813,0.464698,0.463875,0.468940,0.468656,0.529302,0.493553,0.469050,0.468121,0.468295,0.468053,0.519764,0.488572,0.470994,0.469713,0.481992,0.481607,0.526969,0.491127,0.474124,0.473287,0.479290,0.479355,0.523824,0.496428,0.473657,0.472717,0.474548,0.474601,0.514615,0.494561,0.480073,0.480086,0.485625,0.484961,0.512943,0.497024,0.484840,0.484114,0.491663,0.490961,0.506027,0.497948,0.489568,0.488216,0.495371,0.494954,0.502092,0.496678,0.496323,0.495428,0.497911,0.497692
1200,0.466996,0.471780,0.457747,0.468984,0.441063,0.440889,0.535581,0.482006,0.456416,0.455421,0.457344,0.456413,0.550471,0.485389,0.451857,0.448641,0.457420,0.457113,0.544040,0.491395,0.449792,0.447650,0.452226,0.451660,0.547750,0.494292,0.454508,0.451872,0.451551,0.451055,0.534812,0.488105,0.458806,0.455438,0.473713,0.473480,0.545817,0.491109,0.461497,0.458038,0.467068,0.467505,0.543804,0.498962,0.459285,0.455778,0.458135,0.457942,0.530845,0.494563,0.466083,0.465227,0.473605,0.472861,0.526193,0.499567,0.475441,0.472813,0.487236,0.486275,0.508989,0.498762,0.486715,0.484903,0.494550,0.494141,0.508667,0.497297,0.497496,0.495001,0.497888,0.497559
1400,0.455949,0.459878,0.441891,0.458255,0.421675,0.421286,0.554135,0.477699,0.445136,0.439485,0.439928,0.438150,0.572896,0.484845,0.441279,0.431142,0.439866,0.439026,0.566595,0.491255,0.437507,0.430413,0.433494,0.432260,0.571287,0.496484,0.443333,0.434343,0.433844,0.432626,0.554893,0.488594,0.446793,0.439397,0.464165,0.464306,0.568047,0.493072,0.452620,0.441458,0.454804,0.455621,0.568789,0.503949,0.450384,0.437420,0.439704,0.439034,0.552355,0.496174,0.450919,0.448028,0.456902,0.455835,0.543349,0.503171,0.468547,0.460899,0.481586,0.480186,0.513530,0.499697,0.484895,0.481427,0.493432,0.493088,0.518909,0.498564,0.499874,0.494783,0.497910,0.497380
1600,0.446419,0.447830,0.424793,0.446525,0.400689,0.399757,0.577992,0.474158,0.446062,0.426119,0.421809,0.418000,0.600461,0.483604,0.446448,0.413982,0.420864,0.418760,0.593489,0.493234,0.438486,0.414029,0.414462,0.411504,0.597060,0.497913,0.447431,0.418056,0.415677,0.412530,0.579286,0.489403,0.440645,0.422889,0.455543,0.455684,0.595101,0.495667,0.457029,0.425759,0.444247,0.444888,0.597539,0.507908,0.462780,0.419670,0.420650,0.418644,0.578660,0.497690,0.438279,0.430111,0.437953,0.436072,0.566687,0.509563,0.467341,0.448469,0.474303,0.472146,0.522917,0.503143,0.484762,0.477758,0.492160,0.491789,0.532488,0.500309,0.503477,0.494782,0.498080,0.497240
1800,0.438303,0.435490,0.408726,0.434955,0.379793,0.377976,0.604000,0.470503,0.459608,0.417607,0.407329,0.398372,0.629741,0.483755,0.467597,0.402206,0.404132,0.398563,0.621663,0.493279,0.456461,0.404227,0.399218,0.391351,0.626005,0.499272,0.467404,0.408653,0.400880,0.393122,0.607618,0.491453,0.445674,0.406585,0.446641,0.446331,0.625234,0.497807,0.475124,0.413964,0.435753,0.435004,0.631210,0.511542,0.487957,0.407932,0.403630,0.398490,0.608812,0.500040,0.435399,0.414708,0.420368,0.416304,0.591675,0.514041,0.473787,0.436572,0.465701,0.462214,0.533999,0.507009,0.486641,0.472554,0.490345,0.489915,0.547554,0.502256,0.508139,0.495034,0.498441,0.497142
2000,0.433115,0.425701,0.394523,0.424497,0.361411,0.357583,0.630326,0.467525,0.479231,0.414811,0.399552,0.380453,0.659731,0.481614,0.493053,0.401058,0.393021,0.379849,0.650757,0.491631,0.479509,0.402007,0.394309,0.374589,0.655975,0.499597,0.492806,0.407914,0.394633,0.375566,0.636022,0.490862,0.459689,0.394901,0.437007,0.435549,0.656421,0.498364,0.498237,0.406923,0.428229,0.424700,0.665582,0.513332,0.516226,0.408201,0.392739,0.380127,0.641646,0.501353,0.443690,0.402146,0.402690,0.395901,0.619248,0.519504,0.488129,0.428195,0.457419,0.451568,0.550207,0.513348,0.492865,0.466457,0.487321,0.486955,0.564124,0.504004,0.513822,0.495307,0.498803,0.496937
2200,0.430927,0.417514,0.382829,0.415112,0.345953,0.338382,0.655224,0.463288,0.503023,0.415048,0.400311,0.364178,0.688303,0.478465,0.520732,0.404800,0.391341,0.363382,0.678957,0.490267,0.505634,0.406450,0.400044,0.360329,0.685427,0.498934,0.520379,0.413456,0.399996,0.362151,0.665582,0.491454,0.480683,0.387675,0.429468,0.424980,0.688106,0.496804,0.524085,0.404237,0.422625,0.414040,0.699415,0.511222,0.546494,0.414375,0.390707,0.364345,0.675791,0.502462,0.463580,0.395173,0.389197,0.377030,0.646995,0.523114,0.508634,0.421226,0.449262,0.439644,0.565403,0.517771,0.502814,0.461230,0.484654,0.484035,0.581832,0.505422,0.520347,0.495814,0.499439,0.496809
