step,frac_zero,frac_pos,frac_neg,nonzero_per_hyperplane,hamming_vs_init,hamming_frac,sign_flips_vs_init,zero_to_nonzero_vs_init,nonzero_to_zero_vs_init,churn_vs_prev_eval,T_min,T_mean,T_max,b_min,b_mean,b_max,b_absmean,b_frac_nonzero,mean_nonzero_count,proj_std,score_over_temp,divisor_mean,sparsity_surrogate,penalty_value,target_nonzero_frac,sparsity_slack,hinge_active
0,0.336286,0.331856,0.331858,254.8664,0,0.00000000,0,0,0,0,0.392065,0.392065,0.392065,0.000000,0.000000,0.000000,0.000000,0.000000,254.8664,0.994321,1.9886,16.0000,0.624600,74.760062,0.500000,+0.124600,1
200,0.590348,0.204726,0.204926,157.3065,1146224,0.27761891,8054,44603,1093567,1146224,0.390710,0.391473,0.392318,-0.002460,-0.000010,0.002309,0.000863,1.000000,157.3065,0.771789,1.5490,16.0000,0.466722,0.000000,0.500000,-0.033278,0
400,0.641387,0.179257,0.179356,137.7074,1557382,0.37720263,52369,122660,1382353,610257,0.388126,0.390939,0.392220,-0.005456,-0.000016,0.004948,0.001518,1.000000,137.7074,0.779748,1.5753,16.0000,0.441439,0.000000,0.500000,-0.058561,0
600,0.611633,0.194244,0.194123,149.1329,1732202,0.41954455,126358,234499,1371345,593397,0.385437,0.391166,0.393403,-0.010678,-0.000015,0.008798,0.002002,1.000000,149.1329,0.771636,1.5637,16.0000,0.466023,0.000000,0.500000,-0.033977,0
800,0.615938,0.192074,0.191988,147.4797,1807381,0.43775314,146760,253000,1407621,621058,0.384761,0.392461,0.395601,-0.013895,-0.000011,0.013992,0.002442,1.000000,147.4797,0.803299,1.6175,16.0000,0.464323,0.000000,0.500000,-0.035677,0
1000,0.614072,0.192945,0.192983,148.1964,1851175,0.44836017,163556,270352,1417267,571008,0.386409,0.394520,0.398812,-0.019191,-0.000005,0.018988,0.002853,1.000000,148.1964,0.802490,1.5960,16.0000,0.461643,0.000000,0.500000,-0.038357,0
1200,0.609345,0.195205,0.195450,150.0115,1887909,0.45725724,179882,290314,1417713,575750,0.387981,0.396993,0.403036,-0.024747,-0.000006,0.026558,0.003285,1.000000,150.0115,0.736253,1.4372,16.0000,0.466857,0.047123,0.500000,-0.033143,0
1400,0.622911,0.188472,0.188617,144.8022,1904427,0.46125796,172613,274202,1457612,532034,0.389661,0.399726,0.407077,-0.025528,-0.000013,0.028913,0.003712,1.000000,144.8022,0.785798,1.4968,16.0000,0.453171,0.000000,0.500000,-0.046829,0
1600,0.604703,0.197589,0.197708,151.7941,1939327,0.46971086,201710,314692,1422925,504604,0.392851,0.402859,0.411359,-0.030309,-0.000033,0.031809,0.004224,1.000000,151.7941,0.804824,1.4814,16.0000,0.466940,0.000000,0.500000,-0.033060,0
1800,0.587421,0.206245,0.206335,158.4304,1968444,0.47676307,228563,351501,1388380,535381,0.396143,0.405718,0.420071,-0.034377,-0.000048,0.035353,0.004779,1.000000,158.4304,0.788907,1.3963,16.0000,0.481428,0.000000,0.500000,-0.018572,0
