step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2400,0.422532,0.426702,0.400378,0.353272,0.567168,0.401873,0.475084,0.375854,0.534225,0.427328,0.521086,0.433994,0.481512,0.464057,0.573093,0.525211,0.599261,0.551560,0.610647,0.563348,0.488150,0.410850,0.693210,0.599452
2600,0.406945,0.410975,0.401201,0.345176,0.582810,0.397027,0.485131,0.369711,0.543570,0.422951,0.523895,0.427128,0.481028,0.461611,0.573843,0.520937,0.605182,0.554623,0.612801,0.564619,0.485136,0.404128,0.703631,0.601615
2800,0.392544,0.396459,0.404407,0.336684,0.598666,0.392552,0.498134,0.364721,0.555565,0.419092,0.526721,0.419704,0.480104,0.458377,0.573770,0.515349,0.609770,0.558304,0.614989,0.565820,0.483131,0.398299,0.712287,0.603417
3000,0.378668,0.382467,0.407588,0.329403,0.613099,0.387838,0.510828,0.360293,0.567505,0.414920,0.530686,0.413637,0.479771,0.455601,0.573637,0.509672,0.612108,0.560816,0.617057,0.566882,0.481361,0.394197,0.720180,0.605155
3200,0.365402,0.369053,0.412708,0.322745,0.627568,0.383587,0.524868,0.356189,0.579769,0.411400,0.534873,0.407584,0.479403,0.453075,0.572995,0.503712,0.614798,0.562195,0.619432,0.567704,0.484918,0.390548,0.728312,0.606860
3400,0.352888,0.356413,0.418735,0.316697,0.640632,0.379229,0.539268,0.353003,0.591676,0.407684,0.538775,0.401519,0.479058,0.450483,0.571637,0.497620,0.620323,0.564748,0.621722,0.568433,0.494024,0.385692,0.736054,0.608570
3600,0.341097,0.344488,0.425707,0.311637,0.653630,0.375354,0.554166,0.350720,0.603392,0.403970,0.543471,0.396088,0.478712,0.447766,0.570340,0.491572,0.623700,0.567107,0.623516,0.568944,0.502196,0.381658,0.743109,0.610000
3800,0.330486,0.333778,0.432912,0.306833,0.665981,0.371559,0.568660,0.348873,0.614489,0.400624,0.547533,0.390882,0.479129,0.445758,0.569233,0.485744,0.626933,0.569034,0.625156,0.569457,0.508069,0.378573,0.748474,0.611192
4000,0.320403,0.323600,0.440703,0.302324,0.677929,0.367252,0.584017,0.346450,0.626771,0.397826,0.552744,0.385730,0.478801,0.443072,0.567964,0.479954,0.629046,0.569816,0.626577,0.569908,0.514001,0.374667,0.753514,0.612288
4200,0.311033,0.314129,0.447927,0.298929,0.687567,0.363384,0.597311,0.344629,0.638084,0.395159,0.557161,0.380823,0.479632,0.441306,0.566106,0.474054,0.629850,0.569589,0.627835,0.570369,0.520162,0.371785,0.758664,0.613501
4400,0.302509,0.305514,0.455275,0.295548,0.696391,0.359391,0.610937,0.343256,0.648311,0.391891,0.561356,0.376141,0.479989,0.439132,0.564507,0.468647,0.630690,0.569377,0.628784,0.570704,0.526388,0.368620,0.762827,0.614496
4600,0.295192,0.298133,0.462686,0.292336,0.706539,0.356065,0.624268,0.342456,0.658621,0.390001,0.565132,0.371513,0.480542,0.437238,0.562781,0.463256,0.630756,0.569324,0.629612,0.570988,0.531303,0.366128,0.766816,0.615489
4800,0.288058,0.290936,0.470630,0.289362,0.715843,0.352748,0.636928,0.341562,0.668338,0.387705,0.569482,0.367537,0.480910,0.435379,0.561292,0.458266,0.630298,0.568061,0.630294,0.571245,0.535612,0.363948,0.769854,0.616223
5000,0.281764,0.284576,0.477257,0.286773,0.723640,0.349173,0.648292,0.340456,0.676853,0.385067,0.573107,0.364225,0.480819,0.433228,0.559297,0.453238,0.629153,0.566207,0.630742,0.571359,0.539040,0.362392,0.772139,0.616770
5200,0.276052,0.278816,0.483588,0.284396,0.731817,0.346289,0.659887,0.339552,0.685685,0.383077,0.577293,0.361447,0.481563,0.431942,0.558017,0.449354,0.626663,0.563555,0.631086,0.571469,0.542180,0.361106,0.774034,0.617154
5400,0.270949,0.273666,0.490035,0.282151,0.738237,0.343571,0.670866,0.338956,0.693890,0.381344,0.580433,0.358558,0.482397,0.430836,0.556799,0.445630,0.625270,0.561576,0.631343,0.571560,0.544724,0.360107,0.775771,0.617560
5600,0.266575,0.269249,0.495687,0.280472,0.743617,0.340902,0.680248,0.338113,0.701461,0.379656,0.583146,0.355538,0.483051,0.429573,0.555738,0.442336,0.623657,0.559345,0.631584,0.571657,0.547163,0.359099,0.777214,0.617954
5800,0.262572,0.265210,0.501510,0.278603,0.748616,0.338719,0.689712,0.337823,0.708188,0.378130,0.586639,0.352987,0.483516,0.428329,0.554165,0.438855,0.621848,0.557363,0.631643,0.571724,0.549501,0.358049,0.778423,0.618276
6000,0.258968,0.261562,0.506337,0.276845,0.753101,0.336673,0.698304,0.337430,0.714330,0.376277,0.590122,0.350685,0.483811,0.427208,0.552945,0.435825,0.620084,0.555578,0.631543,0.571672,0.550772,0.357399,0.779150,0.618350
6200,0.256043,0.258606,0.510444,0.275147,0.757587,0.335087,0.705880,0.337230,0.720018,0.375124,0.592744,0.348516,0.484614,0.426604,0.552012,0.433202,0.618627,0.554097,0.631412,0.571637,0.552020,0.357026,0.779857,0.618506
6400,0.253320,0.255859,0.514378,0.273660,0.761319,0.333518,0.713188,0.337214,0.724833,0.374177,0.595057,0.346716,0.485115,0.425983,0.551226,0.431110,0.617105,0.552579,0.631231,0.571590,0.553135,0.356814,0.780359,0.618607
6600,0.250981,0.253493,0.518033,0.272502,0.764691,0.332156,0.719834,0.336891,0.728731,0.372939,0.597333,0.344849,0.485463,0.425385,0.550130,0.428759,0.615292,0.550930,0.630880,0.571522,0.553720,0.356371,0.780832,0.618710
6800,0.248883,0.251371,0.521350,0.271448,0.767225,0.330726,0.725603,0.336709,0.732727,0.372076,0.599332,0.343474,0.485707,0.424723,0.549137,0.426598,0.613899,0.549522,0.630522,0.571433,0.554406,0.356023,0.781156,0.618756
7000,0.247077,0.249540,0.524344,0.270350,0.769509,0.329428,0.730762,0.336479,0.736513,0.371443,0.601097,0.342134,0.486118,0.424268,0.548339,0.424824,0.612317,0.548058,0.629960,0.571276,0.554975,0.355973,0.781354,0.618749
7200,0.245450,0.247893,0.526853,0.269450,0.771520,0.328292,0.735259,0.336451,0.739454,0.370662,0.602674,0.340914,0.486554,0.423844,0.547669,0.423270,0.611339,0.547188,0.629496,0.571128,0.554977,0.355746,0.781470,0.618728
7400,0.244017,0.246443,0.529361,0.268654,0.773157,0.327252,0.739509,0.336246,0.742629,0.370200,0.604076,0.339899,0.486884,0.423475,0.546998,0.421917,0.610291,0.546229,0.629077,0.571020,0.554853,0.355525,0.781608,0.618732
7600,0.242693,0.245104,0.531501,0.268028,0.775183,0.326325,0.743444,0.336292,0.745371,0.369432,0.605291,0.338806,0.486967,0.422880,0.546137,0.420405,0.609369,0.545400,0.628564,0.570891,0.554746,0.355300,0.781717,0.618738
7800,0.241495,0.243895,0.533499,0.267325,0.776838,0.325487,0.747171,0.336369,0.747776,0.368876,0.606520,0.337841,0.487380,0.422625,0.545478,0.419119,0.608207,0.544378,0.627950,0.570722,0.554358,0.354947,0.781821,0.618750
8000,0.240380,0.242766,0.535374,0.266585,0.778268,0.324571,0.750867,0.336423,0.750349,0.368484,0.608002,0.337079,0.487547,0.422186,0.544793,0.417852,0.607290,0.543509,0.627312,0.570529,0.554470,0.354860,0.781863,0.618714
