step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.496914,0.497032,0.497047,0.496916,0.497680,0.497118,0.497117,0.496790,0.497003,0.496928,0.499927,0.497920,0.497343,0.496896,0.498397,0.498203,0.501628,0.499233,0.497617,0.497221,0.498224,0.498065,0.502071,0.499686,0.498578,0.498055,0.498987,0.498863,0.502437,0.500601,0.498569,0.498113,0.499901,0.499832,0.502587,0.501098
400,0.487824,0.488557,0.486484,0.486220,0.492597,0.489691,0.490851,0.487730,0.487374,0.487077,0.498148,0.491667,0.489556,0.487410,0.491655,0.490617,0.504998,0.495534,0.491187,0.488682,0.491321,0.490578,0.506826,0.496200,0.493461,0.490432,0.492658,0.491824,0.509231,0.498865,0.494343,0.491707,0.496181,0.495204,0.510125,0.501124
600,0.471665,0.473018,0.469642,0.469214,0.487056,0.479877,0.481407,0.472516,0.472053,0.471301,0.497835,0.482964,0.480683,0.472903,0.480318,0.477814,0.510733,0.490236,0.482212,0.473738,0.478970,0.477142,0.514542,0.490634,0.487255,0.477726,0.483524,0.481660,0.519805,0.494848,0.490372,0.481913,0.490534,0.488085,0.521244,0.499392
800,0.450357,0.452307,0.447326,0.446502,0.479731,0.464616,0.476562,0.452527,0.450659,0.449205,0.502927,0.471518,0.475891,0.452934,0.463583,0.459116,0.522071,0.482470,0.480525,0.455153,0.461506,0.458196,0.528329,0.483424,0.484835,0.460759,0.468540,0.465402,0.537573,0.489671,0.487170,0.469787,0.481341,0.476726,0.540343,0.495588
1000,0.427319,0.429526,0.424105,0.422492,0.472744,0.447066,0.486771,0.433750,0.429246,0.425942,0.512577,0.460329,0.485743,0.432972,0.443950,0.436915,0.537719,0.474734,0.491376,0.437554,0.441676,0.436708,0.546173,0.476469,0.490566,0.442991,0.449657,0.445255,0.559269,0.484235,0.487211,0.458514,0.467721,0.461333,0.561364,0.490238
1200,0.406283,0.408232,0.403754,0.400202,0.467380,0.430198,0.507070,0.419972,0.416474,0.406675,0.525115,0.451095,0.507426,0.416027,0.426647,0.416016,0.555691,0.468743,0.513125,0.422241,0.422857,0.415938,0.566087,0.470662,0.504248,0.427750,0.431068,0.425410,0.582038,0.478942,0.490397,0.446616,0.452990,0.445191,0.583588,0.483044
1400,0.387572,0.388686,0.391185,0.380702,0.464721,0.412251,0.531260,0.409476,0.414892,0.389819,0.540688,0.440348,0.532522,0.402376,0.413356,0.396745,0.576799,0.460831,0.537757,0.409962,0.406696,0.396746,0.590973,0.463703,0.521918,0.416261,0.412727,0.405533,0.607951,0.473158,0.498185,0.436194,0.435601,0.426688,0.608088,0.475267
1600,0.370699,0.370125,0.391143,0.364439,0.464231,0.395146,0.557823,0.401828,0.425850,0.378574,0.557345,0.430409,0.561306,0.391185,0.408712,0.380242,0.598540,0.453620,0.564921,0.400976,0.394658,0.379567,0.615607,0.457541,0.544443,0.406403,0.396484,0.387103,0.634015,0.466941,0.509490,0.427637,0.418967,0.408892,0.632207,0.467149
1800,0.357023,0.353391,0.403997,0.351421,0.469124,0.379513,0.585125,0.395297,0.442449,0.371089,0.576608,0.420392,0.591835,0.382358,0.412358,0.366699,0.623145,0.446455,0.593108,0.393679,0.387973,0.364468,0.642509,0.450298,0.568723,0.397905,0.381992,0.369710,0.662059,0.459369,0.522406,0.419927,0.402424,0.391134,0.658286,0.457333
2000,0.346438,0.337868,0.420626,0.342794,0.477854,0.365186,0.613416,0.387738,0.461146,0.366472,0.595916,0.411410,0.623002,0.375569,0.420709,0.355309,0.647122,0.439570,0.622652,0.387473,0.387497,0.351451,0.669260,0.442785,0.594394,0.392046,0.370670,0.354181,0.690608,0.451876,0.538652,0.413423,0.387855,0.375021,0.684094,0.447954
2200,0.341827,0.324423,0.439842,0.337158,0.490932,0.351391,0.641591,0.381465,0.482269,0.364404,0.617447,0.401606,0.655141,0.369610,0.433045,0.346828,0.673389,0.431469,0.654018,0.380762,0.391809,0.340715,0.698305,0.434599,0.620401,0.387801,0.363109,0.340158,0.720506,0.443423,0.557555,0.408411,0.374043,0.359476,0.710178,0.438686
2400,0.340839,0.312440,0.460102,0.333726,0.506059,0.339460,0.669449,0.374476,0.504052,0.361725,0.639241,0.392561,0.688053,0.363882,0.447983,0.340406,0.699582,0.423727,0.685778,0.375107,0.401315,0.332372,0.728103,0.426229,0.647561,0.383686,0.359662,0.327705,0.751225,0.435179,0.578854,0.404340,0.361419,0.344769,0.735895,0.429792
2600,0.343836,0.302676,0.481388,0.331142,0.524518,0.328264,0.697701,0.367913,0.526769,0.360998,0.661716,0.383926,0.721178,0.357874,0.463587,0.334623,0.725922,0.416682,0.717791,0.368856,0.412510,0.325069,0.757295,0.417772,0.675060,0.379382,0.360949,0.317647,0.780017,0.426850,0.600621,0.400356,0.351289,0.331702,0.761056,0.420842
2800,0.349170,0.294107,0.502527,0.329228,0.543999,0.318562,0.726430,0.360534,0.550240,0.359684,0.684482,0.375407,0.755154,0.351859,0.480147,0.329869,0.751880,0.408498,0.749793,0.362956,0.425844,0.320681,0.787917,0.409033,0.702694,0.374968,0.363593,0.308304,0.809857,0.418890,0.621999,0.396867,0.342218,0.319288,0.785756,0.412038
3000,0.354863,0.286555,0.523305,0.327223,0.563839,0.310628,0.753318,0.353441,0.573405,0.358585,0.707731,0.367242,0.789070,0.345754,0.496881,0.325078,0.778123,0.400535,0.782059,0.355748,0.439995,0.316486,0.817579,0.400857,0.729031,0.370878,0.370811,0.301692,0.838903,0.410570,0.642864,0.393486,0.335478,0.308466,0.810049,0.404017
3200,0.361904,0.279430,0.543623,0.325089,0.583184,0.303640,0.779069,0.346627,0.596724,0.357607,0.729453,0.360527,0.823408,0.339886,0.512943,0.321214,0.802530,0.392664,0.814204,0.349539,0.454720,0.313718,0.845955,0.393293,0.757196,0.366503,0.379330,0.295379,0.866340,0.403081,0.663743,0.390714,0.330994,0.298853,0.833464,0.396689
3400,0.368644,0.272900,0.564386,0.323164,0.604154,0.297437,0.806274,0.340111,0.619802,0.356635,0.753578,0.352686,0.856644,0.334266,0.529714,0.317449,0.829809,0.384787,0.845358,0.344138,0.469577,0.311495,0.876505,0.385208,0.784486,0.362415,0.388000,0.290128,0.896557,0.394357,0.685172,0.387912,0.328245,0.290020,0.857735,0.388606
3600,0.375264,0.267299,0.584670,0.320778,0.624992,0.291645,0.829996,0.334041,0.641920,0.355417,0.776158,0.346155,0.889975,0.329036,0.546943,0.314148,0.855025,0.377532,0.876692,0.337563,0.483305,0.308530,0.905658,0.377460,0.811021,0.358376,0.397626,0.286082,0.925689,0.386259,0.705526,0.385277,0.327926,0.282725,0.882007,0.381163
3800,0.380738,0.261872,0.604556,0.318643,0.644923,0.285733,0.854784,0.327795,0.664679,0.354399,0.798137,0.339551,0.922875,0.323635,0.562913,0.310335,0.880367,0.370488,0.907126,0.332069,0.497921,0.306703,0.934383,0.369990,0.837065,0.354937,0.408167,0.282664,0.954035,0.379234,0.726997,0.383044,0.328782,0.275738,0.905108,0.374713
4000,0.386962,0.256448,0.623656,0.315486,0.664241,0.281009,0.879675,0.321503,0.686554,0.352727,0.820467,0.333548,0.954812,0.318629,0.579067,0.306688,0.905776,0.363170,0.936103,0.326438,0.512266,0.304549,0.963569,0.362386,0.862026,0.351129,0.418185,0.280505,0.981422,0.371702,0.748634,0.380353,0.331239,0.270131,0.928653,0.367945
4200,0.391948,0.252034,0.641827,0.312592,0.683123,0.277054,0.901772,0.315974,0.707990,0.350717,0.842638,0.327874,0.986483,0.313825,0.594732,0.303170,0.929709,0.356952,0.964377,0.321528,0.525708,0.302550,0.991017,0.355376,0.886052,0.347210,0.427707,0.277906,1.007088,0.365284,0.767879,0.377704,0.335401,0.265217,0.948900,0.361697
4400,0.396546,0.247730,0.658838,0.309538,0.700609,0.273413,0.921518,0.311167,0.727736,0.348435,0.862043,0.323112,1.015799,0.309558,0.609028,0.299568,0.950189,0.350914,0.991524,0.316680,0.538585,0.301144,1.016720,0.349298,0.909059,0.343535,0.437262,0.276140,1.032038,0.359349,0.786153,0.375510,0.339722,0.261481,0.970225,0.356091
