step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498360,0.498250,0.499293,0.499215,0.499246,0.499558,0.498653,0.498470,0.499972,0.499944,0.498590,0.498415,0.500010,0.499952,0.498460,0.498275,0.499986,0.499931,0.498491,0.498321,0.499965,0.499941,0.498776,0.498611
400,0.489846,0.489565,0.496979,0.496569,0.495343,0.495835,0.497590,0.496758,0.500159,0.499902,0.502217,0.502050,0.499941,0.500290,0.498652,0.498397,0.501075,0.501176,0.497755,0.497571,0.500743,0.500663,0.497728,0.497573
600,0.474299,0.474015,0.491305,0.490029,0.489852,0.489173,0.496839,0.495057,0.501727,0.501332,0.511926,0.510928,0.499951,0.500499,0.495085,0.493507,0.501240,0.501120,0.491575,0.490974,0.499668,0.498973,0.490529,0.490148
800,0.455421,0.455052,0.483861,0.481658,0.483385,0.481905,0.496914,0.494238,0.501672,0.501611,0.525067,0.522517,0.498155,0.498167,0.492548,0.486459,0.502854,0.502859,0.484206,0.482508,0.499274,0.497200,0.480381,0.478001
1000,0.432787,0.432361,0.473604,0.470426,0.476727,0.473364,0.497381,0.493916,0.502512,0.502234,0.539276,0.533026,0.496927,0.497064,0.497584,0.483044,0.500158,0.500872,0.482750,0.475499,0.501309,0.497386,0.476990,0.467799
1200,0.408541,0.408057,0.459637,0.454902,0.470110,0.462747,0.497080,0.493263,0.506303,0.506123,0.548590,0.539449,0.497468,0.497421,0.501758,0.479033,0.503568,0.503995,0.486454,0.471207,0.501520,0.497719,0.480402,0.463321
1400,0.386894,0.386305,0.444101,0.438229,0.467024,0.453615,0.495950,0.491757,0.508423,0.507715,0.558316,0.545172,0.494457,0.495067,0.505665,0.475762,0.500039,0.500800,0.490724,0.466228,0.503200,0.500510,0.484245,0.460526
1600,0.366698,0.365926,0.428444,0.420937,0.466125,0.444045,0.494348,0.490067,0.510253,0.510253,0.566275,0.549556,0.492457,0.493179,0.509551,0.471489,0.499184,0.501167,0.495514,0.461906,0.502858,0.501514,0.488622,0.458207
1800,0.348459,0.347373,0.413028,0.403995,0.469993,0.435633,0.491767,0.487319,0.512921,0.512852,0.573479,0.552765,0.494351,0.494900,0.514333,0.466748,0.500169,0.501478,0.499527,0.458221,0.500720,0.499715,0.494842,0.457043
2000,0.332650,0.330987,0.399112,0.388173,0.475570,0.427663,0.488822,0.484489,0.515828,0.515593,0.581807,0.555315,0.494737,0.495748,0.517385,0.461175,0.500335,0.501874,0.503778,0.454580,0.498861,0.497829,0.499994,0.452851
2200,0.318958,0.316381,0.385691,0.372300,0.484622,0.420026,0.485684,0.481329,0.518429,0.518408,0.588235,0.556725,0.494358,0.495277,0.519016,0.453770,0.495880,0.498959,0.509386,0.452299,0.496128,0.496816,0.504680,0.448260
2400,0.308077,0.304084,0.374636,0.358034,0.495313,0.414490,0.482910,0.478253,0.519163,0.519588,0.595313,0.557231,0.494904,0.495367,0.520323,0.446843,0.494950,0.496711,0.514947,0.450494,0.495050,0.496187,0.511071,0.445860
2600,0.300332,0.294295,0.365909,0.344868,0.508998,0.409427,0.479311,0.474444,0.520879,0.521734,0.603063,0.557985,0.494548,0.494411,0.521904,0.438794,0.497415,0.497823,0.521259,0.449228,0.493424,0.494847,0.515961,0.442735
2800,0.294576,0.286321,0.360587,0.333269,0.522507,0.405032,0.476235,0.470896,0.523719,0.524287,0.608897,0.557663,0.492843,0.492484,0.524649,0.433844,0.498394,0.498227,0.527965,0.447524,0.493501,0.494357,0.521548,0.439706
3000,0.290660,0.280095,0.358283,0.323145,0.538164,0.400589,0.473572,0.467438,0.524632,0.525156,0.614177,0.556883,0.493259,0.493081,0.527966,0.428146,0.498866,0.497203,0.534839,0.445880,0.492054,0.492348,0.527165,0.436815
3200,0.287823,0.275298,0.359439,0.314357,0.553881,0.397425,0.469711,0.463000,0.525139,0.525812,0.618856,0.555414,0.493687,0.492939,0.530958,0.423279,0.498963,0.497086,0.540237,0.441961,0.492351,0.491700,0.533516,0.434955
3400,0.285891,0.271135,0.363140,0.307230,0.569406,0.393970,0.466975,0.459647,0.526340,0.527137,0.623494,0.553905,0.493425,0.492004,0.533564,0.418778,0.497720,0.495056,0.545607,0.440137,0.491771,0.490101,0.539845,0.433132
3600,0.284201,0.267182,0.368387,0.300790,0.586185,0.391348,0.464599,0.456215,0.526572,0.527393,0.627848,0.552178,0.492620,0.490888,0.536715,0.415778,0.498854,0.495812,0.550850,0.438315,0.492460,0.490096,0.545525,0.430928
3800,0.283395,0.264443,0.374214,0.295418,0.602551,0.388452,0.461356,0.452212,0.526914,0.527761,0.631019,0.549738,0.492384,0.489954,0.538888,0.410844,0.498499,0.494463,0.556080,0.435467,0.493569,0.489662,0.550116,0.428228
4000,0.282261,0.261705,0.380568,0.290797,0.617965,0.387241,0.457873,0.447780,0.527149,0.527898,0.633456,0.547843,0.493077,0.490163,0.541886,0.406973,0.499718,0.494827,0.561009,0.432743,0.493745,0.488763,0.555331,0.426809
4200,0.282107,0.259754,0.386871,0.286531,0.632514,0.385345,0.454788,0.443813,0.527594,0.528274,0.635818,0.545505,0.492907,0.489572,0.544681,0.404203,0.500963,0.495237,0.565655,0.430885,0.494704,0.488366,0.560332,0.424606
4400,0.281424,0.257705,0.393537,0.283464,0.646325,0.383714,0.452933,0.440675,0.527469,0.527933,0.637245,0.543175,0.493973,0.490071,0.546691,0.401382,0.500942,0.494298,0.570966,0.429743,0.495603,0.487837,0.564025,0.421958
4600,0.281117,0.256089,0.399868,0.280429,0.659656,0.382995,0.450741,0.437429,0.527747,0.528168,0.638663,0.541081,0.494230,0.489651,0.548064,0.398590,0.501853,0.493756,0.574090,0.427323,0.496525,0.488107,0.567204,0.419587
4800,0.280868,0.254555,0.406069,0.277775,0.673509,0.381724,0.448133,0.433824,0.527578,0.528025,0.639926,0.539325,0.494406,0.489202,0.549361,0.396123,0.503426,0.493911,0.576746,0.425617,0.497709,0.488108,0.569444,0.416933
5000,0.280420,0.253096,0.411365,0.275275,0.685891,0.381095,0.445983,0.430728,0.527594,0.527943,0.640239,0.537255,0.495075,0.489577,0.550276,0.393748,0.503999,0.493139,0.578873,0.422962,0.498532,0.487866,0.571635,0.414250
5200,0.280288,0.251988,0.416745,0.273033,0.697326,0.379891,0.444461,0.428200,0.527771,0.528049,0.640349,0.535289,0.495643,0.489530,0.551223,0.391811,0.504203,0.492796,0.580973,0.421052,0.499319,0.487174,0.573688,0.412075
5400,0.279943,0.250714,0.422245,0.270949,0.708497,0.378927,0.442645,0.425428,0.527515,0.527795,0.640169,0.533435,0.496331,0.489632,0.551761,0.390144,0.504305,0.492350,0.582476,0.419366,0.500232,0.486707,0.575111,0.409763
5600,0.280025,0.249994,0.426731,0.269222,0.717576,0.377838,0.441184,0.423164,0.527749,0.528010,0.640368,0.531890,0.497001,0.489930,0.551793,0.388377,0.504927,0.492692,0.582924,0.417590,0.500539,0.486717,0.576683,0.408304
5800,0.279433,0.248772,0.431051,0.267744,0.726605,0.377559,0.439895,0.421100,0.528145,0.528577,0.640249,0.530379,0.497210,0.489896,0.551664,0.386697,0.505274,0.492356,0.583786,0.416267,0.501400,0.486426,0.577599,0.406718
6000,0.279237,0.247984,0.435246,0.266249,0.734651,0.376582,0.438919,0.419178,0.527883,0.528251,0.639682,0.528682,0.497679,0.490128,0.551536,0.385383,0.505907,0.492050,0.584027,0.414816,0.502246,0.486707,0.577852,0.405107
6200,0.279025,0.247273,0.438514,0.264850,0.742432,0.376261,0.437705,0.417271,0.527908,0.528245,0.639212,0.527353,0.498037,0.490321,0.551128,0.384135,0.506264,0.492048,0.584149,0.413577,0.502471,0.486383,0.577979,0.403878
6400,0.278671,0.246501,0.441617,0.263742,0.749235,0.375641,0.436988,0.415830,0.527625,0.527870,0.638895,0.526410,0.498438,0.490392,0.550756,0.382955,0.506478,0.491648,0.584067,0.412508,0.503043,0.486348,0.577941,0.402580
