step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.ffn.T_soft,L0.ffn.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.ffn.T_soft,L1.ffn.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.ffn.T_soft,L2.ffn.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.ffn.T_soft,L3.ffn.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.ffn.T_soft,L4.ffn.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.ffn.T_soft,L5.ffn.T_sel
2200,0.449800,0.470101,0.409397,0.384303,0.567253,0.463437,0.569589,0.490054,0.624581,0.537154,0.444573,0.422759,0.592764,0.553925,0.762810,0.735053,0.676891,0.572949,0.494711,0.406228,0.477058,0.427008,0.716317,0.622636,0.663632,0.559987,0.475227,0.405103,0.451454,0.422718,0.677143,0.536190,0.687950,0.569931,0.473956,0.405169,0.448743,0.422697,0.649812,0.499302,0.636435,0.541578,0.469788,0.465077,0.526230,0.501742,0.623184,0.517407
2400,0.447668,0.468881,0.414279,0.380840,0.588719,0.464631,0.588836,0.494913,0.639005,0.539670,0.442519,0.415370,0.600978,0.555532,0.800281,0.765168,0.693065,0.575079,0.509947,0.405402,0.483947,0.423008,0.752207,0.643096,0.682219,0.565437,0.486574,0.403228,0.455113,0.418572,0.711289,0.548039,0.709992,0.575399,0.485397,0.404148,0.453359,0.420077,0.682448,0.507730,0.657536,0.546924,0.468451,0.461894,0.535951,0.506524,0.648632,0.522210
2600,0.445670,0.466978,0.420271,0.377653,0.610675,0.465423,0.608818,0.500344,0.652918,0.542220,0.441671,0.407892,0.608946,0.556593,0.837584,0.793760,0.710616,0.579323,0.527065,0.405975,0.491891,0.420709,0.788046,0.662277,0.696780,0.567574,0.499320,0.402692,0.458016,0.414201,0.745925,0.559563,0.731718,0.580207,0.497561,0.402723,0.458861,0.418286,0.715394,0.515622,0.678217,0.552178,0.467692,0.459208,0.544013,0.509593,0.674521,0.526968
2800,0.444416,0.465948,0.425554,0.375385,0.632099,0.465912,0.627394,0.504480,0.666861,0.544725,0.442564,0.402029,0.615230,0.557372,0.873595,0.819131,0.729268,0.583736,0.544185,0.407701,0.501331,0.419257,0.825301,0.682968,0.714555,0.571513,0.514131,0.404483,0.463645,0.411626,0.779975,0.569222,0.752176,0.583876,0.510838,0.402628,0.462994,0.415428,0.749092,0.523459,0.698851,0.558285,0.467061,0.456376,0.551655,0.512153,0.701340,0.531508
3000,0.442062,0.463888,0.431433,0.373540,0.652405,0.464487,0.645280,0.506946,0.680559,0.546621,0.443626,0.396596,0.620849,0.557119,0.909764,0.843804,0.746391,0.586802,0.561239,0.408677,0.511960,0.418472,0.861044,0.699469,0.731238,0.575252,0.528455,0.405423,0.469336,0.409381,0.815095,0.579404,0.775485,0.589395,0.523886,0.404651,0.470998,0.416281,0.782860,0.531291,0.720839,0.563780,0.466932,0.454007,0.558630,0.513486,0.726837,0.535236
3200,0.441780,0.463632,0.436953,0.371835,0.672799,0.462493,0.663342,0.508840,0.692519,0.547759,0.446428,0.391315,0.625876,0.556156,0.946699,0.869107,0.762758,0.590048,0.579112,0.411653,0.523403,0.418866,0.897036,0.715815,0.746388,0.577648,0.543532,0.408008,0.477942,0.409019,0.849938,0.588720,0.796410,0.592982,0.537940,0.406776,0.476993,0.414280,0.816633,0.538597,0.742541,0.569202,0.468469,0.452286,0.566195,0.515493,0.753585,0.538822
3400,0.439608,0.461548,0.442453,0.370183,0.692235,0.458774,0.680318,0.510877,0.704683,0.549630,0.450461,0.386690,0.628316,0.553366,0.981061,0.889176,0.777948,0.592020,0.597498,0.414516,0.532338,0.417520,0.932241,0.729015,0.762582,0.580977,0.559633,0.411095,0.485158,0.408288,0.884711,0.597673,0.815576,0.595389,0.551085,0.408198,0.486119,0.415384,0.850793,0.545673,0.763105,0.573504,0.470068,0.450630,0.572308,0.516434,0.779969,0.541902
3600,0.437648,0.459855,0.446978,0.368710,0.710046,0.454634,0.696461,0.511221,0.713914,0.549224,0.454596,0.382235,0.631041,0.549995,1.014412,0.907380,0.793146,0.593437,0.615218,0.417333,0.542398,0.417492,0.967215,0.742372,0.775165,0.582068,0.575266,0.414256,0.493324,0.408176,0.918758,0.605510,0.832810,0.596511,0.566463,0.411093,0.494327,0.416362,0.883966,0.551431,0.782949,0.577125,0.472221,0.449056,0.578205,0.517156,0.806922,0.544905
3800,0.435725,0.458333,0.451295,0.367003,0.725620,0.450048,0.711148,0.511081,0.723999,0.549349,0.459008,0.378272,0.632309,0.546265,1.046728,0.923535,0.806324,0.595500,0.633107,0.420158,0.552089,0.417395,1.001602,0.754177,0.788721,0.583969,0.590184,0.416892,0.501821,0.408325,0.952570,0.612725,0.851717,0.598617,0.582012,0.414916,0.501928,0.417054,0.917044,0.557921,0.802031,0.580597,0.475035,0.447918,0.584281,0.517637,0.833095,0.547413
4000,0.433788,0.456729,0.454855,0.365509,0.741555,0.446100,0.723920,0.509990,0.736171,0.551513,0.464779,0.375587,0.634980,0.543904,1.076203,0.936438,0.819079,0.596829,0.650766,0.424117,0.562280,0.417670,1.034583,0.764030,0.802891,0.586292,0.605281,0.420843,0.509608,0.407984,0.985806,0.618349,0.869728,0.600669,0.595787,0.418080,0.509710,0.418096,0.949302,0.563091,0.820458,0.584619,0.478260,0.446996,0.590544,0.518682,0.857793,0.549960
