step,module,touch_frac,c_r_mean,c_r_median,c_r_max,frac_eq1,frac_ge8,frac_ge32,frac_ge64
200,L0.qkv_lut,1.0000,128.00,102,689,0.0000,0.9995,0.9666,0.7899
200,L0.v_lut,0.9904,32.31,21,591,0.0108,0.8490,0.3006,0.0920
200,L0.out_proj,0.3045,105.08,11,5176,0.0513,0.1715,0.1039,0.0745
200,L0.residual_lut,0.5657,226.28,32,5452,0.0520,0.4036,0.2839,0.2209
200,L1.qkv_lut,0.6141,208.44,30,6363,0.0607,0.4349,0.3034,0.2337
200,L1.v_lut,0.3480,91.96,11,5060,0.0525,0.1993,0.1159,0.0829
200,L1.out_proj,0.4569,70.04,12,3464,0.0718,0.2631,0.1494,0.1011
200,L1.residual_lut,0.8479,150.96,40,3873,0.0554,0.6470,0.4563,0.3506
200,L2.qkv_lut,0.8556,149.60,45,3669,0.0501,0.6763,0.4897,0.3704
200,L2.v_lut,0.5769,55.47,10,2998,0.0886,0.3200,0.1766,0.1132
200,L2.out_proj,0.0456,701.39,33,8187,0.0053,0.0314,0.0232,0.0195
200,L2.residual_lut,0.5408,236.70,27,6556,0.0398,0.3928,0.2527,0.1892
200,L3.qkv_lut,0.5072,252.39,27,6976,0.0392,0.3647,0.2391,0.1781
200,L3.v_lut,0.3138,101.99,8,5972,0.0540,0.1624,0.0835,0.0541
200,L3.out_proj,0.0186,1721.80,99,8192,0.0015,0.0144,0.0117,0.0103
200,L3.residual_lut,0.2122,603.32,46,8129,0.0188,0.1582,0.1189,0.0947
200,L4.qkv_lut,0.1956,654.27,50,8121,0.0187,0.1460,0.1100,0.0913
200,L4.v_lut,0.0900,355.69,26,8029,0.0113,0.0601,0.0422,0.0328
200,L4.out_proj,0.0087,3666.35,2320,8192,0.0003,0.0078,0.0070,0.0068
200,L4.residual_lut,0.3469,368.96,49,7597,0.0310,0.2542,0.1929,0.1575
200,L5.qkv_lut,0.2676,478.36,75,7628,0.0200,0.2030,0.1631,0.1405
200,L5.v_lut,0.1511,211.72,26,7102,0.0185,0.1005,0.0714,0.0562
200,L5.out_proj,0.0128,2502.57,947,8192,0.0003,0.0117,0.0106,0.0100
200,L5.residual_lut,0.3044,420.44,74,8000,0.0203,0.2351,0.1880,0.1589
400,L0.qkv_lut,1.0000,128.00,102,692,0.0000,0.9995,0.9663,0.7866
400,L0.v_lut,0.9903,32.31,21,591,0.0106,0.8480,0.3006,0.0919
400,L0.out_proj,0.4108,77.90,9,4901,0.0708,0.2166,0.1214,0.0819
400,L0.residual_lut,0.8000,159.99,32,3678,0.0603,0.5876,0.4011,0.3013
