step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497305,0.497234,0.499352,0.499295,0.497926,0.497893,0.498812,0.498983,0.499661,0.499634,0.499186,0.499164,0.499057,0.499095,0.499756,0.499696,0.500409,0.500395,0.499947,0.499883,0.499632,0.499569,0.500546,0.500522,0.500114,0.500113,0.499409,0.499367,0.500552,0.500513,0.500113,0.500157,0.499473,0.499423,0.500571,0.500529
400,0.487312,0.487249,0.492919,0.492747,0.487770,0.487771,0.491947,0.491507,0.498684,0.498545,0.496066,0.496118,0.498580,0.498620,0.499361,0.499009,0.508434,0.507436,0.501014,0.500458,0.496989,0.496670,0.509484,0.508384,0.498343,0.498550,0.497981,0.497669,0.509556,0.509004,0.501285,0.501279,0.497606,0.497704,0.508495,0.507639
600,0.469326,0.469250,0.479706,0.480164,0.471200,0.471203,0.482374,0.477470,0.496014,0.495859,0.489562,0.489671,0.497977,0.497825,0.498492,0.497713,0.520873,0.518562,0.499112,0.498826,0.494059,0.493414,0.523008,0.520445,0.497598,0.497729,0.493134,0.492218,0.522230,0.522138,0.500269,0.500539,0.492803,0.492729,0.520537,0.517574
800,0.445233,0.445113,0.456000,0.456733,0.449423,0.449377,0.481030,0.457744,0.490806,0.490726,0.483129,0.483190,0.497441,0.496992,0.497158,0.495837,0.538966,0.532295,0.498599,0.497649,0.490709,0.486633,0.544240,0.532679,0.496030,0.495833,0.488774,0.482581,0.541757,0.538246,0.497154,0.497999,0.485608,0.482755,0.538285,0.527413
1000,0.419786,0.419565,0.429562,0.430219,0.426446,0.426140,0.499351,0.437020,0.483529,0.483178,0.478077,0.477847,0.496236,0.495231,0.496479,0.494252,0.561776,0.544575,0.498349,0.496323,0.491065,0.477992,0.563037,0.542357,0.496231,0.495526,0.490091,0.471881,0.565790,0.549897,0.497707,0.499436,0.481417,0.470236,0.554363,0.535514
1200,0.396895,0.396404,0.405205,0.405687,0.406093,0.405264,0.522125,0.421536,0.475238,0.474068,0.473662,0.473048,0.495060,0.493636,0.494856,0.492065,0.583094,0.554092,0.498483,0.495989,0.491128,0.471793,0.573533,0.548535,0.496579,0.495606,0.494869,0.465919,0.586727,0.562677,0.498607,0.499458,0.480690,0.465278,0.564389,0.541292
1400,0.376631,0.375677,0.382703,0.382791,0.387531,0.385730,0.549807,0.407258,0.466698,0.464482,0.469410,0.468138,0.494266,0.492005,0.493765,0.490251,0.606430,0.566815,0.499586,0.496137,0.489264,0.468429,0.586009,0.557584,0.497032,0.497003,0.493972,0.457818,0.612213,0.584524,0.498407,0.499850,0.482109,0.463692,0.584146,0.550480
1600,0.358296,0.356723,0.361964,0.361501,0.370365,0.367162,0.579736,0.399399,0.455851,0.452091,0.465261,0.463071,0.493764,0.491118,0.492724,0.488266,0.628308,0.578917,0.498929,0.495401,0.491125,0.468965,0.611248,0.572958,0.498069,0.497960,0.494129,0.456246,0.635650,0.602326,0.498250,0.499487,0.484546,0.462148,0.605400,0.557741
1800,0.343177,0.340575,0.343791,0.341910,0.355096,0.349901,0.610711,0.394060,0.444978,0.439331,0.460186,0.456923,0.492372,0.489150,0.490228,0.485175,0.649571,0.587183,0.497152,0.493850,0.493878,0.469317,0.637843,0.594266,0.498499,0.498133,0.494974,0.454594,0.649745,0.607866,0.498818,0.499984,0.487043,0.459592,0.626821,0.565109
