step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
4600,0.281377,0.258653,0.409709,0.287981,0.531932,0.426755,0.452223,0.426198,0.510613,0.507472,0.602298,0.528557,0.501978,0.486605,0.583250,0.432603,0.493125,0.485111,0.553720,0.431419,0.501714,0.491517,0.563528,0.441905
4800,0.280611,0.256800,0.416252,0.284978,0.538220,0.425823,0.450647,0.422906,0.512539,0.509611,0.603656,0.527115,0.503186,0.486523,0.584651,0.429178,0.493972,0.485382,0.556837,0.429114,0.503411,0.492518,0.565265,0.438823
5000,0.280323,0.255503,0.422372,0.282457,0.543852,0.424712,0.448861,0.419526,0.512172,0.509084,0.604558,0.525887,0.503846,0.486005,0.587278,0.426779,0.494077,0.485123,0.558727,0.427111,0.504920,0.492702,0.566672,0.435848
5200,0.279727,0.254103,0.427924,0.280047,0.549309,0.423972,0.447742,0.416736,0.512800,0.509648,0.605319,0.524557,0.504676,0.486500,0.588048,0.424170,0.494931,0.485260,0.560650,0.425737,0.505425,0.492107,0.567515,0.433074
5400,0.279189,0.252725,0.433930,0.278057,0.555243,0.423247,0.446566,0.414182,0.512845,0.509628,0.605819,0.523298,0.504601,0.485684,0.588790,0.421823,0.494862,0.484773,0.562385,0.424142,0.506457,0.492260,0.567500,0.430436
5600,0.279370,0.252146,0.438434,0.276338,0.559903,0.422798,0.445440,0.411646,0.513696,0.510648,0.606023,0.521985,0.505356,0.485725,0.589179,0.419679,0.495021,0.484827,0.563072,0.422387,0.506857,0.491872,0.567532,0.428208
5800,0.278965,0.251058,0.442890,0.274924,0.564584,0.422286,0.444201,0.409266,0.513776,0.510941,0.606352,0.521206,0.505905,0.485870,0.589376,0.417842,0.495669,0.485225,0.563702,0.420711,0.507323,0.491788,0.567952,0.426341
6000,0.278856,0.250421,0.446966,0.273269,0.569472,0.421687,0.442955,0.407099,0.513776,0.510844,0.606425,0.520151,0.506379,0.486051,0.589129,0.415909,0.496668,0.485603,0.564396,0.419547,0.507716,0.491810,0.568082,0.425008
6200,0.278473,0.249591,0.450625,0.271821,0.573699,0.421353,0.441937,0.404936,0.514028,0.511173,0.606473,0.519296,0.507168,0.486325,0.588496,0.414075,0.497012,0.485499,0.564380,0.418235,0.508228,0.492000,0.567867,0.423335
6400,0.278256,0.248966,0.453973,0.270565,0.577460,0.420780,0.440993,0.403064,0.514275,0.511382,0.606238,0.518352,0.507494,0.486200,0.588083,0.412632,0.497478,0.485532,0.564402,0.417136,0.508758,0.492055,0.567785,0.422100
6600,0.277900,0.248302,0.456941,0.269472,0.580860,0.420486,0.440246,0.401453,0.514761,0.511866,0.606078,0.517662,0.507657,0.486065,0.587428,0.411212,0.497841,0.485720,0.564242,0.416028,0.509182,0.492372,0.567682,0.421091
6800,0.277858,0.247941,0.459538,0.268428,0.583823,0.420125,0.439663,0.400082,0.514736,0.511809,0.605929,0.516928,0.508013,0.486254,0.586819,0.410075,0.497829,0.485383,0.563931,0.414987,0.509750,0.492532,0.567149,0.420010
7000,0.277498,0.247348,0.461831,0.267530,0.586578,0.419998,0.438876,0.398615,0.514733,0.511801,0.605834,0.516345,0.508316,0.486256,0.586378,0.409142,0.498164,0.485432,0.563581,0.414102,0.510172,0.492528,0.566791,0.419155
7200,0.277564,0.247143,0.463882,0.266723,0.589023,0.419596,0.438542,0.397655,0.514948,0.512110,0.605558,0.515692,0.508458,0.486173,0.585751,0.408188,0.498442,0.485506,0.563214,0.413269,0.510705,0.492722,0.566293,0.418259
7400,0.277358,0.246725,0.465712,0.266065,0.591302,0.419347,0.437964,0.396522,0.515067,0.512248,0.605309,0.515119,0.508677,0.486200,0.585145,0.407245,0.498769,0.485658,0.562911,0.412561,0.510920,0.492686,0.565868,0.417492
7600,0.277267,0.246453,0.467354,0.265446,0.593457,0.419135,0.437480,0.395540,0.515413,0.512674,0.605123,0.514580,0.508904,0.486299,0.584673,0.406480,0.498985,0.485713,0.562478,0.411829,0.511286,0.492756,0.565455,0.416833
7800,0.277098,0.246113,0.468985,0.264738,0.595478,0.418960,0.437371,0.394914,0.515414,0.512656,0.604795,0.514027,0.509077,0.486291,0.584190,0.405726,0.499234,0.485697,0.562192,0.411242,0.511530,0.492745,0.565074,0.416227
8000,0.277025,0.245860,0.470413,0.264170,0.597425,0.418724,0.436883,0.393975,0.515508,0.512835,0.604447,0.513465,0.509360,0.486391,0.583725,0.405032,0.499408,0.485714,0.561868,0.410616,0.511733,0.492788,0.564682,0.415644
