step,tokens,train_loss,val_bpb,grad_norm
300,7372800,7.145256,1.964084,0.9250
600,14745600,5.871391,1.764383,1.0101
900,22118400,5.440941,1.666223,0.9897
1200,29491200,5.198089,1.605822,0.9206
1500,36864000,5.020827,1.556272,1.0552
1800,44236800,4.868204,1.511578,0.9882
2100,51609600,4.740675,1.477301,0.9830
2400,58982400,4.662027,1.456159,1.0353
2700,66355200,4.606816,1.442941,1.0362
3000,73728000,4.575133,1.434403,1.0878
