step,tokens,train_loss,val_bpb,grad_norm
300,7372800,7.156237,1.969152,1.0554
600,14745600,5.883086,1.768404,0.9610
900,22118400,5.451641,1.669975,0.8525
1200,29491200,5.209303,1.609598,1.0511
1500,36864000,5.036578,1.562346,1.1024
1800,44236800,4.896663,1.521866,0.9843
2100,51609600,4.772517,1.488231,0.9834
2400,58982400,4.692755,1.466473,1.0901
2700,66355200,4.635379,1.452327,1.0422
3000,73728000,4.601915,1.443319,1.0843
