step,tokens,train_loss,val_bpb,grad_norm
300,7372800,7.139280,1.966165,0.9394
600,14745600,5.871411,1.763740,1.0100
900,22118400,5.444111,1.666770,0.8867
1200,29491200,5.203664,1.607259,0.9552
1500,36864000,5.029076,1.558321,0.9921
1800,44236800,4.882909,1.516422,0.9945
2100,51609600,4.758510,1.483627,1.0113
2400,58982400,4.680100,1.461723,1.0369
2700,66355200,4.624344,1.448976,1.0528
3000,73728000,4.591533,1.439959,1.1255
