step,layer,train_mse,val_mse,val_rel_err,val_fvu,elapsed_s
0,0,nan,8.345369e-02,1.025063,1.150280,0.0
0,1,nan,4.395323e-02,1.040450,1.182059,0.0
0,2,nan,3.535218e-02,1.050501,1.265523,0.0
0,3,nan,5.617171e-02,1.027591,1.104101,0.0
0,4,nan,9.561349e-02,1.021932,1.103366,0.0
0,5,nan,5.123107e-01,1.002221,1.083093,0.0
500,0,1.500887e-02,1.434136e-02,0.176155,0.197674,71.6
500,1,9.047133e-03,9.113263e-03,0.215727,0.245088,71.6
500,2,1.256264e-02,1.263090e-02,0.375331,0.452156,71.6
500,3,2.092912e-02,2.090261e-02,0.382387,0.410858,71.6
500,4,3.280871e-02,3.272721e-02,0.349794,0.377667,71.6
500,5,1.085472e-01,1.068382e-01,0.209005,0.225870,71.6
1000,0,1.002117e-02,9.543367e-03,0.117221,0.131541,143.2
1000,1,7.721080e-03,7.791245e-03,0.184433,0.209534,143.2
1000,2,1.127796e-02,1.125166e-02,0.334347,0.402782,143.2
1000,3,1.916163e-02,1.904649e-02,0.348432,0.374374,143.2
1000,4,2.987346e-02,2.930579e-02,0.313225,0.338184,143.2
1000,5,8.165134e-02,7.931982e-02,0.155171,0.167693,143.2
1500,0,9.188652e-03,9.088163e-03,0.111630,0.125266,215.2
1500,1,7.395688e-03,7.534198e-03,0.178348,0.202621,215.2
1500,2,1.085338e-02,1.101118e-02,0.327201,0.394174,215.2
1500,3,1.887960e-02,1.887844e-02,0.345357,0.371071,215.2
1500,4,2.893419e-02,2.898881e-02,0.309837,0.334527,215.2
1500,5,7.774968e-02,7.692511e-02,0.150487,0.162630,215.2
2000,0,9.094310e-03,8.941409e-03,0.109827,0.123244,287.5
2000,1,7.436530e-03,7.431713e-03,0.175922,0.199865,287.5
2000,2,1.089233e-02,1.092889e-02,0.324756,0.391228,287.5
2000,3,1.875962e-02,1.886319e-02,0.345078,0.370771,287.5
2000,4,2.885689e-02,2.895036e-02,0.309426,0.334083,287.5
2000,5,7.598240e-02,7.629051e-02,0.149245,0.161288,287.5
2500,0,8.938534e-03,8.858139e-03,0.108805,0.122096,360.3
2500,1,7.332304e-03,7.372413e-03,0.174518,0.198270,360.3
2500,2,1.083468e-02,1.088995e-02,0.323598,0.389834,360.3
2500,3,1.868473e-02,1.887013e-02,0.345205,0.370908,360.3
2500,4,2.894794e-02,2.893982e-02,0.309313,0.333961,360.3
2500,5,7.610143e-02,7.598033e-02,0.148638,0.160632,360.3
3000,0,9.359453e-03,8.810483e-03,0.108219,0.121439,430.4
3000,1,7.410106e-03,7.338209e-03,0.173708,0.197351,430.4
3000,2,1.089699e-02,1.087784e-02,0.323238,0.389401,430.4
3000,3,1.884645e-02,1.887428e-02,0.345281,0.370989,430.4
3000,4,2.901819e-02,2.897622e-02,0.309702,0.334381,430.4
3000,5,7.782459e-02,7.586744e-02,0.148418,0.160394,430.4
3500,0,9.017418e-03,8.796599e-03,0.108049,0.121248,499.8
3500,1,7.152623e-03,7.326157e-03,0.173423,0.197026,499.8
3500,2,1.069389e-02,1.087770e-02,0.323234,0.389395,499.8
3500,3,1.867899e-02,1.888081e-02,0.345401,0.371118,499.8
3500,4,2.882155e-02,2.901110e-02,0.310075,0.334784,499.8
3500,5,7.659262e-02,7.579235e-02,0.148271,0.160235,499.8
4000,0,8.831501e-03,8.779924e-03,0.107844,0.121018,569.2
4000,1,7.244966e-03,7.311482e-03,0.173076,0.196632,569.2
4000,2,1.088622e-02,1.087702e-02,0.323214,0.389371,569.2
4000,3,1.878525e-02,1.888326e-02,0.345445,0.371166,569.2
4000,4,2.934299e-02,2.901516e-02,0.310119,0.334831,569.2
4000,5,7.578181e-02,7.574099e-02,0.148170,0.160127,569.2
