step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.445191,0.452475,0.410608,0.366054,0.587329,0.393869,0.625815,0.481257,0.655431,0.464156,0.586630,0.406362,0.612652,0.404481,0.614220,0.448318,0.649514,0.452588,0.500015,0.391970,0.577089,0.435956,0.620295,0.473545,0.582920,0.462304,0.455015,0.416602,0.589793,0.488746,0.587829,0.482221,0.539706,0.479955,0.473755,0.445734,0.538108,0.472789,0.558988,0.509518,0.484181,0.478519,0.493718,0.493031,0.533284,0.514706,0.532320,0.515996
2200,0.441128,0.448048,0.412404,0.361473,0.607325,0.390315,0.635635,0.474366,0.666741,0.458440,0.605117,0.404480,0.632694,0.403384,0.625814,0.437966,0.665920,0.447227,0.513155,0.389724,0.587040,0.426924,0.628888,0.462127,0.593717,0.459884,0.457760,0.410879,0.595600,0.481101,0.590531,0.470934,0.545085,0.477520,0.475593,0.441890,0.543528,0.467220,0.560368,0.504981,0.483419,0.476394,0.492473,0.491134,0.537393,0.515682,0.533481,0.515395
2400,0.437252,0.443935,0.413642,0.356863,0.625353,0.386655,0.643713,0.467227,0.677135,0.454095,0.621994,0.402656,0.650622,0.401742,0.637107,0.428577,0.680134,0.442347,0.525969,0.388880,0.597198,0.418389,0.637139,0.451738,0.602247,0.456964,0.461555,0.406779,0.600449,0.474123,0.592516,0.460335,0.550805,0.475264,0.477175,0.437650,0.548866,0.461734,0.560795,0.499666,0.483784,0.474580,0.491437,0.489798,0.541578,0.516124,0.534403,0.514576
2600,0.434170,0.440802,0.414082,0.353200,0.640836,0.382883,0.648777,0.460268,0.685695,0.450168,0.636560,0.401064,0.666312,0.400194,0.646231,0.420724,0.692652,0.438369,0.536830,0.387609,0.604750,0.411642,0.643682,0.442804,0.610035,0.454407,0.465573,0.403465,0.603959,0.468021,0.593464,0.451298,0.555972,0.473508,0.480103,0.435350,0.552988,0.457138,0.560713,0.494885,0.484185,0.473241,0.490343,0.488076,0.545677,0.516866,0.534988,0.513705
2800,0.431252,0.437977,0.413914,0.350196,0.653927,0.379291,0.652297,0.454268,0.692393,0.446798,0.648923,0.399572,0.679511,0.399108,0.653402,0.414299,0.703354,0.434727,0.546190,0.387022,0.611529,0.406109,0.648355,0.435410,0.616586,0.452532,0.469656,0.401138,0.606495,0.462566,0.594343,0.444130,0.560529,0.472325,0.482845,0.433352,0.556583,0.452975,0.560179,0.490523,0.484865,0.472204,0.489514,0.486715,0.549011,0.517149,0.535222,0.512905
3000,0.429096,0.435991,0.413157,0.347559,0.664538,0.375698,0.653963,0.449012,0.698754,0.443870,0.659010,0.397694,0.690282,0.397722,0.659970,0.408933,0.712075,0.431715,0.554117,0.386694,0.617560,0.401698,0.652661,0.429134,0.622274,0.451169,0.473232,0.399138,0.607856,0.457975,0.594907,0.437949,0.564160,0.470891,0.485318,0.431925,0.559631,0.449900,0.559493,0.486585,0.485296,0.471275,0.488870,0.485516,0.551311,0.517339,0.535270,0.512075
3200,0.427173,0.434303,0.412028,0.345425,0.673032,0.372520,0.653750,0.444600,0.703413,0.441419,0.667268,0.396977,0.698984,0.396903,0.664648,0.404726,0.719420,0.429500,0.560621,0.386805,0.622497,0.398292,0.655695,0.424386,0.626696,0.450107,0.476463,0.397733,0.609541,0.454336,0.595089,0.433181,0.566515,0.469483,0.487246,0.430445,0.561959,0.446991,0.558760,0.483399,0.485811,0.470632,0.488732,0.484997,0.553452,0.517665,0.535313,0.511385
3400,0.425384,0.432720,0.410778,0.343645,0.679680,0.369754,0.652997,0.441010,0.706958,0.439580,0.673851,0.396195,0.705843,0.395850,0.668136,0.401446,0.724963,0.427676,0.565904,0.386963,0.626291,0.395598,0.658293,0.420604,0.629935,0.448706,0.479495,0.397142,0.609954,0.451135,0.595332,0.429301,0.568854,0.468652,0.489229,0.429930,0.563998,0.444556,0.558014,0.480753,0.486230,0.469982,0.488369,0.484318,0.554990,0.517504,0.535234,0.510782
3600,0.423815,0.431368,0.409542,0.342182,0.684881,0.367424,0.652196,0.438135,0.709772,0.438015,0.679056,0.395417,0.711356,0.395069,0.670706,0.398855,0.729545,0.426033,0.570026,0.386931,0.629227,0.393342,0.659714,0.417620,0.632949,0.448119,0.481691,0.396442,0.610518,0.448905,0.595252,0.426280,0.570519,0.467816,0.491199,0.429646,0.565867,0.442944,0.557463,0.478769,0.486605,0.469386,0.488157,0.483787,0.556020,0.517447,0.535172,0.510361
3800,0.422787,0.430519,0.408492,0.341049,0.689041,0.365502,0.650606,0.435618,0.711996,0.436778,0.683106,0.394955,0.715765,0.394401,0.672804,0.396734,0.733153,0.424820,0.573472,0.387117,0.631612,0.391665,0.660935,0.415175,0.634806,0.447303,0.483724,0.396157,0.611144,0.447205,0.595098,0.423822,0.572351,0.467578,0.492493,0.429149,0.566977,0.441314,0.556796,0.476878,0.487047,0.469097,0.487869,0.483239,0.556848,0.517313,0.535062,0.509912
4000,0.421740,0.429655,0.407263,0.339863,0.692651,0.363732,0.649109,0.433428,0.714256,0.435839,0.686670,0.394485,0.719697,0.393804,0.674406,0.394867,0.736381,0.423697,0.576456,0.387154,0.633730,0.390154,0.662048,0.413085,0.636814,0.446705,0.485639,0.395818,0.611437,0.445549,0.595017,0.421629,0.573642,0.466925,0.493868,0.428957,0.568090,0.440120,0.556109,0.475238,0.487368,0.468820,0.487825,0.483011,0.557633,0.517279,0.534964,0.509526
