step,train_loss,qreg_loss,lambda,val_loss,val_loss_snapped
0,6.296696,0.362787,0.000000,6.297094,
1000,2.178692,0.424253,0.000000,2.142180,
2000,1.955296,0.453763,0.000000,1.936680,
3000,1.880456,0.466385,0.000000,1.879783,
4000,1.848045,0.476027,0.000000,1.866438,
5000,1.825468,0.483534,0.000000,1.825775,
6000,1.785250,0.488825,0.000000,1.796404,
7000,1.773866,0.492283,0.000000,1.767514,
8000,1.758781,0.495012,0.000000,1.760358,
9000,1.734353,0.496526,0.000000,1.742120,
10000,1.731163,0.497867,0.000000,1.731262,
11000,1.715749,0.498751,0.000000,1.716125,
12000,1.702770,0.499275,0.000000,1.708233,
13000,1.693945,0.499770,0.000000,1.703035,
14000,1.685903,0.499956,0.000000,1.694695,
15000,1.682813,0.499932,0.000000,1.681444,
16000,1.670413,0.499875,0.000000,1.673150,
17000,1.671180,0.499741,0.000000,1.669917,
18000,1.656874,0.499905,0.000000,1.660668,
19000,1.659417,0.500040,0.000000,1.651319,
20000,1.653135,0.500073,0.000000,1.648666,
21000,1.644811,0.500074,0.000000,1.644369,
22000,1.638519,0.500090,0.000000,1.637769,
23000,1.621593,0.500035,0.000000,1.628429,
24000,1.624484,0.499996,0.000000,1.625364,
25000,1.619830,0.500036,0.000000,1.622087,
26000,1.617136,0.500026,0.000000,1.614800,
27000,1.606865,0.500058,0.000000,1.610442,
28000,1.607798,0.499858,0.000000,1.606284,
29000,1.601041,0.499970,0.000000,1.601200,
30000,1.598280,0.499976,0.000000,1.601873,
31000,1.593728,0.499954,0.000000,1.596617,
32000,1.580859,0.500039,0.000000,1.589802,
33000,1.588520,0.499991,0.000000,1.588508,
34000,1.576738,0.500062,0.000000,1.584540,
35000,1.583376,0.499827,0.000000,1.579705,
36000,1.578254,0.500283,0.000000,1.577320,
37000,1.570780,0.499757,0.000000,1.575581,
38000,1.572242,0.499891,0.000000,1.570690,
39000,1.575242,0.499914,0.000000,1.569420,
40000,1.562627,0.500173,0.000000,1.565424,
41000,1.562489,0.500141,0.000000,1.562784,
42000,1.552445,0.500032,0.000000,1.560186,
43000,1.550687,0.499964,0.000000,1.558447,
44000,1.552022,0.499864,0.000000,1.556735,
45000,1.557209,0.499548,0.000000,1.553274,
46000,1.557314,0.499833,0.000000,1.553110,
47000,1.550748,0.500390,0.000000,1.552797,
48000,1.552121,0.500332,0.000000,1.549103,
49000,1.554857,0.500115,0.000000,1.550336,
