stage,step,train_loss
0,1,10.531836
0,100,9.960283
0,200,9.355069
0,300,8.591045
0,400,8.091398
0,500,7.870973
0,600,7.835895
0,700,7.788960
0,800,7.748079
0,900,7.722773
0,1000,7.643781
0,1100,7.590319
0,1200,7.534774
0,1300,7.498938
0,1400,7.423802
0,1500,7.379245
0,1600,7.333974
0,1700,7.315091
0,1800,7.237017
0,1900,7.163262
0,2000,7.116828
0,2100,7.125095
0,2200,7.109752
0,2300,7.057677
0,2400,7.054920
0,2500,7.016819
0,2600,6.986858
0,2700,6.973016
0,2800,6.996010
0,2900,6.996509
0,3000,6.940364
0,3100,6.902868
0,3200,6.889878
0,3300,6.884353
0,3400,6.889112
0,3500,6.840168
0,3600,6.863021
0,3700,6.861492
0,3800,6.841773
0,3900,6.806441
0,4000,6.836507
1,1,7.018468
1,100,6.846715
1,200,6.750966
1,300,6.674852
1,400,6.607916
1,500,6.584814
1,600,6.554244
1,700,6.529514
1,800,6.518964
1,900,6.509958
1,1000,6.472970
1,1100,6.487291
1,1200,6.478396
1,1300,6.456235
1,1400,6.469918
1,1500,6.458207
1,1600,6.423493
1,1700,6.421880
1,1800,6.410876
1,1900,6.413685
1,2000,6.417031
1,2100,6.435207
1,2200,6.453703
1,2300,6.455124
1,2400,6.463456
1,2500,6.424551
1,2600,6.437150
1,2700,6.430605
1,2800,6.449931
1,2900,6.453139
1,3000,6.437222
1,3100,6.402660
1,3200,6.385802
1,3300,6.381609
1,3400,6.397967
1,3500,6.403687
1,3600,6.389021
1,3700,6.399870
1,3800,6.382915
1,3900,6.379717
1,4000,6.372749
2,1,6.585063
2,100,6.404361
2,200,6.289545
2,300,6.256319
2,400,6.227151
2,500,6.191815
2,600,6.193713
2,700,6.185817
2,800,6.160400
2,900,6.145064
2,1000,6.142702
2,1100,6.146315
2,1200,6.148493
2,1300,6.127430
2,1400,6.137059
2,1500,6.134082
2,1600,6.102867
2,1700,6.102918
2,1800,6.102728
2,1900,6.099036
2,2000,6.097009
2,2100,6.093897
2,2200,6.097680
2,2300,6.094909
2,2400,6.101500
2,2500,6.098991
2,2600,6.101059
2,2700,6.084133
2,2800,6.086227
2,2900,6.072335
2,3000,6.075446
2,3100,6.072267
2,3200,6.069308
2,3300,6.067929
2,3400,6.045061
2,3500,6.046029
2,3600,6.060603
2,3700,6.051148
2,3800,6.048313
2,3900,6.032157
2,4000,6.025403
3,1,6.095162
3,100,6.024323
3,200,6.004283
3,300,5.993077
3,400,5.977175
