step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.ffn_lut.T_soft,L0.ffn_lut.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.ffn_lut.T_soft,L1.ffn_lut.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.ffn_lut.T_soft,L2.ffn_lut.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.ffn_lut.T_soft,L3.ffn_lut.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.ffn_lut.T_soft,L4.ffn_lut.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.ffn_lut.T_soft,L5.ffn_lut.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497959,0.497879,0.499039,0.499038,0.499222,0.499178,0.500253,0.500224,0.497706,0.497727,0.499347,0.499567,0.498460,0.498573,0.499245,0.499086,0.499970,0.499895,0.498969,0.498966,0.499620,0.499558,0.497903,0.498011,0.498775,0.498577,0.499768,0.499715,0.499097,0.499062,0.500139,0.500048,0.498133,0.498202,0.498745,0.498550,0.499566,0.499486,0.499209,0.499166,0.500023,0.499985,0.497906,0.498001,0.498673,0.498484,0.499746,0.499726,0.499146,0.499093,0.500019,0.499975,0.498059,0.498118,0.498673,0.498488,0.499654,0.499609,0.499116,0.499057
400,0.489248,0.488936,0.498524,0.498569,0.498188,0.498025,0.500019,0.500966,0.487800,0.487793,0.495683,0.495964,0.496821,0.497064,0.497953,0.497503,0.501290,0.501451,0.495861,0.495621,0.498831,0.498588,0.498630,0.499111,0.501366,0.500919,0.496961,0.496807,0.506129,0.505537,0.501420,0.501042,0.496499,0.496907,0.499834,0.499839,0.496755,0.496799,0.506970,0.506623,0.498922,0.499034,0.497887,0.498443,0.501877,0.501545,0.496741,0.496908,0.506234,0.505800,0.499482,0.498929,0.499131,0.499483,0.501407,0.501157,0.493652,0.493838,0.506032,0.505430
600,0.473891,0.473562,0.499139,0.499453,0.492088,0.491391,0.495412,0.498582,0.472383,0.472331,0.490298,0.490923,0.495339,0.495619,0.495853,0.494873,0.507936,0.508355,0.491332,0.490267,0.498742,0.498394,0.502344,0.503027,0.506929,0.504662,0.495445,0.495099,0.519483,0.518583,0.503028,0.502000,0.502432,0.502243,0.505441,0.505038,0.491378,0.490947,0.523880,0.522781,0.499973,0.499714,0.505004,0.505036,0.503994,0.502159,0.490556,0.490231,0.521964,0.520914,0.499104,0.498607,0.504405,0.503414,0.500298,0.498657,0.489360,0.488798,0.521450,0.520193
800,0.454448,0.454055,0.494695,0.495003,0.486150,0.484949,0.487694,0.493350,0.451742,0.451587,0.482148,0.482363,0.492631,0.493247,0.492213,0.490864,0.517646,0.518029,0.486917,0.484837,0.499801,0.499370,0.504924,0.505829,0.510564,0.507032,0.493515,0.492628,0.538521,0.539546,0.503612,0.503381,0.511308,0.509805,0.511972,0.508935,0.476851,0.475382,0.548424,0.546521,0.497687,0.497929,0.516004,0.513542,0.509956,0.503756,0.475899,0.474755,0.545438,0.543870,0.498994,0.499049,0.516568,0.511448,0.506561,0.499601,0.476751,0.475053,0.544461,0.541412
1000,0.432439,0.431913,0.485626,0.485604,0.478785,0.476959,0.480205,0.486122,0.429725,0.429440,0.473989,0.471683,0.488625,0.489700,0.486935,0.485102,0.528986,0.530095,0.481843,0.478869,0.501993,0.501503,0.506707,0.508005,0.514847,0.509969,0.492836,0.490782,0.558855,0.560010,0.500182,0.500287,0.526958,0.525365,0.527024,0.520149,0.460355,0.457701,0.577511,0.570555,0.497023,0.497208,0.528988,0.524407,0.527893,0.516565,0.459683,0.457054,0.574606,0.567074,0.499589,0.500350,0.528109,0.517275,0.522176,0.509495,0.463062,0.459994,0.572404,0.562912
1200,0.408468,0.407879,0.476976,0.476645,0.470801,0.468221,0.474184,0.479084,0.409185,0.408680,0.465093,0.458289,0.484500,0.485943,0.481637,0.479021,0.542633,0.544914,0.477437,0.473665,0.503612,0.503115,0.504349,0.505995,0.516020,0.510705,0.493990,0.490334,0.571857,0.573118,0.503604,0.502994,0.544260,0.541415,0.543062,0.533398,0.445811,0.441528,0.607973,0.591530,0.498230,0.497849,0.545336,0.531120,0.547379,0.533153,0.446073,0.441516,0.604526,0.586670,0.497579,0.498235,0.538832,0.522009,0.539243,0.521600,0.452691,0.447410,0.600246,0.582480
1400,0.386578,0.385912,0.468887,0.468343,0.462456,0.458759,0.464962,0.468261,0.390516,0.389550,0.458974,0.445553,0.480027,0.481842,0.475036,0.471926,0.555461,0.558005,0.471535,0.467340,0.503744,0.503362,0.502023,0.503925,0.515965,0.510216,0.495238,0.490034,0.582888,0.583061,0.503508,0.502477,0.562525,0.557759,0.561440,0.549771,0.431902,0.425632,0.638502,0.613541,0.497347,0.496609,0.557971,0.536059,0.565501,0.548649,0.435862,0.429257,0.632223,0.605347,0.495963,0.495871,0.551089,0.524643,0.555971,0.535511,0.441664,0.434674,0.626548,0.598580
1600,0.366874,0.366030,0.459841,0.459185,0.452469,0.447553,0.459767,0.457891,0.372662,0.371072,0.458227,0.433739,0.475446,0.477640,0.469264,0.465538,0.569270,0.572122,0.465032,0.460211,0.502936,0.502825,0.499868,0.502038,0.515286,0.509319,0.497762,0.491042,0.592544,0.590437,0.503916,0.503221,0.580473,0.574242,0.579832,0.565105,0.420723,0.411705,0.668655,0.635465,0.497414,0.495814,0.572636,0.541044,0.583619,0.563839,0.426297,0.417588,0.662058,0.626450,0.499524,0.499066,0.565783,0.528346,0.575909,0.551984,0.431566,0.421792,0.654178,0.619195
1800,0.348740,0.347560,0.449794,0.449045,0.441834,0.435546,0.457449,0.447132,0.356568,0.353816,0.458570,0.421676,0.470850,0.473319,0.462623,0.458387,0.579572,0.582312,0.458545,0.453059,0.502892,0.502875,0.498696,0.500980,0.514944,0.508705,0.499920,0.492241,0.599736,0.596723,0.503191,0.502171,0.600628,0.592680,0.599232,0.580390,0.411608,0.399642,0.695424,0.650823,0.499410,0.497436,0.588178,0.546881,0.604014,0.581728,0.417221,0.405419,0.689336,0.641981,0.502024,0.501449,0.581600,0.532731,0.596104,0.568344,0.421826,0.409678,0.682075,0.638190
