step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out_lut.T_soft,read_out_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498249,0.498596,0.498229,0.498214,0.498072,0.497990,0.499967,0.499536,0.499256,0.499334,0.500382,0.500187,0.501113,0.500613,0.498305,0.498367,0.499079,0.499023,0.500286,0.500036,0.499493,0.499551,0.500348,0.500226,0.500289,0.500251,0.499881,0.499877,0.500903,0.500891,0.500255,0.500200,0.499821,0.499811,0.500360,0.500349,0.499637,0.499344
400,0.492997,0.495258,0.491104,0.491277,0.489385,0.489405,0.502037,0.499286,0.495625,0.495798,0.502656,0.501340,0.506294,0.502980,0.491318,0.490990,0.494773,0.494417,0.505229,0.500912,0.493746,0.493680,0.497654,0.496852,0.501185,0.500020,0.497889,0.497929,0.505816,0.505493,0.501860,0.500370,0.499284,0.499115,0.503867,0.503600,0.499528,0.497406
600,0.484050,0.489595,0.478577,0.479326,0.474695,0.474778,0.505931,0.498539,0.487645,0.487353,0.509915,0.505681,0.516090,0.506859,0.479873,0.478194,0.486422,0.485377,0.515534,0.501357,0.480744,0.479398,0.490034,0.487865,0.502955,0.497267,0.489688,0.489488,0.516207,0.513819,0.506562,0.498985,0.495053,0.494267,0.511881,0.509945,0.502413,0.493904
800,0.472923,0.481976,0.462951,0.463716,0.455417,0.455240,0.511479,0.496170,0.473987,0.472906,0.524140,0.513566,0.529037,0.510052,0.465746,0.460533,0.475147,0.471304,0.533311,0.502952,0.464304,0.459121,0.479084,0.473708,0.508685,0.494222,0.474684,0.473545,0.534947,0.528437,0.516843,0.496106,0.485862,0.482817,0.525076,0.518806,0.512636,0.489676
1000,0.462604,0.473771,0.447933,0.447632,0.436252,0.434935,0.518642,0.494651,0.462876,0.459321,0.543382,0.523645,0.545683,0.514218,0.454652,0.441633,0.472006,0.459508,0.552657,0.501460,0.452961,0.438570,0.471842,0.459512,0.518052,0.489894,0.459490,0.455461,0.556074,0.542692,0.531310,0.493438,0.472764,0.465075,0.543630,0.529110,0.531152,0.485483
1200,0.454009,0.465893,0.436056,0.433370,0.421941,0.417154,0.526601,0.493199,0.454390,0.446233,0.564612,0.533922,0.561345,0.516918,0.451153,0.426855,0.477643,0.450820,0.572892,0.500439,0.451145,0.420436,0.472255,0.448600,0.529406,0.487484,0.448855,0.439679,0.579123,0.557422,0.549994,0.491601,0.463341,0.447847,0.561130,0.536142,0.552533,0.481280
1400,0.447469,0.458373,0.427418,0.420832,0.413064,0.401809,0.536781,0.492514,0.450218,0.434274,0.587377,0.542990,0.576215,0.517651,0.456395,0.415834,0.492237,0.447850,0.594402,0.500439,0.459314,0.406421,0.479476,0.439741,0.542878,0.484037,0.442864,0.425073,0.601636,0.569839,0.571388,0.492223,0.458694,0.432723,0.574173,0.537134,0.575517,0.476556
1600,0.441929,0.451201,0.421672,0.410293,0.413331,0.388945,0.543801,0.489606,0.448908,0.423287,0.610079,0.551153,0.591048,0.519147,0.465063,0.406070,0.512901,0.448171,0.615309,0.498035,0.473697,0.394510,0.492128,0.433236,0.559472,0.482607,0.440219,0.411188,0.623475,0.579131,0.593773,0.492701,0.458591,0.418831,0.585712,0.533986,0.600618,0.470695
1800,0.437739,0.444666,0.418275,0.400288,0.420608,0.378422,0.552098,0.488098,0.450841,0.413122,0.634396,0.559125,0.605860,0.519554,0.478493,0.399340,0.533721,0.450300,0.636509,0.495727,0.493013,0.385532,0.509742,0.430972,0.577665,0.482206,0.441283,0.397505,0.644063,0.584317,0.617179,0.493682,0.465762,0.406014,0.597290,0.530579,0.626158,0.464849
2000,0.436201,0.440489,0.417227,0.392109,0.433450,0.370416,0.562159,0.486009,0.456120,0.404907,0.658169,0.565109,0.620339,0.519985,0.494836,0.395278,0.556325,0.453382,0.659224,0.493237,0.513396,0.378856,0.527237,0.428428,0.596986,0.480940,0.449957,0.386839,0.662811,0.587837,0.641580,0.493879,0.476216,0.396034,0.606432,0.524672,0.651441,0.457976
2200,0.433717,0.435271,0.417548,0.384455,0.447844,0.363206,0.570619,0.483861,0.463407,0.397512,0.683136,0.571262,0.633055,0.519202,0.512099,0.393200,0.581332,0.459833,0.679697,0.490670,0.535186,0.374502,0.548660,0.428690,0.617398,0.479681,0.460274,0.376386,0.679255,0.587026,0.667970,0.495565,0.491652,0.388001,0.617621,0.518828,0.678848,0.450955
2400,0.432045,0.430305,0.419552,0.378598,0.465636,0.359531,0.578422,0.480571,0.473064,0.391895,0.707910,0.576861,0.646230,0.518240,0.529346,0.389033,0.605965,0.464332,0.699774,0.488200,0.558820,0.372090,0.570399,0.429394,0.639142,0.479875,0.473484,0.368361,0.694655,0.584201,0.694990,0.495705,0.509091,0.380459,0.626026,0.511223,0.706586,0.442933
2600,0.430022,0.425174,0.422661,0.373391,0.485274,0.358152,0.588730,0.479701,0.484406,0.387032,0.731718,0.579158,0.659139,0.518618,0.548097,0.388997,0.631395,0.469303,0.718641,0.484969,0.581832,0.369707,0.593756,0.431660,0.660329,0.479599,0.489108,0.361776,0.708007,0.580380,0.721746,0.495649,0.527788,0.374927,0.633731,0.502104,0.733459,0.436041
2800,0.430074,0.422093,0.426024,0.368513,0.503706,0.356159,0.596195,0.477178,0.498614,0.383021,0.757809,0.582479,0.671289,0.517743,0.567469,0.389711,0.658200,0.475686,0.738681,0.482700,0.605236,0.368378,0.616031,0.432577,0.682135,0.480042,0.506849,0.357758,0.720859,0.576501,0.748903,0.494626,0.548263,0.371698,0.641460,0.493620,0.760245,0.428635
3000,0.429444,0.418028,0.430162,0.364806,0.523930,0.356235,0.603262,0.474177,0.513436,0.379239,0.783119,0.585059,0.681970,0.515462,0.587451,0.390714,0.684176,0.480038,0.756776,0.479143,0.629618,0.368091,0.639368,0.433897,0.704519,0.479941,0.523780,0.353147,0.732581,0.570653,0.776269,0.494047,0.567427,0.368833,0.649076,0.484773,0.787170,0.421556
3200,0.429724,0.415397,0.434303,0.361699,0.544056,0.356188,0.610549,0.472245,0.529165,0.376716,0.806729,0.586834,0.691490,0.514192,0.605933,0.390661,0.709381,0.484302,0.774325,0.476407,0.653424,0.368224,0.663382,0.436560,0.728434,0.479159,0.542769,0.350583,0.743254,0.563867,0.802845,0.492250,0.589596,0.367997,0.657896,0.476518,0.815253,0.413339
3400,0.428980,0.411745,0.438365,0.358743,0.563710,0.356877,0.617385,0.470425,0.543557,0.373869,0.828485,0.587733,0.701071,0.512911,0.625561,0.392211,0.734383,0.489047,0.791074,0.473324,0.676778,0.367392,0.686350,0.438239,0.752503,0.479381,0.561168,0.348481,0.752096,0.557002,0.829620,0.491075,0.610099,0.365869,0.664275,0.467123,0.840871,0.406251
