step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.338423,0.337289,0.328474,0.328608,0.315136,0.314249,0.396399,0.372893,0.661014,0.433021,0.407909,0.353772,0.329105,0.321083,0.450402,0.391286,0.594872,0.461798,0.401717,0.382029,0.339680,0.335054,0.537197,0.483468,0.455749,0.436209,0.437338,0.429134,0.378782,0.360216,0.624685,0.613451,0.486974,0.466873,0.504898,0.475418,0.414757,0.399511,0.719428,0.662417,0.527759,0.435830,0.510482,0.412398,0.416633,0.403018,0.689900,0.618745
2200,0.324197,0.322892,0.313297,0.313417,0.300035,0.297970,0.392051,0.361481,0.685083,0.428818,0.423033,0.349934,0.321004,0.306576,0.455508,0.382132,0.613148,0.459708,0.402584,0.374703,0.326290,0.318555,0.539877,0.478759,0.457431,0.435044,0.433943,0.425295,0.371950,0.345802,0.629901,0.614310,0.490149,0.469250,0.513044,0.481749,0.412941,0.392198,0.751215,0.680664,0.533061,0.433829,0.515621,0.407593,0.413027,0.395987,0.713158,0.624145
2400,0.310795,0.309337,0.299339,0.299447,0.289404,0.283453,0.389986,0.350909,0.709824,0.426012,0.439527,0.349056,0.318352,0.293658,0.463276,0.373334,0.631741,0.457414,0.406296,0.369236,0.316969,0.303820,0.542464,0.473363,0.459150,0.434235,0.431388,0.422316,0.367656,0.333390,0.634725,0.614466,0.492942,0.471452,0.519841,0.487366,0.411815,0.386132,0.779714,0.694086,0.538153,0.432351,0.521594,0.403703,0.411731,0.390921,0.733684,0.628866
2600,0.298499,0.296879,0.286069,0.286173,0.287628,0.270595,0.390726,0.341722,0.732013,0.421603,0.456969,0.349012,0.321228,0.282705,0.471895,0.366418,0.651322,0.455505,0.412783,0.364748,0.311654,0.290666,0.545221,0.467902,0.461107,0.433537,0.428676,0.419098,0.366472,0.322772,0.638239,0.613642,0.496141,0.474204,0.526786,0.493000,0.411229,0.380103,0.806146,0.704541,0.544497,0.432199,0.526000,0.400692,0.411248,0.387074,0.748869,0.631864
2800,0.287564,0.285773,0.273993,0.274093,0.294404,0.259423,0.393951,0.332756,0.753811,0.417870,0.474701,0.350074,0.328201,0.272961,0.483086,0.359816,0.668166,0.452960,0.418980,0.361264,0.311265,0.280106,0.547779,0.462474,0.462956,0.432481,0.426214,0.416465,0.367131,0.314115,0.641116,0.612186,0.500673,0.477928,0.533514,0.498952,0.410752,0.374544,0.835605,0.718810,0.547866,0.429913,0.530778,0.397243,0.409797,0.381939,0.761252,0.634261
3000,0.277510,0.275539,0.262703,0.262783,0.302786,0.250549,0.397047,0.325220,0.774145,0.413519,0.491333,0.350427,0.335306,0.265786,0.493468,0.354686,0.686171,0.450599,0.426978,0.359486,0.313542,0.270038,0.551256,0.458422,0.464825,0.431233,0.424529,0.414513,0.369059,0.306441,0.644291,0.611352,0.504246,0.480760,0.538936,0.503062,0.411088,0.370812,0.857849,0.729620,0.551275,0.428752,0.535206,0.395427,0.409661,0.378796,0.770172,0.635915
3200,0.268224,0.266102,0.252071,0.252129,0.313247,0.243154,0.401852,0.319011,0.792639,0.408791,0.507972,0.350793,0.343627,0.259197,0.504568,0.349858,0.701114,0.447336,0.437369,0.358898,0.318114,0.261604,0.553252,0.453344,0.467689,0.430842,0.422803,0.412612,0.372419,0.300430,0.646550,0.609805,0.507662,0.483692,0.544122,0.507526,0.411927,0.368961,0.878456,0.739123,0.556569,0.428245,0.540587,0.393406,0.409838,0.376369,0.777074,0.637258
3400,0.259533,0.257247,0.242279,0.242325,0.323070,0.237407,0.407685,0.313008,0.810048,0.404079,0.523705,0.350474,0.352086,0.253657,0.516181,0.345981,0.716551,0.444087,0.448426,0.358658,0.323780,0.253764,0.555646,0.448645,0.469897,0.430321,0.420913,0.410472,0.376291,0.295454,0.647531,0.607347,0.510515,0.485781,0.547713,0.510532,0.411347,0.364778,0.891999,0.744806,0.559571,0.428235,0.544000,0.392845,0.410785,0.374238,0.783072,0.638384
3600,0.251710,0.249264,0.233205,0.233230,0.333849,0.232548,0.414710,0.308073,0.825106,0.399650,0.539057,0.350582,0.361452,0.248330,0.529468,0.342660,0.730805,0.440658,0.458741,0.358453,0.331105,0.247401,0.557813,0.443583,0.472727,0.430254,0.419423,0.408812,0.380036,0.290773,0.648931,0.605348,0.514373,0.488611,0.553045,0.515324,0.411620,0.362676,0.901412,0.748743,0.562683,0.427418,0.547207,0.390899,0.410886,0.371786,0.788099,0.639355
3800,0.244846,0.242258,0.224975,0.224986,0.344366,0.227483,0.423605,0.302790,0.838756,0.394791,0.552755,0.349890,0.371481,0.243579,0.544426,0.339551,0.744425,0.437553,0.468752,0.358194,0.337642,0.241883,0.561880,0.438736,0.474725,0.429523,0.417611,0.406846,0.383579,0.286453,0.649718,0.602609,0.515293,0.489355,0.554436,0.516483,0.411768,0.360257,0.910299,0.752293,0.566024,0.426843,0.551141,0.389606,0.411367,0.369474,0.793421,0.640349
4000,0.238203,0.235506,0.217530,0.217529,0.354775,0.223511,0.432294,0.297961,0.851666,0.390350,0.565491,0.349107,0.381643,0.239187,0.558951,0.336306,0.757512,0.433879,0.479035,0.358217,0.344439,0.237044,0.565497,0.434234,0.476977,0.429077,0.416123,0.405183,0.387653,0.282709,0.650723,0.600012,0.516252,0.490005,0.556292,0.518461,0.411818,0.356709,0.918627,0.755973,0.567910,0.425812,0.553418,0.388136,0.411242,0.366740,0.797738,0.641173
4200,0.231906,0.229140,0.210630,0.210598,0.364297,0.220024,0.440749,0.294517,0.862288,0.385830,0.577840,0.347090,0.390764,0.235485,0.572160,0.334062,0.770013,0.430633,0.487912,0.357838,0.350988,0.232906,0.568543,0.429830,0.479479,0.428720,0.415253,0.404054,0.391176,0.279038,0.651104,0.597117,0.517120,0.490907,0.557499,0.520003,0.412261,0.355116,0.925162,0.758955,0.568805,0.424749,0.555206,0.387236,0.411295,0.364840,0.800848,0.641843
4400,0.226319,0.223465,0.204412,0.204348,0.373660,0.216920,0.449263,0.291363,0.871351,0.381650,0.589702,0.345556,0.400019,0.231999,0.585158,0.332378,0.780912,0.427213,0.496784,0.357252,0.357418,0.228818,0.570608,0.425196,0.481302,0.427826,0.413918,0.402410,0.394653,0.276171,0.650532,0.593366,0.518061,0.491539,0.558768,0.521096,0.412662,0.352880,0.930244,0.761192,0.570767,0.424414,0.557174,0.386096,0.411568,0.363260,0.803262,0.642333
4600,0.221166,0.218240,0.198742,0.198658,0.382180,0.214068,0.457878,0.288083,0.880625,0.377258,0.600193,0.343491,0.408661,0.228397,0.598955,0.330639,0.792654,0.424936,0.506140,0.357551,0.363597,0.225191,0.573319,0.421127,0.483766,0.427786,0.413538,0.401745,0.398512,0.273682,0.650639,0.590438,0.517615,0.490879,0.559329,0.521402,0.413167,0.351064,0.934276,0.762956,0.572182,0.423954,0.558956,0.385012,0.411773,0.361687,0.805454,0.642746
4800,0.216599,0.213592,0.193619,0.193508,0.390472,0.211131,0.466654,0.285243,0.888188,0.373004,0.611233,0.341926,0.416803,0.225183,0.611328,0.329024,0.801785,0.421975,0.514568,0.357638,0.369604,0.221853,0.576782,0.417382,0.485178,0.426840,0.412293,0.400225,0.401050,0.270715,0.649404,0.586317,0.517719,0.490826,0.559367,0.521139,0.413233,0.349361,0.937072,0.764146,0.572887,0.423585,0.560014,0.384396,0.411853,0.360321,0.807094,0.643030
