step,mse,sign_acc
1,1.543121,0.518757
2500,0.078754,0.974214
5000,0.073369,0.975733
7500,0.072781,0.975887
10000,0.069421,0.976966
12500,0.072903,0.975839
15000,0.075028,0.975194
17500,0.083872,0.972464
20000,0.069659,0.976882
22500,0.070203,0.976755
25000,0.077770,0.974326
27500,0.079096,0.973976
30000,0.073899,0.975582
32500,0.076964,0.974649
35000,0.082923,0.972841
37500,0.073770,0.975630
40000,0.073194,0.975866
42500,0.081870,0.973107
45000,0.076395,0.974824
47500,0.078472,0.974195
50000,0.076956,0.974661
