step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.554292,0.570901,0.365697,0.371206,0.502405,0.426184,0.496468,0.406693,0.701855,0.623554,0.507312,0.427433,0.566018,0.464586,0.562522,0.446585,0.684007,0.576873,0.457595,0.417443,0.516365,0.453747,0.579917,0.462147,0.654121,0.557279,0.424710,0.409435,0.545949,0.506854,0.584879,0.486979,0.609078,0.551163,0.436807,0.429401,0.520107,0.493571,0.588274,0.494032,0.607873,0.555470,0.450933,0.449299,0.525577,0.505795,0.594372,0.511173
2200,0.557012,0.574308,0.361025,0.364493,0.522251,0.431942,0.501359,0.397949,0.719223,0.626562,0.520587,0.427276,0.584968,0.466549,0.573364,0.442740,0.698604,0.572142,0.459072,0.411010,0.522777,0.447503,0.588293,0.456572,0.667815,0.553823,0.419306,0.399539,0.547180,0.500643,0.593186,0.480990,0.620117,0.550849,0.428545,0.419374,0.516550,0.484784,0.594927,0.487018,0.618169,0.556070,0.444273,0.441722,0.525789,0.501741,0.600192,0.504196
2400,0.560314,0.578577,0.358732,0.359017,0.542708,0.437673,0.507109,0.390206,0.734423,0.626669,0.533394,0.426282,0.602994,0.467158,0.582795,0.438009,0.709582,0.565368,0.461742,0.404876,0.530273,0.442357,0.597376,0.451487,0.678737,0.547739,0.415208,0.390459,0.547387,0.493586,0.599856,0.473338,0.628276,0.547172,0.422309,0.410932,0.514513,0.476871,0.601614,0.478777,0.628679,0.556346,0.437738,0.434353,0.525700,0.497072,0.606040,0.496357
2600,0.561526,0.580369,0.358633,0.355142,0.562997,0.442732,0.511787,0.382973,0.745750,0.624518,0.545359,0.425712,0.621994,0.468257,0.590515,0.433830,0.719664,0.558727,0.464341,0.398779,0.538589,0.436950,0.604171,0.445757,0.688965,0.542622,0.414491,0.383571,0.550942,0.489567,0.606984,0.466515,0.638368,0.545296,0.417566,0.403801,0.513116,0.468937,0.607913,0.471360,0.637916,0.555074,0.432014,0.427594,0.525188,0.492783,0.612033,0.488463
2800,0.563141,0.582140,0.358015,0.351092,0.581332,0.445950,0.517247,0.376224,0.755118,0.621359,0.556444,0.424711,0.641111,0.468607,0.599071,0.429956,0.729233,0.551933,0.469062,0.394760,0.548076,0.432833,0.612688,0.440941,0.697632,0.536196,0.413577,0.376950,0.552099,0.483575,0.613052,0.459399,0.646055,0.542468,0.413863,0.397666,0.514019,0.462860,0.614925,0.464606,0.647792,0.554018,0.428153,0.422778,0.527454,0.490603,0.617591,0.480716
3000,0.563446,0.582882,0.358430,0.347664,0.599927,0.448960,0.521981,0.370178,0.765359,0.619352,0.567332,0.424155,0.661537,0.470186,0.603724,0.424007,0.735726,0.544195,0.473118,0.390882,0.557004,0.428590,0.619522,0.435619,0.706702,0.530410,0.413833,0.371299,0.554996,0.478815,0.619818,0.453342,0.651577,0.537443,0.410407,0.391732,0.512346,0.454314,0.620898,0.458277,0.656363,0.553403,0.424247,0.417719,0.527665,0.486908,0.622270,0.472940
3200,0.564064,0.583798,0.359744,0.345389,0.616096,0.450647,0.527954,0.363566,0.770779,0.614158,0.578386,0.423529,0.680518,0.470950,0.609841,0.418957,0.742091,0.536695,0.479593,0.388198,0.569407,0.426491,0.627452,0.430122,0.714383,0.524329,0.415377,0.367185,0.557813,0.473596,0.627609,0.446509,0.655778,0.531743,0.407876,0.386584,0.513383,0.447522,0.626866,0.450802,0.661817,0.550932,0.419392,0.411721,0.528812,0.483174,0.628393,0.465956
3400,0.563569,0.583464,0.361690,0.343537,0.632396,0.452660,0.532211,0.357399,0.776359,0.609590,0.588291,0.422395,0.698255,0.471664,0.616478,0.414829,0.746699,0.529600,0.484915,0.384263,0.579278,0.422179,0.634567,0.425465,0.721263,0.519582,0.417190,0.362732,0.559737,0.467977,0.634891,0.439666,0.660597,0.527771,0.406202,0.381821,0.514016,0.441320,0.631792,0.443809,0.668217,0.548223,0.416325,0.407463,0.530287,0.479999,0.632461,0.459253
3600,0.563675,0.583717,0.363279,0.341401,0.647897,0.453960,0.536898,0.352063,0.781833,0.605796,0.595840,0.420595,0.715516,0.471597,0.622063,0.410264,0.751018,0.522164,0.490378,0.381610,0.590401,0.420159,0.640931,0.420742,0.724520,0.511619,0.419454,0.359750,0.563552,0.463794,0.640731,0.433262,0.665796,0.523245,0.405201,0.378111,0.516963,0.436753,0.637959,0.437733,0.673247,0.545060,0.413139,0.403129,0.530319,0.475850,0.637244,0.452395
3800,0.562802,0.582905,0.364618,0.339617,0.661636,0.454569,0.540017,0.345984,0.783260,0.599940,0.602555,0.418481,0.730387,0.469812,0.626798,0.405280,0.754484,0.514784,0.496032,0.379449,0.601693,0.417814,0.648508,0.417130,0.729757,0.506164,0.422078,0.357013,0.567066,0.459428,0.646913,0.428276,0.670569,0.519413,0.404524,0.374699,0.517978,0.430650,0.642501,0.431128,0.677632,0.541535,0.410386,0.399097,0.530206,0.472131,0.641949,0.445880
4000,0.561912,0.581925,0.365951,0.338017,0.674013,0.453953,0.543867,0.340613,0.788555,0.597529,0.610229,0.416503,0.745912,0.468556,0.630248,0.400094,0.758893,0.508459,0.501423,0.377176,0.613568,0.416141,0.653978,0.411918,0.734322,0.500838,0.425486,0.354928,0.571918,0.455842,0.652973,0.422740,0.673878,0.515072,0.404877,0.371784,0.520035,0.426041,0.647887,0.425969,0.680502,0.538113,0.407343,0.395065,0.531977,0.469166,0.647223,0.440481
4200,0.562626,0.582637,0.367103,0.336413,0.685634,0.453982,0.548107,0.336087,0.789252,0.591762,0.614919,0.414482,0.759751,0.466794,0.634983,0.396423,0.760915,0.501682,0.506434,0.375553,0.623493,0.413995,0.659810,0.408291,0.737088,0.494727,0.428779,0.353295,0.574575,0.451306,0.657780,0.417403,0.678085,0.511782,0.405065,0.369289,0.522167,0.421651,0.651812,0.420557,0.685199,0.535784,0.406101,0.392459,0.533631,0.466790,0.650844,0.434903
4400,0.561881,0.581890,0.368431,0.334979,0.697233,0.454328,0.550763,0.331601,0.789450,0.586648,0.620563,0.412826,0.771778,0.464959,0.640305,0.393576,0.763765,0.495694,0.511377,0.373751,0.633369,0.411966,0.664432,0.403714,0.739744,0.489322,0.432058,0.351505,0.576981,0.446976,0.663513,0.412725,0.680758,0.507804,0.405634,0.367181,0.524969,0.417989,0.655429,0.414958,0.686973,0.531819,0.404106,0.389334,0.535570,0.464685,0.654113,0.429066
4600,0.561200,0.581129,0.368790,0.333525,0.706017,0.453172,0.552613,0.327226,0.789489,0.581959,0.626225,0.411796,0.784199,0.463926,0.643597,0.390284,0.765933,0.490469,0.515966,0.372322,0.643014,0.410541,0.669617,0.400466,0.742354,0.484133,0.434918,0.350034,0.580302,0.443797,0.668548,0.408535,0.683002,0.504018,0.406498,0.365406,0.526995,0.413888,0.659263,0.410158,0.689898,0.529518,0.402664,0.386900,0.536335,0.462005,0.658087,0.424237
