step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.out_v2d.T,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.out_v2d.T,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.out_v2d.T,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.out_v2d.T,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.out_v2d.T,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.out_v2d.T
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000
200,0.497276,0.497186,0.498341,0.498347,0.498780,0.498684,0.100485,0.499430,0.499106,0.499118,0.499082,0.498953,0.498932,0.100351,0.499678,0.499473,0.498872,0.498829,0.498743,0.498766,0.099782,0.499625,0.499820,0.498735,0.498702,0.498697,0.498719,0.099824,0.499781,0.499546,0.498575,0.498515,0.498483,0.498487,0.099859,0.499885,0.499835,0.498526,0.498492,0.498498,0.498527,0.099885
400,0.487453,0.487319,0.498867,0.498973,0.493651,0.493129,0.102363,0.498204,0.495894,0.497942,0.497795,0.496828,0.496739,0.101923,0.500735,0.499464,0.497944,0.497700,0.497001,0.496797,0.100863,0.500693,0.500232,0.498525,0.498298,0.497523,0.497629,0.100014,0.501519,0.501318,0.497550,0.497306,0.496911,0.497070,0.099573,0.500904,0.500939,0.496480,0.496238,0.496055,0.495933,0.099558
600,0.471718,0.471559,0.502657,0.503030,0.481396,0.481447,0.105335,0.498839,0.491044,0.495793,0.495444,0.491918,0.491560,0.103647,0.501293,0.498138,0.495592,0.494782,0.493626,0.493169,0.102055,0.501760,0.499985,0.500008,0.499330,0.496979,0.496600,0.100965,0.503741,0.502262,0.498519,0.498119,0.497763,0.496562,0.100066,0.502535,0.501977,0.496118,0.495580,0.494562,0.493112,0.099558
800,0.450396,0.450154,0.505752,0.506536,0.460552,0.461961,0.109010,0.502253,0.484241,0.492419,0.491822,0.485748,0.485216,0.105587,0.503396,0.497612,0.489931,0.488363,0.486534,0.484723,0.103578,0.504304,0.501265,0.501853,0.500689,0.497617,0.496734,0.102819,0.505838,0.503335,0.501800,0.501202,0.499574,0.497974,0.100935,0.504933,0.504049,0.497330,0.496829,0.495416,0.490600,0.099915
1000,0.425673,0.425288,0.504302,0.505518,0.435070,0.436587,0.113289,0.512493,0.476208,0.487692,0.486927,0.478240,0.477578,0.108237,0.507971,0.498247,0.483976,0.481664,0.479453,0.476173,0.105856,0.508913,0.504627,0.502644,0.500775,0.498184,0.496674,0.104407,0.507753,0.504234,0.503970,0.503154,0.500987,0.499114,0.102922,0.506089,0.505284,0.498362,0.497947,0.496821,0.491155,0.100629
1200,0.402288,0.401783,0.500633,0.502230,0.411419,0.412393,0.118217,0.528134,0.469693,0.482922,0.481794,0.470462,0.469694,0.111271,0.513064,0.499400,0.478537,0.475845,0.473607,0.468910,0.108045,0.512088,0.507114,0.504287,0.501794,0.498910,0.496858,0.105784,0.510261,0.505339,0.505333,0.504489,0.502281,0.500165,0.103726,0.509488,0.508041,0.500178,0.499789,0.498687,0.492418,0.101446
1400,0.381758,0.380978,0.492290,0.494185,0.390629,0.390386,0.123110,0.546623,0.466002,0.478567,0.476977,0.463157,0.462075,0.114462,0.519597,0.501326,0.471672,0.468747,0.467230,0.461089,0.111063,0.516617,0.510126,0.504913,0.501649,0.499199,0.496777,0.106792,0.512789,0.506671,0.507330,0.506250,0.503702,0.501212,0.104211,0.507528,0.505488,0.502266,0.501858,0.500747,0.493658,0.101505
1600,0.363145,0.361917,0.482865,0.485085,0.372914,0.370662,0.128669,0.567456,0.463485,0.473379,0.471379,0.454646,0.453145,0.117991,0.525593,0.502195,0.465800,0.462510,0.460563,0.452794,0.114627,0.521564,0.513536,0.506860,0.502576,0.499592,0.496898,0.107512,0.517233,0.510607,0.508855,0.507743,0.505272,0.502554,0.104534,0.504907,0.503475,0.503701,0.503378,0.502491,0.494883,0.102419
1800,0.347458,0.345541,0.470142,0.472571,0.359352,0.353890,0.134008,0.589691,0.460246,0.469246,0.466895,0.448246,0.446284,0.121289,0.531642,0.502984,0.461028,0.457555,0.453986,0.444897,0.117586,0.524017,0.514433,0.506736,0.502131,0.499869,0.496917,0.107893,0.520796,0.514639,0.510227,0.509181,0.506864,0.503736,0.104678,0.505152,0.503192,0.506015,0.505793,0.505121,0.496861,0.102285
2000,0.334288,0.331290,0.457556,0.460181,0.348853,0.338758,0.140114,0.613734,0.457631,0.465230,0.462399,0.441245,0.438543,0.125038,0.537403,0.503542,0.455673,0.451925,0.449080,0.437350,0.120888,0.530601,0.518818,0.506986,0.501907,0.500598,0.497373,0.108367,0.523930,0.516038,0.511611,0.510417,0.508341,0.504894,0.105038,0.504069,0.501352,0.508061,0.507647,0.507088,0.498148,0.102502
2200,0.322899,0.318602,0.443710,0.446497,0.342911,0.326120,0.146334,0.636451,0.454266,0.460994,0.457451,0.433940,0.430297,0.128768,0.543404,0.502483,0.449750,0.445664,0.444127,0.430108,0.124564,0.533922,0.520661,0.506472,0.500966,0.500451,0.497125,0.108664,0.526408,0.517302,0.513018,0.511838,0.510052,0.506251,0.105044,0.504969,0.502321,0.509856,0.509621,0.509230,0.499729,0.102497
2400,0.314452,0.308355,0.431973,0.434962,0.341956,0.316116,0.152487,0.660084,0.453429,0.458103,0.453762,0.428390,0.423716,0.132548,0.548486,0.501422,0.444223,0.439891,0.441136,0.424838,0.128449,0.537536,0.522718,0.506492,0.500694,0.500515,0.496834,0.108947,0.527992,0.519003,0.514586,0.513225,0.511310,0.507259,0.105017,0.504859,0.502166,0.511762,0.511658,0.511549,0.501512,0.102506
2600,0.307816,0.299765,0.418749,0.421876,0.344585,0.308046,0.159190,0.684203,0.450340,0.455308,0.449831,0.422649,0.416669,0.136683,0.554418,0.500979,0.438235,0.433616,0.437663,0.419018,0.132564,0.542172,0.525472,0.506917,0.500568,0.500109,0.496101,0.109244,0.531372,0.521213,0.515542,0.514205,0.512900,0.508591,0.105130,0.505970,0.503275,0.513946,0.513731,0.513992,0.503481,0.102628
2800,0.302671,0.292399,0.404718,0.407915,0.349089,0.301134,0.166267,0.710072,0.448015,0.452479,0.445889,0.417146,0.409280,0.141184,0.558567,0.499468,0.433900,0.428861,0.435550,0.414264,0.137018,0.544127,0.526906,0.506815,0.500145,0.499955,0.495582,0.109571,0.532882,0.522092,0.517091,0.515624,0.514541,0.509857,0.105536,0.505581,0.501096,0.516131,0.516063,0.516454,0.505572,0.102656
