stage,step,train_loss
0,1,10.567586
0,100,9.832241
0,200,8.749425
0,300,7.842715
0,400,7.338158
0,500,7.016015
0,600,6.848329
0,700,6.735093
0,800,6.639022
0,900,6.568967
0,1000,6.510254
0,1100,6.456924
0,1200,6.411093
0,1300,6.352380
0,1400,6.334195
0,1500,6.306125
0,1600,6.247654
0,1700,6.230632
0,1800,6.209927
0,1900,6.192823
0,2000,6.172493
0,2100,6.134527
0,2200,6.118067
0,2300,6.097948
0,2400,6.091909
0,2500,6.076237
0,2600,6.068876
0,2700,6.040836
0,2800,6.029924
0,2900,6.003078
0,3000,5.995146
0,3100,5.983579
0,3200,5.976077
0,3300,5.966544
0,3400,5.932619
0,3500,5.925682
0,3600,5.934065
0,3700,5.915090
0,3800,5.905340
0,3900,5.883337
0,4000,5.868147
0,4100,5.895926
0,4200,5.867827
0,4300,5.874183
0,4400,5.860368
0,4500,5.848700
0,4600,5.837596
0,4700,5.842844
0,4800,5.839958
0,4900,5.815409
0,5000,5.812590
0,5100,5.799274
0,5200,5.779811
0,5300,5.774994
0,5400,5.759740
0,5500,5.761187
0,5600,5.776943
0,5700,5.755413
0,5800,5.750152
0,5900,5.759895
0,6000,5.744572
0,6100,5.733431
0,6200,5.728235
0,6300,5.731092
0,6400,5.713487
0,6500,5.709507
0,6600,5.717712
0,6700,5.712148
0,6800,5.706753
0,6900,5.707252
0,7000,5.705008
0,7100,5.696100
0,7200,5.699296
0,7300,5.688345
0,7400,5.700418
0,7500,5.687648
0,7600,5.678059
0,7700,5.671620
0,7800,5.684714
0,7900,5.681573
0,8000,5.671590
1,1,5.738672
1,100,5.680716
1,200,5.668092
1,300,5.663258
1,400,5.646133
1,500,5.633996
1,600,5.614930
1,700,5.590731
1,800,5.560489
1,900,5.546633
1,1000,5.526272
1,1100,5.489921
1,1200,5.486428
1,1300,5.475786
1,1400,5.453166
1,1500,5.431365
1,1600,5.418499
1,1700,5.395346
1,1800,5.394847
1,1900,5.376173
1,2000,5.349609
1,2100,5.353584
1,2200,5.351195
1,2300,5.336819
1,2400,5.338023
1,2500,5.320754
1,2600,5.303837
1,2700,5.286014
1,2800,5.296434
1,2900,5.284499
1,3000,5.281695
1,3100,5.269928
1,3200,5.261778
1,3300,5.254393
1,3400,5.249990
1,3500,5.248980
1,3600,5.244917
1,3700,5.246806
1,3800,5.233785
1,3900,5.235686
1,4000,5.232060
