step,frac_zero,frac_pos,frac_neg,nonzero_per_hyperplane,hamming_vs_init,hamming_frac,sign_flips_vs_init,zero_to_nonzero_vs_init,nonzero_to_zero_vs_init,churn_vs_prev_eval,T_min,T_mean,T_max,b_min,b_mean,b_max,b_absmean,b_frac_nonzero,mean_nonzero_count,proj_std,score_over_temp,divisor_mean
0,0.336028,0.332064,0.331908,254.9654,0,0.00000000,0,0,0,0,0.392065,0.392065,0.392065,0.000000,0.000000,0.000000,0.000000,0.000000,254.9654,0.994844,1.9897,16.0000
200,0.260276,0.369709,0.370015,284.0539,3476419,0.36837462,264109,1963594,1248716,3476419,0.390746,0.391578,0.392261,-0.001938,0.000001,0.001840,0.000279,1.000000,284.0539,1.048742,2.1052,16.0000
400,0.237758,0.381069,0.381173,292.7010,4601234,0.48756430,1020891,2253866,1326477,3066854,0.389025,0.391092,0.392563,-0.003744,-0.000001,0.003743,0.000474,1.000000,292.7010,1.041671,2.1072,16.0000
600,0.244608,0.377523,0.377870,290.0706,4980868,0.52779180,1229036,2307289,1444543,2490406,0.387544,0.390758,0.393158,-0.006782,-0.000003,0.005830,0.000746,1.000000,290.0706,1.040099,2.1083,16.0000
800,0.251689,0.373936,0.374375,287.3513,5249305,0.55623639,1395273,2324974,1529058,2491286,0.386621,0.390367,0.394980,-0.011766,-0.000002,0.007626,0.001136,1.000000,287.3513,1.036674,2.0809,16.0000
1000,0.257671,0.370925,0.371404,285.0544,5427595,0.57512867,1515847,2325607,1586141,2394778,0.384246,0.389968,0.396784,-0.011415,0.000004,0.011033,0.001579,1.000000,285.0544,1.032844,2.0346,16.0000
1200,0.263408,0.368014,0.368578,282.8512,5554431,0.58856869,1604923,2317414,1632094,2303964,0.381752,0.389544,0.398843,-0.016739,0.000006,0.014808,0.002110,1.000000,282.8512,1.029629,1.9777,16.0000
1400,0.267912,0.365703,0.366385,281.1219,5650893,0.59879017,1672595,2310560,1667738,2200271,0.379381,0.389076,0.399649,-0.021338,0.000013,0.018757,0.002676,1.000000,281.1219,1.025779,1.9077,16.0000
1600,0.271098,0.364133,0.364769,279.8984,5723463,0.60647994,1726601,2304808,1692054,2094534,0.376207,0.388594,0.401934,-0.022466,0.000023,0.024903,0.003268,1.000000,279.8984,1.023070,1.8306,16.0000
1800,0.274948,0.362361,0.362691,278.4198,5774290,0.61186582,1760773,2294966,1718551,1924777,0.371762,0.388270,0.404787,-0.023661,0.000029,0.030772,0.003850,1.000000,278.4198,1.017915,1.7417,16.0000
2000,0.278237,0.360698,0.361065,277.1570,5809992,0.61564893,1785034,2285169,1739789,1724414,0.370497,0.388077,0.406715,-0.028541,0.000011,0.032875,0.004362,1.000000,277.1570,1.013658,1.6553,16.0000
2200,0.281074,0.359280,0.359646,276.0674,5837724,0.61858749,1801559,2277384,1758781,1574618,0.365894,0.387992,0.410694,-0.032435,-0.000003,0.032057,0.004845,1.000000,276.0674,1.009338,1.5730,16.0000
2400,0.283592,0.358008,0.358400,275.1007,5860597,0.62101120,1814661,2270390,1775546,1463577,0.365215,0.387973,0.414535,-0.032830,-0.000005,0.034464,0.005310,1.000000,275.1007,1.005845,1.4959,16.0000
2600,0.286377,0.356604,0.357019,274.0311,5878521,0.62291050,1823278,2261901,1793342,1375011,0.363044,0.388088,0.417439,-0.036399,-0.000015,0.038766,0.005725,1.000000,274.0311,1.002018,1.4243,16.0000
2800,0.288726,0.355450,0.355824,273.1293,5892782,0.62442166,1831294,2253942,1807546,1307352,0.361860,0.388243,0.419541,-0.036647,-0.000007,0.040169,0.006113,1.000000,273.1293,0.999108,1.3565,16.0000
3000,0.290798,0.354380,0.354822,272.3335,5906759,0.62590271,1837068,2248264,1821427,1239370,0.359531,0.388424,0.424070,-0.041036,-0.000006,0.042304,0.006457,1.000000,272.3335,0.995256,1.2928,16.0000
3200,0.292491,0.353590,0.353919,271.6835,5918263,0.62712175,1842584,2243271,1832408,1185117,0.357869,0.388589,0.425042,-0.040339,-0.000022,0.042849,0.006786,1.000000,271.6835,0.991057,1.2328,16.0000
3400,0.294711,0.352331,0.352958,270.8310,5928094,0.62816346,1844736,2236635,1846723,1138250,0.357555,0.388833,0.429633,-0.046557,-0.000059,0.040422,0.007098,1.000000,270.8310,0.986485,1.1729,16.0000
3600,0.296036,0.351635,0.352329,270.3221,5938747,0.62929231,1849497,2233328,1855922,1097136,0.357106,0.389005,0.434453,-0.044970,-0.000036,0.039034,0.007385,1.000000,270.3221,0.982964,1.1221,16.0000
3800,0.297719,0.350864,0.351416,269.6757,5946256,0.63008797,1852737,2227520,1865999,1060939,0.354152,0.389218,0.438791,-0.050904,-0.000022,0.040230,0.007669,1.000000,269.6757,0.979138,1.0714,16.0000
4000,0.299377,0.350000,0.350622,269.0391,5952409,0.63073999,1854455,2221914,1876040,1029846,0.352844,0.389436,0.444196,-0.048779,-0.000046,0.041517,0.007937,1.000000,269.0391,0.975425,1.0244,16.0000
