step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
500,7.023694,1.999714,19.663481,19.603579,19.606468,19.604637,19.603348,19.604961,1.003446,1.000390,1.000537,1.000444,1.000378,1.000460,19.699730,19.683416,19.664591,19.660093,19.663752,19.650763,2.33176077e-04,5.52735117e-04,1.95271816e-04,1.64924044e-04,1.63423974e-04,1.61104166e-04,1.61597345e-04
1000,5.880506,1.757454,19.677799,19.609344,19.610512,19.603752,19.601093,19.598513,1.004175,1.000681,1.000739,1.000395,1.000259,1.000128,19.581945,19.714052,19.688721,19.703030,19.738001,19.718735,1.19580885e-03,1.47129525e-03,1.14186609e-03,1.06826588e-03,1.14031322e-03,1.17025385e-03,1.18285883e-03
1500,5.382131,1.620487,19.644634,19.589907,19.591871,19.574648,19.564138,19.550516,1.002478,0.999681,0.999777,0.998900,0.998363,0.997670,19.287136,19.717237,19.635410,19.659433,19.742441,19.811825,3.57340788e-03,3.49661987e-03,3.49202380e-03,3.45534435e-03,3.63705470e-03,3.69812502e-03,3.66127957e-03
2000,5.048724,1.530273,19.557453,19.536816,19.542063,19.509195,19.485714,19.455498,0.998021,0.996958,0.997220,0.995542,0.994343,0.992807,18.865721,19.732908,19.511583,19.558491,19.714602,19.990322,7.27489420e-03,6.50067767e-03,7.24501209e-03,7.31971348e-03,7.52468873e-03,7.59648066e-03,7.46279256e-03
2500,4.834565,1.468908,19.449585,19.471003,19.475679,19.426548,19.386641,19.345680,0.992508,0.993585,0.993811,0.991307,0.989264,0.987179,18.420547,19.742664,19.395027,19.457825,19.694498,20.339033,1.09579906e-02,9.31634475e-03,1.10389143e-02,1.12323239e-02,1.14143584e-02,1.14736715e-02,1.12723308e-02
3000,4.653155,1.415244,19.329252,19.397928,19.401741,19.333958,19.275650,19.221603,0.986359,0.989835,0.990011,0.986562,0.983578,0.980808,17.933578,19.731081,19.266376,19.361000,19.657843,20.881714,1.44901937e-02,1.18706897e-02,1.47411674e-02,1.50441965e-02,1.51270609e-02,1.51511524e-02,1.50068952e-02
3500,4.516170,1.377425,19.197323,19.321396,19.325018,19.239283,19.166203,19.094664,0.979618,0.985911,0.986078,0.981708,0.977971,0.974276,17.466309,19.724802,19.130703,19.276569,19.638914,21.286177,1.78680755e-02,1.41067412e-02,1.82965752e-02,1.87402107e-02,1.87250152e-02,1.86903682e-02,1.86495427e-02
4000,4.437510,1.350996,19.059967,19.249212,19.251463,19.149776,19.063026,18.973198,0.972598,0.982207,0.982299,0.977118,0.972687,0.968024,17.030479,19.726561,19.018488,19.215601,19.624210,21.593040,2.10708771e-02,1.60572529e-02,2.16855351e-02,2.22915858e-02,2.21724063e-02,2.20631119e-02,2.21553706e-02
4500,4.361791,1.331463,18.920099,19.181593,19.182316,19.064957,18.961395,18.853525,0.965447,0.978739,0.978744,0.972769,0.967474,0.961853,16.627029,19.727516,18.934118,19.155996,19.623917,21.841091,2.40809647e-02,1.77336186e-02,2.48878505e-02,2.56602280e-02,2.54280865e-02,2.52563097e-02,2.55196951e-02
5000,4.314962,1.315138,18.780369,19.117771,19.116961,18.983845,18.863033,18.738646,0.958301,0.975461,0.975389,0.968610,0.962437,0.955920,16.259035,19.732658,18.911921,19.121353,19.637135,22.052170,2.68648528e-02,1.91817041e-02,2.78671868e-02,2.87964828e-02,2.84590721e-02,2.82231290e-02,2.86615416e-02
