step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5
500,8.063444,2.287332,19.596186,19.597271,19.597216,19.597584,19.596701,19.596140,1.000013,1.000069,1.000066,1.000084,1.000039,1.000011,19.666115,19.629438,19.622330,19.619907,19.627186,19.627388
1000,6.392974,1.901178,19.596754,19.599714,19.600019,19.599703,19.599062,19.598478,1.000041,1.000193,1.000208,1.000192,1.000159,1.000129,19.667833,19.670252,19.665771,19.677504,19.707750,19.688770
1500,5.829853,1.756799,19.597532,19.601555,19.601904,19.601778,19.600565,19.599497,1.000081,1.000286,1.000303,1.000296,1.000234,1.000179,19.611382,19.673048,19.687513,19.705406,19.759869,19.747051
2000,5.472651,1.655716,19.598406,19.604727,19.603752,19.603291,19.602398,19.600014,1.000124,1.000446,1.000396,1.000371,1.000325,1.000203,19.496515,19.661177,19.694252,19.732431,19.794243,19.814638
2500,5.202289,1.577343,19.599871,19.607470,19.606415,19.605124,19.604143,19.600813,1.000198,1.000584,1.000528,1.000460,1.000409,1.000238,19.289120,19.634350,19.685591,19.775116,19.825411,19.902525
3000,4.998207,1.518513,19.601542,19.610241,19.608337,19.606207,19.605581,19.600061,1.000282,1.000721,1.000621,1.000510,1.000473,1.000192,19.013275,19.588474,19.659424,19.870743,19.848618,20.006399
3500,4.812934,1.463245,19.602146,19.613102,19.610498,19.607197,19.607071,19.598322,1.000309,1.000861,1.000721,1.000548,1.000539,1.000093,18.649912,19.518593,19.620066,20.157469,19.867949,20.114971
4000,4.658621,1.416406,19.602867,19.614849,19.611856,19.606995,19.607443,19.593699,1.000341,1.000941,1.000776,1.000521,1.000543,0.999841,18.192520,19.422585,19.549267,20.509212,19.882528,20.229902
4500,4.532281,1.382779,19.603683,19.616137,19.612993,19.607590,19.607347,19.584806,1.000376,1.000993,1.000816,1.000532,1.000520,0.999365,17.670834,19.314995,19.436394,20.766027,19.884514,20.348423
5000,4.448978,1.354680,19.605194,19.618000,19.613468,19.608877,19.608246,19.571169,1.000444,1.001068,1.000818,1.000577,1.000540,0.998641,17.098700,19.183498,19.295553,20.971403,19.868052,20.472479
5500,4.378034,1.330025,19.606052,19.620726,19.613411,19.609369,19.608164,19.554531,1.000476,1.001185,1.000789,1.000576,1.000513,0.997763,16.559093,19.047365,19.142494,21.126003,19.845600,20.588789
6000,4.295028,1.310791,19.606842,19.622715,19.613844,19.609167,19.607693,19.536861,1.000508,1.001263,1.000786,1.000540,1.000467,0.996830,16.064772,18.909845,18.986179,21.247532,19.811888,20.687452
