step,train_loss,val_bpb
200,7.949254,2.048831
400,6.354224,1.829364
600,5.743800,1.716109
800,5.432169,1.643216
1000,5.233272,1.597258
1200,5.089378,1.562184
1400,4.984152,1.534152
1600,4.916399,1.511221
1800,4.835368,1.492436
2000,4.770281,1.475802
2200,4.720243,1.462513
2400,4.680665,1.450823
2600,4.629474,1.438651
2800,4.600955,1.429786
