step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498097,0.498015,0.498510,0.498515,0.498879,0.498849,0.498269,0.498158,0.498706,0.498644,0.498608,0.498589,0.498487,0.498442,0.501859,0.501507,0.499662,0.499893,0.498839,0.498830,0.498797,0.498744,0.502354,0.502124,0.499966,0.499756,0.500347,0.500340,0.499866,0.499820,0.502680,0.502629,0.500043,0.500010,0.498866,0.498812,0.498504,0.498485,0.501837,0.501524,0.500118,0.500113,0.500336,0.500234,0.499663,0.499637,0.502795,0.502722
400,0.487917,0.487809,0.503289,0.503464,0.496696,0.496412,0.489453,0.489390,0.494848,0.494697,0.497807,0.497799,0.496423,0.496041,0.509193,0.508220,0.500538,0.501083,0.497853,0.497483,0.496375,0.496101,0.512370,0.511716,0.499968,0.499436,0.500349,0.498825,0.494862,0.494735,0.512418,0.511279,0.499412,0.499354,0.500647,0.498496,0.497488,0.497558,0.510324,0.509037,0.499985,0.499578,0.499931,0.497949,0.496934,0.496983,0.512450,0.511718
600,0.472233,0.472110,0.514227,0.514707,0.491936,0.491454,0.476925,0.476942,0.490667,0.490702,0.495474,0.495711,0.492926,0.491038,0.515517,0.514402,0.501774,0.502253,0.497661,0.496579,0.491461,0.489369,0.526972,0.526471,0.499759,0.498862,0.500470,0.495798,0.485751,0.485124,0.529142,0.521191,0.496293,0.496352,0.502435,0.492611,0.492569,0.492779,0.526762,0.519989,0.497764,0.497532,0.501376,0.487877,0.488185,0.488172,0.528117,0.525545
800,0.451854,0.451700,0.526491,0.527364,0.486496,0.486214,0.460646,0.460658,0.487079,0.487152,0.491586,0.492403,0.490443,0.487563,0.517849,0.515794,0.502986,0.503003,0.501645,0.499142,0.491505,0.485448,0.544029,0.542600,0.499958,0.498941,0.504849,0.495896,0.477192,0.474654,0.549384,0.531228,0.495064,0.495078,0.507765,0.481025,0.483986,0.484061,0.545504,0.535079,0.495679,0.495815,0.506651,0.476191,0.478341,0.478056,0.546631,0.545430
1000,0.426735,0.426509,0.537315,0.538727,0.475681,0.475590,0.441420,0.441181,0.484433,0.483601,0.486927,0.488438,0.486798,0.482253,0.518628,0.512230,0.507425,0.506917,0.505704,0.501917,0.492342,0.484381,0.559456,0.557211,0.497916,0.497304,0.511175,0.498738,0.476907,0.469223,0.560759,0.539365,0.492644,0.492737,0.511883,0.470546,0.477643,0.474658,0.555418,0.540525,0.497092,0.497235,0.513337,0.466478,0.471927,0.467919,0.562532,0.559863
1200,0.403755,0.403410,0.545502,0.547472,0.460350,0.460269,0.420554,0.420048,0.482526,0.480223,0.483010,0.485150,0.484727,0.479141,0.517053,0.505044,0.511927,0.510503,0.507925,0.503540,0.493083,0.483871,0.575093,0.568844,0.495721,0.496053,0.519362,0.501789,0.479293,0.464042,0.570188,0.543584,0.491752,0.492630,0.519093,0.462950,0.477575,0.469736,0.560632,0.542488,0.495285,0.495333,0.516741,0.458851,0.471822,0.460685,0.574542,0.570281
1400,0.382885,0.382307,0.551863,0.554465,0.441779,0.441370,0.399713,0.398914,0.480890,0.476475,0.479158,0.481803,0.481779,0.475044,0.513405,0.495953,0.514619,0.512706,0.509812,0.505474,0.495220,0.484578,0.586386,0.581561,0.495226,0.495798,0.525771,0.503914,0.481293,0.463216,0.577517,0.549429,0.490978,0.491287,0.525248,0.461601,0.481388,0.467630,0.565218,0.543838,0.494910,0.495253,0.521575,0.452285,0.473128,0.455080,0.586729,0.574969
1600,0.364397,0.363376,0.555538,0.558703,0.423410,0.422227,0.380356,0.379185,0.479758,0.472788,0.474904,0.478113,0.478246,0.470607,0.508700,0.486938,0.516300,0.514071,0.510878,0.506380,0.496598,0.484357,0.602670,0.597284,0.495578,0.496351,0.532924,0.506531,0.484439,0.463394,0.586914,0.553602,0.487079,0.488360,0.530482,0.453470,0.486375,0.462821,0.569840,0.545172,0.495617,0.495210,0.531314,0.444432,0.476375,0.447303,0.594547,0.577068
1800,0.348237,0.346574,0.555183,0.558833,0.405786,0.403344,0.362814,0.360999,0.479402,0.468991,0.471128,0.474802,0.475006,0.466668,0.503011,0.476846,0.517970,0.515177,0.511013,0.506155,0.497613,0.484101,0.615516,0.606848,0.493088,0.493801,0.542839,0.509607,0.490848,0.464448,0.595428,0.557427,0.485575,0.486086,0.538433,0.444231,0.492089,0.457073,0.573769,0.546468,0.495122,0.494624,0.540371,0.435568,0.480854,0.442409,0.599696,0.578658
2000,0.335309,0.332610,0.556837,0.560926,0.390514,0.385958,0.346555,0.343890,0.479786,0.465431,0.467571,0.471704,0.471652,0.462683,0.496895,0.466971,0.518948,0.515632,0.511449,0.506429,0.498250,0.483406,0.626346,0.617263,0.492899,0.493755,0.553497,0.512346,0.497912,0.465423,0.601957,0.560418,0.487308,0.487411,0.543785,0.435698,0.497946,0.454676,0.577078,0.547529,0.491621,0.492072,0.547235,0.426621,0.485932,0.439337,0.604127,0.579896
2200,0.325127,0.320987,0.554404,0.558756,0.377599,0.369797,0.331748,0.327852,0.480921,0.461219,0.463467,0.468019,0.468399,0.458568,0.490019,0.455980,0.518751,0.514922,0.510772,0.505705,0.498286,0.482507,0.633259,0.624423,0.490933,0.491952,0.564152,0.515650,0.505738,0.465995,0.606436,0.562615,0.484448,0.485631,0.550102,0.427368,0.503698,0.452596,0.579753,0.548395,0.488552,0.488529,0.554696,0.419281,0.490386,0.437496,0.607233,0.580812
2400,0.316794,0.310845,0.551962,0.556525,0.368592,0.355341,0.319161,0.313340,0.483723,0.457781,0.460251,0.465230,0.465397,0.454194,0.484314,0.446819,0.519477,0.515087,0.510898,0.505768,0.498673,0.482061,0.638453,0.630482,0.491402,0.492527,0.573552,0.518420,0.512844,0.467242,0.609787,0.564131,0.485718,0.485278,0.556826,0.420068,0.510841,0.451166,0.581810,0.548941,0.489709,0.487705,0.564655,0.411491,0.495640,0.435417,0.609609,0.581364
2600,0.310054,0.302338,0.548218,0.552915,0.364168,0.342948,0.309191,0.300449,0.486754,0.453831,0.456547,0.461854,0.462697,0.450007,0.477750,0.437165,0.519072,0.514148,0.509978,0.504848,0.497884,0.480586,0.642144,0.634789,0.490807,0.491702,0.583680,0.520319,0.518048,0.468612,0.613032,0.565747,0.484432,0.483652,0.564007,0.412542,0.519693,0.449238,0.583739,0.549548,0.489377,0.487532,0.576048,0.404726,0.504567,0.435718,0.611833,0.581979
2800,0.304810,0.295084,0.545409,0.550227,0.365495,0.332706,0.301652,0.288583,0.490374,0.450194,0.452554,0.458236,0.460285,0.446246,0.472037,0.428740,0.518734,0.513300,0.508771,0.503784,0.497372,0.479340,0.645235,0.638988,0.490260,0.491238,0.591844,0.522604,0.524437,0.470197,0.616049,0.567247,0.485539,0.485642,0.570204,0.406349,0.526560,0.448286,0.585301,0.549985,0.488079,0.486099,0.585390,0.397647,0.511987,0.434694,0.613775,0.582431
3000,0.301595,0.290016,0.543333,0.548267,0.369242,0.324311,0.296996,0.278169,0.493891,0.446839,0.449062,0.454954,0.457943,0.442540,0.467467,0.421763,0.518897,0.513016,0.507615,0.502655,0.495961,0.477683,0.647727,0.642621,0.489403,0.490216,0.598893,0.524026,0.531894,0.471461,0.618692,0.568563,0.485914,0.486820,0.574072,0.402508,0.530848,0.447488,0.586716,0.550366,0.486011,0.483412,0.596920,0.392692,0.519936,0.433505,0.615626,0.582844
3200,0.298517,0.285017,0.539252,0.544293,0.375002,0.317229,0.296692,0.269016,0.498621,0.443925,0.445886,0.451966,0.455622,0.438484,0.462490,0.414708,0.518441,0.511876,0.506011,0.501134,0.494272,0.475708,0.648109,0.642908,0.489928,0.490693,0.605771,0.525711,0.538467,0.472142,0.621027,0.569772,0.485479,0.488073,0.577095,0.397906,0.538010,0.447425,0.587996,0.550705,0.487719,0.484708,0.609976,0.387521,0.527509,0.433429,0.617312,0.583216
3400,0.296982,0.281559,0.533723,0.538823,0.383190,0.312364,0.298695,0.261438,0.503257,0.440887,0.442777,0.449081,0.453543,0.435118,0.458187,0.408587,0.518497,0.511548,0.505080,0.500221,0.492914,0.473866,0.648903,0.643385,0.489178,0.490062,0.614674,0.530486,0.545312,0.473390,0.623306,0.570954,0.485205,0.488537,0.579302,0.393325,0.542623,0.446771,0.589128,0.550964,0.487880,0.485524,0.623665,0.383099,0.534331,0.433088,0.618774,0.583484
3600,0.294964,0.277705,0.528312,0.533475,0.391534,0.307333,0.304358,0.255192,0.508316,0.437917,0.439497,0.445839,0.451597,0.431319,0.453923,0.402593,0.518493,0.511158,0.503703,0.499024,0.490630,0.471239,0.648242,0.641961,0.489001,0.490105,0.622558,0.535072,0.552858,0.474499,0.625294,0.571971,0.485574,0.488634,0.581048,0.389128,0.548748,0.446980,0.590213,0.551212,0.486860,0.484694,0.634047,0.379634,0.541866,0.433080,0.620071,0.583712
3800,0.294085,0.275066,0.522682,0.527898,0.400192,0.303600,0.310172,0.249740,0.513738,0.435278,0.436522,0.442887,0.450059,0.428409,0.449825,0.396875,0.518308,0.510669,0.502787,0.498095,0.489350,0.469269,0.647650,0.640560,0.488902,0.489968,0.629688,0.538439,0.559918,0.475462,0.626989,0.572905,0.484975,0.489423,0.581783,0.384480,0.554336,0.445844,0.591241,0.551498,0.488262,0.485979,0.644410,0.375973,0.549394,0.432494,0.621291,0.583981
4000,0.293548,0.272850,0.517818,0.523059,0.408566,0.300581,0.317193,0.245417,0.519385,0.433076,0.433881,0.440171,0.448081,0.424787,0.445643,0.391164,0.518857,0.510733,0.501748,0.497152,0.488060,0.467381,0.647330,0.639228,0.490290,0.491609,0.637172,0.542242,0.565469,0.475841,0.628190,0.573521,0.485872,0.490634,0.582372,0.381253,0.558888,0.445143,0.592082,0.551663,0.487425,0.485354,0.655733,0.372613,0.557012,0.433235,0.622273,0.584106
4200,0.292766,0.270381,0.512334,0.517607,0.416061,0.297986,0.325154,0.242498,0.524504,0.430574,0.431599,0.437842,0.447052,0.422341,0.441858,0.386019,0.518359,0.509955,0.500466,0.495958,0.486795,0.465375,0.646543,0.637546,0.490525,0.492041,0.642873,0.545450,0.569357,0.476157,0.629072,0.573942,0.487483,0.490949,0.582672,0.378311,0.563418,0.444581,0.592698,0.551713,0.486372,0.484674,0.665661,0.369408,0.563457,0.433124,0.623017,0.584127
4400,0.292183,0.268481,0.508119,0.513415,0.423933,0.295579,0.332716,0.240204,0.530270,0.428714,0.429456,0.435574,0.445543,0.419288,0.438472,0.381260,0.517914,0.509230,0.499229,0.494837,0.485654,0.463531,0.645101,0.634823,0.490309,0.491779,0.649325,0.548235,0.572221,0.476111,0.629866,0.574322,0.488193,0.489966,0.582935,0.375683,0.567170,0.443465,0.593309,0.551793,0.487507,0.485961,0.674335,0.366263,0.569093,0.432226,0.623761,0.584188
4600,0.292516,0.267440,0.503893,0.509178,0.431236,0.293329,0.340117,0.238396,0.536105,0.426976,0.427297,0.433260,0.444268,0.416551,0.435306,0.376937,0.517941,0.508901,0.497833,0.493549,0.484453,0.461795,0.643936,0.632860,0.490531,0.492118,0.656719,0.551126,0.574589,0.476121,0.630476,0.574602,0.489820,0.490859,0.583042,0.372741,0.571491,0.442931,0.593728,0.551774,0.487456,0.485693,0.681729,0.363456,0.573751,0.431877,0.624309,0.584147
4800,0.292149,0.266004,0.499042,0.504302,0.438233,0.291297,0.346799,0.237026,0.541624,0.425154,0.425867,0.431552,0.443302,0.414063,0.432313,0.372908,0.517940,0.508651,0.496910,0.492663,0.483614,0.460319,0.642697,0.630631,0.489574,0.491135,0.660152,0.552240,0.576289,0.476158,0.631107,0.574949,0.489234,0.489339,0.582329,0.370625,0.574401,0.442034,0.594258,0.551908,0.488505,0.486972,0.689455,0.359944,0.580055,0.431667,0.624919,0.584254
5000,0.291498,0.264343,0.495723,0.501069,0.444221,0.288895,0.354032,0.236497,0.546652,0.423273,0.424246,0.429692,0.442267,0.411767,0.429891,0.369412,0.517761,0.508130,0.495786,0.491641,0.482659,0.458983,0.641296,0.628219,0.488634,0.490451,0.663235,0.553662,0.577671,0.475939,0.631622,0.575204,0.487474,0.486597,0.582070,0.368931,0.577411,0.441291,0.594669,0.551971,0.489214,0.486243,0.696479,0.358116,0.583484,0.431103,0.625419,0.584305
