stage,step,train_loss
0,1,10.481373
0,100,9.944719
0,200,9.310465
0,300,8.516171
0,400,7.962738
0,500,7.654604
0,600,7.520653
0,700,7.376488
0,800,7.277844
0,900,7.249383
0,1000,7.170855
0,1100,7.132770
0,1200,7.090707
0,1300,7.065812
0,1400,7.019927
0,1500,7.001690
0,1600,6.975575
0,1700,6.965211
0,1800,6.910338
0,1900,6.852870
0,2000,6.840286
0,2100,6.855564
0,2200,6.859603
0,2300,6.812400
0,2400,6.819664
0,2500,6.783021
0,2600,6.759630
0,2700,6.738272
0,2800,6.771917
0,2900,6.780646
0,3000,6.729508
0,3100,6.698838
0,3200,6.681337
0,3300,6.684125
0,3400,6.688140
0,3500,6.648844
0,3600,6.676053
0,3700,6.672919
0,3800,6.653237
0,3900,6.609503
0,4000,6.647814
0,4100,6.620831
0,4200,6.610826
0,4300,6.630043
0,4400,6.603233
0,4500,6.567523
0,4600,6.587886
0,4700,6.551248
0,4800,6.586433
0,4900,6.554753
0,5000,6.516773
0,5100,6.492181
0,5200,6.545796
0,5300,6.576876
0,5400,6.518431
0,5500,6.522515
0,5600,6.560743
0,5700,6.548743
0,5800,6.549304
0,5900,6.517580
0,6000,6.516236
0,6100,6.466681
0,6200,6.472917
0,6300,6.470137
0,6400,6.455456
0,6500,6.488446
0,6600,6.443726
0,6700,6.448915
0,6800,6.479641
0,6900,6.464694
0,7000,6.473473
0,7100,6.450775
0,7200,6.447659
0,7300,6.477640
0,7400,6.454113
0,7500,6.419749
0,7600,6.438295
0,7700,6.460791
0,7800,6.425080
0,7900,6.413297
0,8000,6.425741
1,1,6.667281
1,100,6.461023
1,200,6.328078
1,300,6.270989
1,400,6.227143
1,500,6.179927
1,600,6.176676
1,700,6.162625
1,800,6.133089
1,900,6.113776
1,1000,6.108068
1,1100,6.097146
1,1200,6.086412
1,1300,6.059283
1,1400,6.062476
1,1500,6.056333
1,1600,6.021213
1,1700,6.019422
1,1800,6.018920
1,1900,6.012559
1,2000,6.001782
1,2100,6.010053
1,2200,6.019222
1,2300,6.019980
1,2400,6.028487
1,2500,6.026664
1,2600,6.028300
1,2700,6.010789
1,2800,6.013742
1,2900,5.996746
1,3000,6.001090
1,3100,5.995903
1,3200,5.995072
1,3300,5.993320
1,3400,5.965831
1,3500,5.966346
1,3600,5.982150
1,3700,5.973015
1,3800,5.969399
1,3900,5.952994
1,4000,5.945533
2,1,6.031805
2,100,5.946638
2,200,5.918354
2,300,5.902661
2,400,5.885922
2,500,5.874855
2,600,5.864377
2,700,5.849779
2,800,5.827368
2,900,5.824278
2,1000,5.813563
2,1100,5.804841
2,1200,5.808414
2,1300,5.809992
2,1400,5.801221
2,1500,5.791502
2,1600,5.787123
2,1700,5.770282
2,1800,5.777354
2,1900,5.770773
2,2000,5.754743
2,2100,5.781704
2,2200,5.792520
2,2300,5.788131
2,2400,5.796980
2,2500,5.786383
2,2600,5.770631
2,2700,5.761139
2,2800,5.771061
2,2900,5.763048
2,3000,5.765599
2,3100,5.754489
2,3200,5.748834
2,3300,5.750390
2,3400,5.746892
2,3500,5.747904
2,3600,5.742278
2,3700,5.747354
2,3800,5.734628
2,3900,5.732951
2,4000,5.730351
