step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out.T_soft,read_out.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497687,0.497965,0.497353,0.497363,0.496586,0.496523,0.498346,0.498330,0.497086,0.497130,0.497865,0.497859,0.498527,0.498580,0.497550,0.497601,0.498343,0.498295,0.498658,0.498627,0.497924,0.497959,0.499041,0.499009,0.498556,0.498543,0.498338,0.498370,0.499520,0.499494,0.498680,0.498620,0.498265,0.498304,0.499493,0.499468,0.497158,0.497305
400,0.490108,0.492598,0.494324,0.494473,0.488220,0.488377,0.499618,0.497193,0.492507,0.493094,0.495639,0.495366,0.498816,0.497460,0.494573,0.495034,0.495829,0.495441,0.498584,0.497318,0.495975,0.496309,0.498652,0.498090,0.497056,0.496800,0.497113,0.497358,0.499711,0.499514,0.497352,0.497134,0.497475,0.497656,0.499694,0.499560,0.492611,0.493297
600,0.476076,0.482169,0.488282,0.488975,0.474801,0.476119,0.507531,0.499030,0.483772,0.484899,0.490365,0.489535,0.506335,0.498948,0.486873,0.488036,0.489972,0.488670,0.504553,0.497354,0.490430,0.491191,0.495648,0.494298,0.501874,0.496387,0.493671,0.494343,0.500156,0.499447,0.498344,0.496435,0.496104,0.496497,0.500425,0.500074,0.487013,0.487568
800,0.458734,0.469060,0.479701,0.481407,0.458990,0.462204,0.521581,0.504196,0.470486,0.471116,0.479656,0.477268,0.521496,0.503833,0.472734,0.473838,0.481813,0.478808,0.518840,0.500569,0.478173,0.478689,0.488357,0.485964,0.517431,0.500856,0.486547,0.487076,0.501482,0.499498,0.504012,0.496966,0.493587,0.494053,0.502310,0.501348,0.482202,0.480403
1000,0.441679,0.455639,0.468392,0.471433,0.442624,0.447148,0.538097,0.509973,0.460868,0.458242,0.468907,0.463160,0.539750,0.509941,0.460166,0.458401,0.475707,0.468706,0.540648,0.508086,0.464898,0.462916,0.479039,0.474218,0.537492,0.506927,0.477500,0.476222,0.504127,0.499640,0.515604,0.498911,0.489587,0.489526,0.505589,0.503349,0.483883,0.473853
1200,0.428765,0.444996,0.456682,0.460961,0.429025,0.433537,0.556397,0.516777,0.459009,0.448837,0.464127,0.451699,0.559870,0.516944,0.454667,0.445168,0.473669,0.460246,0.563381,0.515891,0.455195,0.447791,0.469823,0.460865,0.560669,0.515548,0.471239,0.465327,0.508058,0.499743,0.529146,0.501866,0.485554,0.483923,0.509550,0.505458,0.493928,0.469670
1400,0.421369,0.438623,0.446673,0.451911,0.417861,0.421118,0.573919,0.522648,0.465081,0.442929,0.468480,0.446050,0.581399,0.524598,0.460495,0.434874,0.479437,0.456763,0.586154,0.523058,0.453306,0.434933,0.463890,0.448463,0.585028,0.524052,0.469120,0.454315,0.511289,0.498868,0.547217,0.507038,0.482597,0.478087,0.513882,0.507500,0.509961,0.467708
1600,0.415581,0.432739,0.437325,0.443237,0.411741,0.411030,0.589019,0.526580,0.477709,0.440860,0.478604,0.444699,0.602361,0.531734,0.472930,0.429692,0.488964,0.454942,0.610905,0.531044,0.462004,0.426463,0.463216,0.437989,0.610022,0.532328,0.473271,0.444082,0.516214,0.498226,0.566209,0.512705,0.481086,0.470942,0.518836,0.509360,0.531321,0.467466
1800,0.412749,0.429086,0.429548,0.435158,0.410309,0.403224,0.605165,0.530851,0.493177,0.442054,0.493663,0.447040,0.623023,0.537801,0.490122,0.428000,0.502711,0.455021,0.637318,0.540207,0.476494,0.422368,0.467896,0.431624,0.634448,0.539512,0.483606,0.437080,0.522424,0.498015,0.586474,0.519893,0.481558,0.463957,0.522985,0.510477,0.554330,0.467882
