step,lambda,train_ce,imitation_mse,reg_mse,mse_b0,mse_b1,mse_b2,mse_b3,mse_b4,mse_b5,dense_bpb,swapin_bpb
200,0.00063,9.224755,0.001815,0.001815,0.000258,0.000241,0.000278,0.000323,0.000338,0.000377,2.582582,2.628482
400,0.00125,7.526240,0.000615,0.000615,0.000063,0.000068,0.000084,0.000110,0.000153,0.000137,2.137456,2.178375
600,0.00187,6.653811,0.000617,0.000617,0.000067,0.000067,0.000077,0.000094,0.000126,0.000185,1.976573,2.021660
800,0.00250,6.232077,0.000867,0.000867,0.000099,0.000087,0.000100,0.000117,0.000140,0.000324,1.878803,1.919282
1000,0.00313,5.928448,0.001238,0.001238,0.000138,0.000120,0.000139,0.000162,0.000190,0.000490,1.801917,1.837556
1200,0.00375,5.685177,0.001795,0.001795,0.000195,0.000177,0.000208,0.000234,0.000272,0.000710,1.736951,1.774452
1400,0.00437,5.486311,0.002631,0.002631,0.000277,0.000273,0.000320,0.000348,0.000396,0.001017,1.682771,1.721678
1600,0.00500,5.323602,0.003843,0.003843,0.000398,0.000416,0.000487,0.000518,0.000582,0.001443,1.633608,1.676239
1800,0.00563,5.141096,0.005387,0.005387,0.000540,0.000582,0.000714,0.000736,0.000828,0.001986,1.580420,1.628392
2000,0.00625,4.956775,0.007029,0.007029,0.000655,0.000730,0.000975,0.000977,0.001119,0.002574,1.525826,1.578851
2200,0.00688,4.802062,0.008746,0.008746,0.000772,0.000870,0.001253,0.001236,0.001435,0.003179,1.485559,1.541266
2400,0.00750,4.686961,0.010520,0.010520,0.000878,0.001009,0.001527,0.001505,0.001781,0.003820,1.454002,1.511922
2600,0.00813,4.587992,0.012542,0.012542,0.001017,0.001168,0.001841,0.001824,0.002180,0.004513,1.429341,1.493020
2800,0.00875,4.515348,0.014637,0.014637,0.001141,0.001319,0.002172,0.002154,0.002615,0.005236,1.409584,1.477039
3000,0.00938,4.459472,0.016801,0.016801,0.001265,0.001471,0.002520,0.002494,0.003067,0.005984,1.391234,1.461384
3200,0.01000,4.420835,0.019070,0.019070,0.001397,0.001629,0.002872,0.002860,0.003538,0.006774,1.376391,1.448719
3400,0.01063,4.368372,0.021445,0.021445,0.001528,0.001784,0.003235,0.003246,0.004051,0.007601,1.365535,1.440888
3600,0.01125,4.324540,0.023888,0.023888,0.001661,0.001962,0.003615,0.003644,0.004570,0.008436,1.352850,1.431239
3800,0.01188,4.308128,0.026333,0.026333,0.001797,0.002112,0.004000,0.004041,0.005096,0.009287,1.345074,1.423883
4000,0.01250,4.273169,0.028724,0.028724,0.001912,0.002252,0.004350,0.004416,0.005627,0.010166,1.336418,1.418857
4200,0.01313,4.235397,0.031348,0.031348,0.002049,0.002427,0.004743,0.004858,0.006200,0.011071,1.328396,1.413245
4400,0.01375,4.213860,0.033807,0.033807,0.002175,0.002584,0.005115,0.005252,0.006742,0.011938,1.320338,1.406582
4600,0.01437,4.201260,0.036253,0.036253,0.002293,0.002726,0.005468,0.005647,0.007252,0.012867,1.313670,1.402951
4800,0.01500,4.174568,0.038661,0.038661,0.002409,0.002878,0.005830,0.006041,0.007813,0.013690,1.307790,1.398937
5000,0.01562,4.161631,0.041086,0.041086,0.002514,0.003017,0.006162,0.006445,0.008366,0.014583,1.303483,1.397044
5200,0.01625,4.151753,0.043282,0.043282,0.002612,0.003134,0.006486,0.006802,0.008876,0.015371,1.297349,1.391919
5400,0.01688,4.151326,0.045478,0.045478,0.002702,0.003262,0.006787,0.007134,0.009350,0.016243,1.291165,1.387971
5600,0.01750,4.111642,0.047616,0.047616,0.002794,0.003386,0.007068,0.007471,0.009852,0.017044,1.287771,1.386405
5800,0.01812,4.088028,0.049611,0.049611,0.002879,0.003506,0.007321,0.007800,0.010282,0.017822,1.282777,1.383073
6000,0.01875,4.077652,0.051693,0.051693,0.002963,0.003614,0.007623,0.008127,0.010742,0.018624,1.278861,1.382241
6200,0.01938,4.065734,0.053435,0.053435,0.003036,0.003722,0.007825,0.008378,0.011195,0.019278,1.275773,1.379532
6400,0.02000,4.049507,0.055144,0.055144,0.003101,0.003796,0.008057,0.008684,0.011561,0.019944,1.272273,1.376783
6600,0.02063,4.037094,0.056755,0.056755,0.003172,0.003904,0.008264,0.008916,0.011911,0.020588,1.268533,1.377119
6800,0.02125,4.039088,0.058274,0.058274,0.003238,0.003978,0.008459,0.009149,0.012259,0.021191,1.264811,1.373735
7000,0.02188,4.010766,0.059675,0.059675,0.003275,0.004030,0.008596,0.009375,0.012598,0.021802,1.261877,1.373211
7200,0.02250,3.988401,0.060872,0.060872,0.003319,0.004098,0.008711,0.009550,0.012877,0.022316,1.258982,1.370874
7400,0.02313,3.991574,0.061892,0.061892,0.003350,0.004141,0.008830,0.009706,0.013140,0.022724,1.256477,1.368833
7600,0.02375,3.975372,0.062995,0.062995,0.003380,0.004202,0.008962,0.009871,0.013382,0.023199,1.253606,1.368992
7800,0.02438,3.958509,0.063789,0.063789,0.003395,0.004214,0.009071,0.009969,0.013560,0.023579,1.251322,1.369636
8000,0.02500,3.951352,0.064697,0.064697,0.003423,0.004276,0.009174,0.010115,0.013765,0.023945,1.248859,1.367688
8200,0.02562,3.948418,0.065452,0.065452,0.003426,0.004297,0.009267,0.010217,0.013943,0.024301,1.244949,1.364696
8400,0.02625,3.935813,0.065923,0.065923,0.003426,0.004327,0.009289,0.010286,0.014071,0.024524,1.243179,1.365334
8600,0.02687,3.922283,0.066507,0.066507,0.003431,0.004331,0.009348,0.010356,0.014194,0.024846,1.241266,1.365072
8800,0.02750,3.912554,0.066898,0.066898,0.003417,0.004353,0.009338,0.010432,0.014306,0.025053,1.238921,1.364062
9000,0.02813,3.919023,0.067287,0.067287,0.003417,0.004365,0.009382,0.010486,0.014369,0.025268,1.237524,1.362330
9200,0.02875,3.903101,0.067366,0.067366,0.003394,0.004351,0.009380,0.010494,0.014422,0.025325,1.235770,1.364343
9400,0.02938,3.888166,0.067683,0.067683,0.003384,0.004375,0.009395,0.010525,0.014490,0.025514,1.233510,1.361885
9600,0.03000,3.885527,0.067639,0.067639,0.003367,0.004347,0.009373,0.010479,0.014489,0.025583,1.231576,1.362272
9800,0.03063,3.889041,0.067671,0.067671,0.003336,0.004300,0.009359,0.010493,0.014497,0.025685,1.228357,1.359912
10000,0.03125,3.868593,0.067700,0.067700,0.003326,0.004318,0.009332,0.010507,0.014533,0.025683,1.226448,1.357871
10200,0.03188,3.865660,0.067538,0.067538,0.003290,0.004285,0.009286,0.010478,0.014511,0.025688,1.224772,1.358358
10400,0.03250,3.878584,0.067383,0.067383,0.003261,0.004259,0.009224,0.010435,0.014462,0.025741,1.223451,1.359446
10600,0.03313,3.881392,0.067175,0.067175,0.003217,0.004228,0.009168,0.010403,0.014438,0.025720,1.220663,1.358364
10800,0.03375,3.849621,0.066820,0.066820,0.003173,0.004207,0.009124,0.010310,0.014378,0.025628,1.219756,1.357842
11000,0.03438,3.826066,0.066641,0.066641,0.003151,0.004198,0.009057,0.010280,0.014348,0.025607,1.218288,1.358130
11200,0.03500,3.832009,0.066431,0.066431,0.003118,0.004146,0.008992,0.010272,0.014293,0.025610,1.216751,1.355784
11400,0.03563,3.832380,0.066061,0.066061,0.003097,0.004138,0.008926,0.010172,0.014235,0.025493,1.214736,1.356387
11600,0.03625,3.819098,0.065659,0.065659,0.003051,0.004091,0.008855,0.010120,0.014162,0.025381,1.213559,1.356129
11800,0.03688,3.816915,0.065293,0.065293,0.003016,0.004058,0.008775,0.010051,0.014095,0.025298,1.212441,1.355167
12000,0.03750,3.812777,0.064853,0.064853,0.002979,0.004025,0.008703,0.009982,0.013996,0.025167,1.210728,1.355450
12200,0.03812,3.797194,0.064540,0.064540,0.002946,0.003992,0.008630,0.009939,0.013937,0.025097,1.209675,1.356604
12400,0.03875,3.790237,0.064055,0.064055,0.002908,0.003960,0.008540,0.009875,0.013833,0.024938,1.208711,1.355148
12600,0.03938,3.787744,0.063747,0.063747,0.002885,0.003933,0.008483,0.009788,0.013784,0.024874,1.207644,1.354816
12800,0.04000,3.780622,0.063356,0.063356,0.002849,0.003895,0.008401,0.009744,0.013721,0.024747,1.206639,1.355622
13000,0.04063,3.777194,0.062838,0.062838,0.002818,0.003859,0.008337,0.009652,0.013604,0.024567,1.205887,1.354166
13200,0.04125,3.769034,0.062517,0.062517,0.002792,0.003834,0.008296,0.009594,0.013513,0.024488,1.204610,1.354817
13400,0.04188,3.774344,0.062196,0.062196,0.002766,0.003788,0.008237,0.009518,0.013459,0.024428,1.203386,1.355878
13600,0.04250,3.766035,0.061735,0.061735,0.002727,0.003757,0.008151,0.009456,0.013366,0.024278,1.202980,1.355010
13800,0.04313,3.756591,0.061378,0.061378,0.002700,0.003727,0.008099,0.009378,0.013282,0.024192,1.201765,1.354125
14000,0.04375,3.756920,0.061042,0.061042,0.002672,0.003711,0.008036,0.009346,0.013228,0.024051,1.201273,1.355433
14200,0.04437,3.762340,0.060736,0.060736,0.002657,0.003681,0.007985,0.009305,0.013142,0.023966,1.200608,1.355589
14400,0.04500,3.751570,0.060284,0.060284,0.002620,0.003645,0.007930,0.009227,0.013065,0.023797,1.199865,1.355036
14600,0.04562,3.740443,0.060012,0.060012,0.002600,0.003624,0.007883,0.009170,0.013003,0.023732,1.199858,1.355613
