step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,final_residual_lut.T_soft,final_residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498260,0.498454,0.497851,0.497856,0.496798,0.496748,0.498972,0.499038,0.498871,0.498898,0.499604,0.499575,0.499167,0.499247,0.499313,0.499326,0.500207,0.500079,0.499124,0.499187,0.499223,0.499259,0.499792,0.499731,0.499280,0.499381,0.499348,0.499362,0.500010,0.499938,0.499325,0.499453,0.499243,0.499253,0.499801,0.499764,0.499478,0.498953
400,0.493143,0.494460,0.494795,0.494842,0.488315,0.488836,0.497846,0.497129,0.497059,0.497384,0.498340,0.498549,0.498374,0.498506,0.498737,0.498894,0.501270,0.500738,0.498289,0.497893,0.498224,0.498503,0.497357,0.497310,0.497674,0.497998,0.499216,0.499297,0.502415,0.501808,0.497841,0.497848,0.499151,0.499254,0.500289,0.500085,0.497428,0.495716
600,0.483247,0.486435,0.487523,0.487716,0.473497,0.475772,0.500108,0.494312,0.492819,0.493502,0.495299,0.495891,0.497268,0.495706,0.496653,0.497195,0.501562,0.500159,0.498179,0.494174,0.495302,0.496050,0.491120,0.491239,0.495151,0.494054,0.498235,0.498646,0.510882,0.507746,0.495685,0.495090,0.497546,0.498015,0.500624,0.500019,0.498679,0.490020
800,0.470638,0.474373,0.475462,0.475203,0.453405,0.457432,0.506367,0.490969,0.487067,0.487537,0.491110,0.491466,0.498832,0.491570,0.492654,0.493657,0.501893,0.497958,0.504523,0.489062,0.490791,0.491770,0.483206,0.482485,0.495415,0.488270,0.496404,0.497310,0.526913,0.518660,0.494828,0.489947,0.494003,0.494578,0.500313,0.499030,0.511510,0.481849
1000,0.460283,0.461562,0.461675,0.458920,0.433234,0.437717,0.515733,0.488037,0.481355,0.480064,0.488577,0.485764,0.504696,0.487720,0.488279,0.489306,0.503569,0.494120,0.517171,0.483002,0.485534,0.485803,0.478796,0.473433,0.499141,0.481487,0.493087,0.494525,0.546721,0.531166,0.497789,0.484945,0.489262,0.488475,0.499422,0.496858,0.535367,0.474454
1200,0.454335,0.450475,0.452454,0.444859,0.415382,0.418500,0.526764,0.484992,0.477953,0.473861,0.489417,0.480026,0.512428,0.483289,0.484180,0.484579,0.506546,0.488040,0.532377,0.478464,0.481303,0.479452,0.478436,0.464027,0.507656,0.476572,0.490279,0.491774,0.569462,0.545242,0.506317,0.480648,0.485734,0.481661,0.498106,0.493545,0.563644,0.468851
1400,0.451427,0.441416,0.446665,0.431130,0.404380,0.402037,0.539354,0.482657,0.476205,0.468113,0.495671,0.475723,0.522880,0.479536,0.480440,0.479367,0.511478,0.481379,0.550170,0.472996,0.478932,0.473182,0.483860,0.455544,0.521705,0.472200,0.488054,0.489014,0.591318,0.557569,0.517361,0.477672,0.483963,0.474860,0.496980,0.489668,0.594420,0.465159
1600,0.451756,0.432845,0.444124,0.418984,0.402287,0.388175,0.550760,0.480023,0.476833,0.463363,0.504984,0.471669,0.535142,0.477745,0.477622,0.474028,0.519982,0.474777,0.568643,0.470286,0.477168,0.465957,0.496428,0.448774,0.537527,0.468134,0.485668,0.485541,0.615146,0.570034,0.530038,0.475248,0.485444,0.468912,0.496412,0.484759,0.627307,0.460939
1800,0.453380,0.426453,0.446027,0.408080,0.408666,0.376467,0.563041,0.477893,0.479550,0.459298,0.519084,0.469109,0.546316,0.474276,0.475850,0.468956,0.530552,0.468072,0.587727,0.468031,0.478208,0.459970,0.510087,0.443766,0.554214,0.466875,0.484334,0.482410,0.638390,0.581454,0.542688,0.473636,0.489968,0.464285,0.497095,0.480028,0.661758,0.456332
