step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497855,0.497990,0.496541,0.496541,0.496299,0.496235,0.497618,0.497332,0.497158,0.497184,0.498119,0.498136,0.497844,0.497800,0.497641,0.497640,0.499214,0.499206,0.497784,0.497691,0.497652,0.497688,0.499291,0.499311,0.497771,0.497645,0.497975,0.497989,0.499596,0.499599,0.497765,0.497579,0.497859,0.497918,0.499497,0.499513
400,0.494616,0.495878,0.491663,0.491723,0.486921,0.486941,0.505738,0.501324,0.494247,0.494598,0.495150,0.494774,0.501091,0.498339,0.497083,0.497171,0.502938,0.502354,0.502483,0.499301,0.495983,0.496214,0.498284,0.497937,0.500295,0.498316,0.497462,0.497527,0.499699,0.499529,0.501584,0.498709,0.496871,0.497030,0.498974,0.498924
600,0.489393,0.492477,0.485695,0.486169,0.473445,0.474318,0.523573,0.515310,0.488088,0.488793,0.484002,0.483176,0.513695,0.504106,0.495285,0.495717,0.510524,0.507608,0.517104,0.507583,0.491949,0.492419,0.494969,0.494051,0.508768,0.502156,0.497051,0.497034,0.500664,0.500109,0.510465,0.502958,0.496045,0.496117,0.498599,0.498533
800,0.482358,0.487336,0.477537,0.479127,0.458224,0.460097,0.548491,0.534407,0.478481,0.478653,0.465276,0.463937,0.535036,0.516574,0.491335,0.492130,0.522445,0.515650,0.540964,0.523042,0.485097,0.485179,0.485990,0.484744,0.525846,0.511950,0.496317,0.495660,0.502527,0.501170,0.528756,0.513005,0.495490,0.494976,0.497891,0.497941
1000,0.477813,0.483363,0.468706,0.471757,0.443555,0.445776,0.578756,0.557710,0.469396,0.467063,0.446007,0.443359,0.561596,0.531773,0.485898,0.486154,0.537339,0.524917,0.569536,0.542049,0.477978,0.475270,0.477524,0.473168,0.549415,0.526384,0.495890,0.493603,0.505133,0.502379,0.552819,0.527617,0.496102,0.493726,0.496768,0.496952
1200,0.475133,0.480255,0.461478,0.465806,0.432619,0.434105,0.606994,0.575172,0.466781,0.457989,0.429943,0.424617,0.588779,0.546059,0.481043,0.479501,0.549073,0.530237,0.598126,0.558659,0.474921,0.466929,0.469748,0.460500,0.574197,0.540856,0.497611,0.491765,0.508258,0.503518,0.577816,0.542373,0.498537,0.492963,0.495591,0.495829
1400,0.475152,0.478551,0.454319,0.459933,0.423929,0.423121,0.634469,0.590653,0.471461,0.453334,0.419572,0.408693,0.614980,0.558588,0.477206,0.472344,0.560162,0.534051,0.628405,0.575179,0.478044,0.461081,0.467349,0.450302,0.599980,0.555097,0.500561,0.489426,0.510686,0.503632,0.603391,0.556680,0.503498,0.492999,0.494459,0.494617
1600,0.475524,0.477009,0.447932,0.454632,0.417495,0.412730,0.662112,0.603932,0.481451,0.451647,0.418087,0.396440,0.640244,0.568803,0.476087,0.466238,0.571628,0.537642,0.658394,0.589007,0.485288,0.456066,0.467822,0.441123,0.628725,0.571119,0.506900,0.487990,0.513255,0.503229,0.631677,0.572783,0.511577,0.493806,0.493486,0.493193
1800,0.477211,0.476236,0.442768,0.450233,0.416980,0.405462,0.688434,0.615057,0.495476,0.453562,0.425690,0.389169,0.665141,0.576935,0.477110,0.460293,0.581616,0.538986,0.689358,0.601209,0.498768,0.453296,0.471294,0.434237,0.657030,0.585430,0.515859,0.487120,0.515174,0.502366,0.658309,0.585984,0.520812,0.495195,0.492605,0.491752
2000,0.479714,0.476365,0.438126,0.446144,0.417981,0.398466,0.712189,0.623203,0.510923,0.456655,0.438090,0.384230,0.689599,0.583895,0.481278,0.455029,0.592641,0.540388,0.718650,0.609520,0.513696,0.452201,0.477277,0.427906,0.685607,0.598533,0.527358,0.486648,0.516959,0.500930,0.686126,0.598868,0.532154,0.497097,0.491986,0.490301
2200,0.481454,0.475734,0.433714,0.442081,0.420941,0.392890,0.735852,0.630531,0.528519,0.461779,0.454951,0.384589,0.712658,0.588676,0.486672,0.449750,0.603083,0.540203,0.749576,0.618030,0.531415,0.453792,0.487447,0.424444,0.713360,0.609062,0.539528,0.487221,0.518919,0.499410,0.714796,0.611290,0.545790,0.499951,0.491738,0.488920
2400,0.483864,0.475099,0.430144,0.438622,0.424842,0.387362,0.758471,0.635896,0.546662,0.467387,0.471944,0.385934,0.737829,0.593899,0.495128,0.447062,0.615982,0.541921,0.781169,0.624542,0.551698,0.457236,0.498165,0.421299,0.740201,0.616993,0.553217,0.488518,0.521553,0.497971,0.742738,0.621709,0.560513,0.503063,0.491641,0.487472
2600,0.486659,0.475086,0.426591,0.435206,0.431986,0.383240,0.777619,0.638417,0.565783,0.473409,0.490504,0.388704,0.759992,0.596684,0.504723,0.444314,0.625000,0.540098,0.809115,0.627699,0.571428,0.460785,0.511426,0.420146,0.768693,0.626484,0.567232,0.490222,0.524021,0.496474,0.769460,0.629850,0.575720,0.506308,0.491789,0.486157
2800,0.488991,0.474514,0.423885,0.432282,0.439265,0.380067,0.798461,0.641901,0.583782,0.479301,0.510848,0.393831,0.781490,0.598729,0.515191,0.442956,0.636319,0.540205,0.839162,0.629808,0.593141,0.464930,0.526248,0.419607,0.795253,0.633001,0.582222,0.492150,0.526636,0.494690,0.795718,0.636993,0.592588,0.509937,0.492212,0.484812
3000,0.492747,0.475003,0.421389,0.429358,0.445853,0.376314,0.816623,0.642136,0.603343,0.485543,0.530106,0.397920,0.801046,0.599447,0.525303,0.440661,0.643822,0.537040,0.866840,0.631712,0.614184,0.469190,0.539706,0.419488,0.820146,0.636944,0.596788,0.494555,0.529470,0.493244,0.821213,0.644201,0.608786,0.513668,0.493080,0.483789
3200,0.494427,0.474357,0.418988,0.426600,0.454310,0.373662,0.833168,0.642926,0.621893,0.491048,0.548668,0.400603,0.820994,0.600998,0.538235,0.440132,0.654579,0.536112,0.892611,0.629402,0.636362,0.474198,0.553071,0.419610,0.845562,0.640711,0.613545,0.497631,0.533148,0.491431,0.844926,0.648382,0.628141,0.518351,0.494207,0.482398
3400,0.496037,0.473710,0.417828,0.424896,0.462353,0.370524,0.846528,0.642399,0.639941,0.496047,0.566962,0.403410,0.838432,0.600248,0.551269,0.440057,0.664530,0.534776,0.919242,0.629515,0.656921,0.478045,0.566649,0.419253,0.868974,0.643067,0.629602,0.500493,0.536572,0.489821,0.868181,0.652524,0.646844,0.522812,0.495547,0.481241
3600,0.498481,0.473690,0.415448,0.422069,0.470146,0.366712,0.858804,0.641121,0.656955,0.501164,0.586005,0.407606,0.858046,0.600179,0.564892,0.440161,0.673820,0.532730,0.940159,0.625436,0.676773,0.481332,0.581295,0.419702,0.892046,0.644599,0.645995,0.503437,0.539986,0.488259,0.889402,0.655522,0.664747,0.527022,0.497015,0.480260
3800,0.500980,0.473546,0.413951,0.419970,0.477908,0.363708,0.870531,0.640011,0.673271,0.505491,0.603655,0.410269,0.874467,0.598440,0.577268,0.439967,0.680916,0.529241,0.962673,0.623291,0.696515,0.485103,0.595251,0.420253,0.914794,0.646330,0.661745,0.506185,0.543404,0.486781,0.909695,0.656510,0.682028,0.530667,0.498501,0.479232
4000,0.502006,0.472855,0.412456,0.417946,0.484886,0.360204,0.882046,0.639039,0.688583,0.509016,0.620518,0.412723,0.889996,0.597148,0.590454,0.440742,0.689006,0.526902,0.983783,0.621140,0.716148,0.489380,0.608660,0.421449,0.934951,0.646087,0.677022,0.508940,0.547236,0.485331,0.930070,0.658639,0.700791,0.534725,0.500293,0.478302
4200,0.503052,0.472102,0.411298,0.416306,0.492940,0.357708,0.889059,0.636511,0.703272,0.512391,0.635940,0.414140,0.904853,0.595119,0.603094,0.441067,0.696072,0.523669,1.001102,0.616524,0.733776,0.492041,0.620500,0.421333,0.952050,0.644361,0.692345,0.511681,0.550482,0.483597,0.949450,0.659812,0.718292,0.538404,0.501981,0.477316
4400,0.504656,0.471869,0.410037,0.414682,0.498623,0.354309,0.896576,0.634289,0.718112,0.515840,0.651063,0.416264,0.917626,0.593206,0.614665,0.441204,0.702224,0.520488,1.018881,0.613503,0.751318,0.494915,0.632417,0.420704,0.969347,0.643576,0.707755,0.514974,0.555189,0.482515,0.966082,0.658892,0.735376,0.541812,0.503992,0.476457
4600,0.506172,0.472024,0.408800,0.413149,0.504094,0.351322,0.902872,0.631674,0.730931,0.518341,0.665023,0.417593,0.930973,0.591542,0.625868,0.441523,0.708591,0.517490,1.035793,0.610130,0.768653,0.498156,0.644360,0.421239,0.984260,0.641922,0.722660,0.517592,0.558852,0.481079,0.981272,0.658532,0.751877,0.545187,0.505976,0.475658
4800,0.506167,0.470896,0.407136,0.411308,0.509614,0.348483,0.908307,0.628756,0.743003,0.520636,0.677821,0.418524,0.943714,0.590460,0.636860,0.442225,0.714415,0.514500,1.049524,0.605960,0.783707,0.500142,0.654903,0.421112,1.000257,0.640609,0.736386,0.520053,0.561951,0.479847,0.996423,0.658264,0.767393,0.548080,0.507826,0.475007
5000,0.507194,0.470660,0.406167,0.410169,0.514566,0.346085,0.912586,0.626437,0.753621,0.522368,0.690025,0.419737,0.952989,0.587872,0.646458,0.442169,0.718266,0.511044,1.063877,0.603646,0.797993,0.501855,0.664846,0.421123,1.014995,0.638963,0.748871,0.521889,0.565063,0.478503,1.009140,0.656580,0.782078,0.550495,0.509740,0.474365
5200,0.508044,0.470220,0.405133,0.408964,0.517487,0.343355,0.916181,0.623379,0.763187,0.523860,0.700287,0.420039,0.961949,0.585760,0.655814,0.442557,0.722631,0.508639,1.075910,0.600494,0.812321,0.504385,0.674809,0.422057,1.026512,0.636019,0.760250,0.523730,0.567720,0.477455,1.021924,0.655992,0.796096,0.553076,0.511618,0.473891
5400,0.508017,0.469792,0.404071,0.407825,0.520344,0.340961,0.918868,0.620192,0.771835,0.524996,0.710841,0.420924,0.970476,0.584020,0.664220,0.443196,0.726941,0.506436,1.088293,0.597612,0.824331,0.505804,0.681952,0.421060,1.038059,0.634240,0.771383,0.525510,0.570769,0.476515,1.031969,0.654835,0.808342,0.554887,0.513331,0.473427
5600,0.508362,0.469273,0.402772,0.406611,0.523255,0.338885,0.922260,0.618150,0.779562,0.525761,0.719896,0.421009,0.977282,0.581776,0.671968,0.443401,0.730214,0.504050,1.096656,0.593852,0.834884,0.506532,0.688866,0.420271,1.048257,0.632334,0.781318,0.526886,0.572729,0.475493,1.040770,0.653283,0.819559,0.556527,0.514772,0.472962
5800,0.508539,0.468822,0.401411,0.405280,0.525298,0.336924,0.924590,0.616083,0.786028,0.525985,0.727688,0.421012,0.984875,0.580185,0.679240,0.443567,0.732073,0.501184,1.106501,0.592211,0.845714,0.507986,0.695158,0.419829,1.057309,0.630277,0.790386,0.528115,0.575068,0.474564,1.049576,0.651993,0.830049,0.557817,0.516405,0.472618
6000,0.508106,0.468164,0.400236,0.404308,0.526050,0.334806,0.926690,0.614269,0.792017,0.526659,0.734710,0.421018,0.989831,0.577914,0.685916,0.443817,0.734483,0.498534,1.112888,0.589001,0.854613,0.508839,0.700908,0.419597,1.065445,0.628700,0.798527,0.529357,0.577343,0.473914,1.056621,0.650521,0.839333,0.558989,0.517830,0.472276
6200,0.508354,0.467888,0.399043,0.403343,0.526359,0.332701,0.928257,0.612594,0.797054,0.526847,0.740919,0.420742,0.995158,0.576465,0.692161,0.444327,0.736392,0.496511,1.119384,0.586577,0.862430,0.509562,0.705803,0.419171,1.072293,0.626868,0.805593,0.530146,0.579456,0.473199,1.063443,0.649762,0.848168,0.560191,0.519368,0.472050
6400,0.508152,0.467239,0.398014,0.402439,0.526942,0.331131,0.928962,0.610611,0.801273,0.527244,0.746052,0.420743,0.999523,0.574937,0.697579,0.444791,0.738058,0.494643,1.125990,0.584698,0.869646,0.510483,0.710751,0.418989,1.078224,0.625170,0.811786,0.530800,0.580962,0.472417,1.068947,0.648418,0.855888,0.561138,0.520577,0.471802
6600,0.508277,0.466978,0.396888,0.401499,0.526725,0.329575,0.928916,0.608654,0.805178,0.527388,0.750659,0.420362,1.003108,0.573321,0.701908,0.444971,0.739577,0.492892,1.130253,0.582725,0.875964,0.511072,0.714851,0.418593,1.082902,0.623670,0.817344,0.531454,0.582493,0.471874,1.073489,0.647126,0.862595,0.561794,0.521634,0.471577
6800,0.507997,0.466490,0.395698,0.400570,0.526333,0.328022,0.929638,0.607300,0.808242,0.527383,0.754622,0.420224,1.006823,0.572185,0.706075,0.445223,0.740339,0.491066,1.135476,0.581362,0.881770,0.511763,0.718916,0.418678,1.087729,0.622163,0.822377,0.532106,0.583845,0.471368,1.077707,0.646051,0.868796,0.562398,0.522575,0.471383
7000,0.507781,0.466093,0.394762,0.399783,0.525703,0.326537,0.929570,0.605761,0.810672,0.527233,0.758107,0.419923,1.010354,0.571344,0.710113,0.445470,0.741326,0.489711,1.138909,0.579800,0.886918,0.512341,0.722264,0.418614,1.091895,0.620765,0.827033,0.532636,0.585100,0.470863,1.080786,0.644763,0.874456,0.563094,0.523498,0.471186
7200,0.507961,0.466050,0.393761,0.398969,0.524986,0.325281,0.929554,0.604327,0.813084,0.527229,0.761469,0.419722,1.012814,0.570264,0.713362,0.445630,0.742004,0.488382,1.141822,0.578348,0.891464,0.512555,0.724873,0.418078,1.095528,0.619747,0.830932,0.533033,0.586256,0.470425,1.084158,0.643912,0.879200,0.563476,0.524407,0.471042
7400,0.507782,0.465805,0.393050,0.398420,0.524477,0.324241,0.929471,0.603215,0.815412,0.527217,0.764374,0.419563,1.015288,0.569235,0.716210,0.445828,0.742681,0.487148,1.144443,0.577168,0.895668,0.512963,0.727383,0.417811,1.098320,0.618581,0.834619,0.533505,0.587267,0.470092,1.086679,0.642880,0.883466,0.563853,0.525137,0.470935
7600,0.507703,0.465618,0.392272,0.397850,0.523745,0.323191,0.930046,0.602532,0.817717,0.527417,0.767437,0.419557,1.017145,0.568247,0.718892,0.445819,0.742652,0.485656,1.147331,0.576027,0.899308,0.513126,0.729505,0.417452,1.100433,0.617306,0.837865,0.533830,0.588045,0.469726,1.089259,0.642060,0.887565,0.564257,0.525801,0.470831
7800,0.507576,0.465429,0.391647,0.397377,0.522782,0.322083,0.930198,0.601588,0.819557,0.527462,0.769931,0.419440,1.018985,0.567463,0.721247,0.445910,0.743390,0.484666,1.149420,0.574871,0.902758,0.513424,0.731551,0.417198,1.103095,0.616275,0.840847,0.534112,0.588867,0.469410,1.091149,0.640938,0.891330,0.564534,0.526360,0.470669
8000,0.507473,0.465202,0.390908,0.396817,0.522080,0.321139,0.930336,0.600780,0.821086,0.527315,0.772386,0.419186,1.020921,0.566847,0.723933,0.446148,0.743730,0.483554,1.151775,0.573875,0.906271,0.513677,0.733630,0.416918,1.105197,0.615356,0.843840,0.534416,0.589729,0.469099,1.093741,0.640259,0.894796,0.564576,0.526972,0.470546
