step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.ffn_lut.T_soft,L0.ffn_lut.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.ffn_lut.T_soft,L1.ffn_lut.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.ffn_lut.T_soft,L2.ffn_lut.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.ffn_lut.T_soft,L3.ffn_lut.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.ffn_lut.T_soft,L4.ffn_lut.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.ffn_lut.T_soft,L5.ffn_lut.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498012,0.497922,0.499067,0.499067,0.499490,0.499430,0.500494,0.500532,0.497858,0.497871,0.499166,0.499157,0.498707,0.498825,0.499203,0.499137,0.500181,0.500100,0.498519,0.498490,0.499412,0.499738,0.498013,0.498103,0.498948,0.498765,0.499714,0.499631,0.499181,0.499135,0.500001,0.499959,0.498382,0.498489,0.499034,0.498869,0.499876,0.499834,0.499269,0.499219,0.499950,0.499929,0.498194,0.498314,0.498901,0.498733,0.499836,0.499750,0.499160,0.499114,0.500049,0.500002,0.498251,0.498343,0.498934,0.498777,0.500159,0.500111,0.499165,0.499121
400,0.490158,0.489720,0.496475,0.496511,0.498058,0.497394,0.500052,0.501032,0.488420,0.488394,0.496947,0.496755,0.496213,0.496365,0.496991,0.496754,0.502649,0.502903,0.492399,0.492297,0.498526,0.498625,0.495723,0.496483,0.498974,0.497411,0.496424,0.496327,0.505845,0.505319,0.498606,0.498731,0.497722,0.498204,0.500975,0.500798,0.496618,0.496716,0.506528,0.505973,0.497321,0.497260,0.497361,0.498077,0.501315,0.501154,0.496534,0.496740,0.506047,0.505703,0.499458,0.499419,0.498185,0.498654,0.498408,0.498190,0.498374,0.498445,0.504643,0.503895
600,0.475074,0.474569,0.492723,0.492749,0.492089,0.490666,0.494711,0.497684,0.473283,0.473148,0.492727,0.491365,0.493133,0.493233,0.493234,0.492530,0.510146,0.510890,0.487354,0.486490,0.498731,0.498375,0.498514,0.499792,0.507222,0.504658,0.496687,0.496087,0.522234,0.520959,0.498353,0.499236,0.505153,0.504893,0.505105,0.504185,0.496580,0.495538,0.522951,0.521793,0.496690,0.496974,0.502560,0.502305,0.504620,0.504075,0.493443,0.493049,0.522410,0.521412,0.498426,0.498376,0.505358,0.504274,0.493984,0.493214,0.493235,0.492489,0.518574,0.516448
800,0.456247,0.455642,0.483327,0.483247,0.485018,0.482941,0.483305,0.487967,0.452573,0.452329,0.486302,0.483559,0.488173,0.488419,0.487610,0.486135,0.523049,0.525392,0.483020,0.481176,0.499388,0.498309,0.500303,0.501917,0.511644,0.507128,0.501957,0.500049,0.541476,0.541951,0.497284,0.498667,0.517936,0.516738,0.512962,0.507610,0.484086,0.481466,0.547480,0.543673,0.494503,0.494897,0.512445,0.502766,0.506754,0.502605,0.485892,0.483889,0.546234,0.544734,0.495630,0.495864,0.516137,0.506930,0.493578,0.489117,0.481442,0.479376,0.542325,0.534621
1000,0.435240,0.434487,0.468625,0.468237,0.477682,0.474871,0.469060,0.474003,0.430850,0.430366,0.479253,0.473924,0.482273,0.482897,0.481338,0.478810,0.535854,0.541148,0.478976,0.476090,0.501244,0.499607,0.501921,0.503818,0.515981,0.509554,0.505582,0.502782,0.561103,0.564956,0.495550,0.497482,0.534033,0.532613,0.529266,0.517405,0.472530,0.467639,0.576492,0.561221,0.496902,0.497469,0.524521,0.503088,0.519796,0.507249,0.472926,0.469177,0.574906,0.569756,0.495898,0.495999,0.526640,0.504316,0.501454,0.491152,0.472438,0.467622,0.568744,0.550635
1200,0.411818,0.410987,0.452347,0.451752,0.469921,0.466485,0.458135,0.460949,0.410834,0.409991,0.473342,0.463568,0.476524,0.477404,0.476571,0.473220,0.548928,0.556184,0.475575,0.471691,0.503559,0.500630,0.500090,0.502336,0.517305,0.509544,0.511988,0.507654,0.575328,0.585045,0.497327,0.499587,0.551441,0.549958,0.546203,0.530474,0.462597,0.455383,0.605833,0.573291,0.494824,0.495060,0.536758,0.502799,0.538365,0.517724,0.463630,0.457297,0.606178,0.591566,0.491479,0.492098,0.542196,0.499757,0.514838,0.500670,0.459869,0.452923,0.596463,0.567097
1400,0.389184,0.388295,0.436896,0.436134,0.460110,0.455722,0.444665,0.444492,0.392180,0.390705,0.469317,0.450979,0.470609,0.471861,0.471503,0.467673,0.561879,0.571611,0.471580,0.466619,0.503840,0.500591,0.498730,0.501110,0.518336,0.509588,0.517077,0.511358,0.589232,0.603752,0.493400,0.496341,0.567183,0.564182,0.564137,0.545240,0.453683,0.443647,0.634616,0.584004,0.495316,0.495991,0.548414,0.500402,0.556393,0.529158,0.453044,0.444240,0.636368,0.615864,0.492727,0.494099,0.555118,0.498867,0.528198,0.511013,0.451794,0.442218,0.627294,0.584676
1600,0.368416,0.367400,0.420501,0.419667,0.449983,0.444405,0.434001,0.428080,0.375259,0.372713,0.469764,0.438178,0.465364,0.466839,0.466523,0.462156,0.573500,0.585757,0.467133,0.461152,0.503241,0.499668,0.496994,0.499617,0.518460,0.509001,0.521310,0.513745,0.600346,0.616658,0.489777,0.493081,0.583360,0.578580,0.581346,0.558715,0.444288,0.431930,0.661795,0.594153,0.494987,0.495944,0.561189,0.499304,0.573207,0.540575,0.449338,0.437052,0.665538,0.633857,0.492867,0.493896,0.567928,0.497228,0.542736,0.520475,0.446226,0.433984,0.654349,0.602204
1800,0.350031,0.348649,0.405081,0.404162,0.440848,0.433790,0.429714,0.413079,0.360799,0.356601,0.475708,0.424554,0.459129,0.460954,0.462076,0.456858,0.584614,0.598877,0.462671,0.455728,0.502349,0.498852,0.494728,0.497622,0.517516,0.507740,0.525970,0.517121,0.608360,0.626853,0.488695,0.491810,0.599174,0.592619,0.598783,0.572071,0.438019,0.423154,0.687799,0.603584,0.494340,0.494585,0.572951,0.499659,0.591486,0.552335,0.446647,0.431465,0.688138,0.643472,0.490306,0.488961,0.583415,0.494947,0.554347,0.528129,0.442167,0.427086,0.672676,0.609263
