step,frac_zero,frac_pos,frac_neg,nonzero_per_hyperplane,hamming_vs_init,hamming_frac,sign_flips_vs_init,zero_to_nonzero_vs_init,nonzero_to_zero_vs_init,churn_vs_prev_eval,T_min,T_mean,T_max,b_min,b_mean,b_max,b_absmean,b_frac_nonzero,mean_nonzero_count,proj_std,score_over_temp,divisor_mean,sparsity_surrogate,penalty_value,target_nonzero_frac,sparsity_slack,hinge_active
0,0.336488,0.331743,0.331768,254.7886,0,0.00000000,0,0,0,0,0.392065,0.392065,0.392065,0.000000,0.000000,0.000000,0.000000,0.000000,254.7886,0.994041,1.9881,16.0000,0.624569,74.741262,0.500000,+0.124569,1
200,0.582108,0.208790,0.209102,160.4705,645980,0.27380201,5450,30520,610010,645980,0.390736,0.391524,0.392177,-0.001992,-0.000004,0.002030,0.000732,1.000000,160.4705,0.789790,1.5850,16.0000,0.475252,0.000000,0.500000,-0.024748,0
400,0.627195,0.186256,0.186549,143.1571,873072,0.37005615,31548,77830,763694,357679,0.387670,0.391038,0.392481,-0.004825,-0.000010,0.004851,0.001282,1.000000,143.1571,0.796927,1.6127,16.0000,0.447475,0.000000,0.500000,-0.052525,0
600,0.583266,0.208592,0.208142,160.0257,986395,0.41808870,84628,159772,741995,391873,0.384318,0.391296,0.394062,-0.008757,-0.000005,0.007223,0.001734,1.000000,160.0257,0.814067,1.6561,16.0000,0.486845,0.036490,0.500000,-0.013155,0
800,0.621684,0.189269,0.189047,145.2733,1022832,0.43353271,76880,136545,809407,368585,0.382772,0.392616,0.396520,-0.012251,-0.000014,0.013106,0.002116,1.000000,145.2733,0.739260,1.4933,16.0000,0.457327,0.000000,0.500000,-0.042673,0
1000,0.631085,0.184486,0.184429,141.6632,1048695,0.44449487,80023,136815,831857,290250,0.383365,0.394817,0.399638,-0.020870,-0.000018,0.018375,0.002446,1.000000,141.6632,0.737621,1.4669,16.0000,0.449974,0.000000,0.500000,-0.050026,0
1200,0.617810,0.191160,0.191030,146.7609,1072312,0.45450509,95528,156531,820253,285878,0.385350,0.397785,0.403728,-0.028083,-0.000021,0.024073,0.002774,1.000000,146.7609,0.731115,1.4255,16.0000,0.459555,0.000000,0.500000,-0.040445,0
1400,0.615001,0.192510,0.192490,147.8397,1089799,0.46191704,102949,164878,821972,273533,0.387188,0.401141,0.407290,-0.034981,-0.000004,0.033513,0.003155,1.000000,147.8397,0.710253,1.3489,16.0000,0.460367,0.000000,0.500000,-0.039633,0
1600,0.627274,0.186367,0.186360,143.1270,1100837,0.46659556,99532,157628,843677,252241,0.392130,0.404852,0.412515,-0.036465,-0.000008,0.038224,0.003630,1.000000,143.1270,0.712758,1.3038,16.0000,0.448665,0.000000,0.500000,-0.051335,0
1800,0.612877,0.193595,0.193528,148.6553,1118918,0.47425929,113645,176595,828678,248413,0.397821,0.409009,0.419488,-0.041334,0.000014,0.045748,0.004180,1.000000,148.6553,0.730003,1.2760,16.0000,0.456669,0.000000,0.500000,-0.043331,0
2000,0.577317,0.211427,0.211257,162.3104,1140083,0.48323017,140887,215505,783691,283345,0.402139,0.411584,0.422617,-0.043500,-0.000000,0.050412,0.004724,1.000000,162.3104,0.769227,1.2848,16.0000,0.487770,0.000000,0.500000,-0.012230,0
2200,0.591641,0.204078,0.204281,156.8099,1145012,0.48531935,134229,204401,806382,267415,0.402802,0.413222,0.426984,-0.039685,0.000003,0.046817,0.005265,1.000000,156.8099,0.801489,1.2766,16.0000,0.474704,0.000000,0.500000,-0.025296,0
2400,0.595260,0.202293,0.202447,155.4202,1153710,0.48900604,134537,204327,814846,247646,0.401703,0.414849,0.433762,-0.044245,-0.000007,0.053224,0.005781,1.000000,155.4202,0.814309,1.2339,16.0000,0.469538,0.000000,0.500000,-0.030462,0
2600,0.587160,0.206436,0.206404,158.5304,1164314,0.49350062,142728,215088,806498,245149,0.402361,0.416622,0.442344,-0.043327,-0.000010,0.050819,0.006281,1.000000,158.5304,0.819018,1.1801,16.0000,0.474448,0.000000,0.500000,-0.025552,0
2800,0.570556,0.214595,0.214848,164.9064,1175996,0.49845210,156690,233535,785771,247710,0.399881,0.416667,0.450408,-0.045221,0.000027,0.053278,0.006764,1.000000,164.9064,0.817735,1.1235,16.0000,0.487638,0.000000,0.500000,-0.012362,0
3000,0.596527,0.201711,0.201762,154.9338,1177500,0.49908957,141828,211082,824590,226644,0.396258,0.416357,0.458122,-0.046601,-0.000004,0.061064,0.007197,1.000000,154.9338,0.816563,1.0703,16.0000,0.466771,0.000000,0.500000,-0.033229,0
3200,0.581980,0.208991,0.209030,160.5199,1187936,0.50351292,153815,227467,806654,228399,0.394098,0.416344,0.465099,-0.049244,-0.000012,0.057944,0.007643,1.000000,160.5199,0.813376,1.0180,16.0000,0.478261,0.000000,0.500000,-0.021739,0
3400,0.578907,0.210596,0.210497,161.6997,1195540,0.50673592,158532,232535,804473,231567,0.392760,0.415581,0.471772,-0.049361,-0.000047,0.062509,0.008070,1.000000,161.6997,0.809497,0.9678,16.0000,0.480352,0.005627,0.500000,-0.019648,0
3600,0.576199,0.211946,0.211854,162.7394,1202816,0.50981987,162164,237551,803101,223922,0.388035,0.414258,0.477497,-0.053136,-0.000046,0.061762,0.008486,1.000000,162.7394,0.804056,0.9192,16.0000,0.482112,0.000000,0.500000,-0.017888,0
3800,0.588012,0.205952,0.206036,158.2033,1206193,0.51125127,155913,228430,821850,215200,0.383937,0.413413,0.484776,-0.056198,-0.000059,0.063451,0.008893,1.000000,158.2033,0.796822,0.8729,16.0000,0.474232,0.000000,0.500000,-0.025768,0
4000,0.587924,0.205974,0.206102,158.2373,1212386,0.51387620,158465,230355,823566,209959,0.380562,0.412221,0.492182,-0.058199,-0.000069,0.067396,0.009227,1.000000,158.2373,0.791182,0.8311,16.0000,0.475268,0.000000,0.500000,-0.024732,0
4200,0.575632,0.212248,0.212120,162.9574,1220010,0.51710767,168523,243638,807849,216168,0.377380,0.410674,0.497110,-0.060699,-0.000017,0.067718,0.009618,1.000000,162.9574,0.785048,0.7918,16.0000,0.483204,0.000000,0.500000,-0.016796,0
4400,0.587908,0.206006,0.206086,158.2433,1222615,0.51821178,161793,233824,826998,208175,0.372850,0.409044,0.502156,-0.065587,-0.000044,0.070972,0.009977,1.000000,158.2433,0.778259,0.7541,16.0000,0.474724,0.000000,0.500000,-0.025276,0
4600,0.584061,0.208014,0.207926,159.7207,1227596,0.52032304,165843,238828,822925,205311,0.369671,0.407752,0.509797,-0.066943,-0.000087,0.072712,0.010340,1.000000,159.7207,0.771813,0.7199,16.0000,0.478310,0.000000,0.500000,-0.021690,0
4800,0.585921,0.207063,0.207016,159.0063,1231946,0.52216679,166524,238468,826954,204433,0.366778,0.405699,0.514507,-0.070423,-0.000084,0.073387,0.010664,1.000000,159.0063,0.766235,0.6898,16.0000,0.476472,0.009841,0.500000,-0.023528,0
5000,0.575066,0.212296,0.212638,163.1746,1237226,0.52440476,174930,249710,812586,207372,0.361725,0.404224,0.518791,-0.074182,-0.000109,0.071561,0.011018,1.000000,163.1746,0.762392,0.6643,16.0000,0.484430,0.000000,0.500000,-0.015570,0
5200,0.596143,0.201913,0.201944,155.0811,1237635,0.52457809,161696,231668,844271,191623,0.357204,0.401966,0.522841,-0.079654,-0.000091,0.071638,0.011330,1.000000,155.0811,0.758117,0.6379,16.0000,0.469927,0.000000,0.500000,-0.030073,0
