step,train_loss,val_bpb
300,7.146344,1.964312
600,5.869774,1.764055
900,5.439791,1.664749
1200,5.196111,1.604083
1500,5.015804,1.553774
1800,4.859236,1.508439
2100,4.732588,1.474850
2400,4.655509,1.453715
2700,4.600958,1.440742
3000,4.569364,1.432354
