step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498270,0.498197,0.498642,0.498560,0.498067,0.497991,0.498754,0.498682,0.500100,0.500049,0.502464,0.502322,0.499739,0.499577,0.500050,0.500031,0.502669,0.502571,0.499790,0.499869,0.499617,0.499571,0.502731,0.502613,0.500056,0.500163,0.501226,0.501210,0.502727,0.502754,0.500270,0.500001,0.501859,0.501851,0.502756,0.502788
400,0.488086,0.487990,0.492260,0.491851,0.488839,0.488854,0.494579,0.494309,0.498376,0.498149,0.507069,0.506361,0.500091,0.500277,0.499058,0.498476,0.512109,0.511403,0.500885,0.500880,0.497264,0.497205,0.512271,0.511256,0.501461,0.501383,0.504812,0.504792,0.512945,0.512695,0.499877,0.499633,0.502077,0.501859,0.512878,0.512626
600,0.472445,0.472322,0.483998,0.482632,0.475882,0.476110,0.486278,0.484155,0.496066,0.495462,0.510671,0.509088,0.503220,0.502665,0.497930,0.495188,0.526281,0.525040,0.500482,0.500186,0.488426,0.486847,0.528444,0.520693,0.501735,0.501542,0.498621,0.497550,0.528887,0.528870,0.498714,0.498407,0.492331,0.491556,0.528208,0.528629
800,0.451428,0.451220,0.475923,0.473451,0.459124,0.459516,0.476642,0.469474,0.491509,0.490382,0.509337,0.506669,0.504671,0.504191,0.498668,0.494946,0.543142,0.539046,0.500997,0.500306,0.486133,0.477649,0.547303,0.530809,0.502910,0.502909,0.496010,0.490638,0.546221,0.547115,0.497766,0.497508,0.486773,0.483411,0.544845,0.544638
1000,0.426684,0.426400,0.463221,0.459067,0.439597,0.439926,0.470471,0.454560,0.486358,0.484402,0.506106,0.502009,0.508170,0.506968,0.499638,0.494810,0.559145,0.548066,0.500387,0.500189,0.487668,0.475548,0.564688,0.545468,0.501314,0.502212,0.490789,0.480896,0.562919,0.559822,0.496326,0.496189,0.489389,0.478755,0.558953,0.551358
1200,0.403714,0.403298,0.446696,0.440872,0.420006,0.420113,0.469326,0.438834,0.481087,0.478117,0.499642,0.494325,0.509153,0.507964,0.499913,0.494767,0.574964,0.558910,0.496940,0.496951,0.491138,0.475990,0.583971,0.556938,0.500684,0.501693,0.494073,0.476702,0.578038,0.564884,0.496640,0.496676,0.494042,0.473882,0.572943,0.555201
1400,0.383061,0.382392,0.429491,0.421839,0.400839,0.400497,0.474077,0.424576,0.474997,0.471111,0.492493,0.486074,0.511280,0.509593,0.500112,0.494428,0.590178,0.574032,0.494064,0.495478,0.495921,0.477337,0.605827,0.569248,0.499157,0.500201,0.499848,0.475199,0.592309,0.568531,0.496211,0.495955,0.500130,0.471461,0.588461,0.559307
1600,0.364328,0.363272,0.412094,0.402682,0.382170,0.381285,0.486665,0.412751,0.468376,0.463282,0.483599,0.475982,0.511416,0.509368,0.499969,0.493684,0.602722,0.581493,0.491630,0.493003,0.501250,0.478364,0.623325,0.579094,0.499636,0.500678,0.503665,0.475819,0.599569,0.570496,0.496934,0.496495,0.505010,0.474440,0.597769,0.562147
1800,0.348625,0.346933,0.396744,0.384686,0.365669,0.363949,0.502350,0.403351,0.461274,0.454713,0.475496,0.466918,0.511359,0.508605,0.499304,0.492723,0.613835,0.587589,0.489379,0.490673,0.507643,0.480890,0.646704,0.591208,0.498172,0.499024,0.511453,0.478538,0.607395,0.571731,0.495560,0.494903,0.512170,0.475635,0.610217,0.564514
2000,0.336030,0.333326,0.383727,0.368035,0.350238,0.347341,0.521290,0.394733,0.454238,0.446621,0.467638,0.458177,0.511352,0.508092,0.499274,0.491995,0.625429,0.594902,0.490968,0.492042,0.515479,0.484098,0.666534,0.598168,0.495926,0.496206,0.518911,0.479732,0.613857,0.572809,0.494783,0.493792,0.522419,0.478001,0.620737,0.566366
2200,0.325741,0.321600,0.373134,0.352436,0.336652,0.332125,0.542633,0.387341,0.447468,0.438133,0.461174,0.450768,0.509793,0.506003,0.498363,0.490976,0.634147,0.601071,0.489456,0.490751,0.522243,0.486591,0.684405,0.603247,0.494909,0.494973,0.527938,0.483128,0.619524,0.573858,0.491926,0.491102,0.531388,0.479859,0.629110,0.567961
2400,0.317405,0.311568,0.367333,0.339032,0.325610,0.318472,0.564062,0.381967,0.440768,0.429531,0.453699,0.442239,0.509227,0.504969,0.497226,0.489521,0.641455,0.606275,0.490482,0.491806,0.527106,0.488120,0.699937,0.607375,0.495027,0.495165,0.535080,0.484480,0.624645,0.574543,0.492024,0.490943,0.541391,0.481709,0.636791,0.568963
2600,0.310676,0.302859,0.366386,0.327377,0.316566,0.305905,0.587089,0.377610,0.435051,0.421065,0.446881,0.434473,0.507032,0.502568,0.496076,0.488097,0.646867,0.611189,0.489061,0.490411,0.532410,0.490469,0.715807,0.610977,0.495938,0.496032,0.543221,0.487708,0.629440,0.575270,0.489921,0.488768,0.550377,0.483908,0.643882,0.569994
2800,0.305344,0.295623,0.368480,0.317962,0.310254,0.295179,0.609474,0.372646,0.430052,0.413980,0.440980,0.427772,0.506482,0.501728,0.493646,0.485656,0.650736,0.615953,0.489517,0.490602,0.537504,0.493120,0.732212,0.615280,0.495508,0.496041,0.549620,0.489882,0.633937,0.576017,0.486702,0.485539,0.559184,0.485533,0.650508,0.571004
3000,0.302270,0.290569,0.374170,0.310833,0.306319,0.285639,0.632440,0.368092,0.426650,0.407309,0.434976,0.421036,0.504699,0.499849,0.491720,0.483822,0.654507,0.621724,0.488729,0.490036,0.544535,0.496088,0.745765,0.619441,0.494362,0.494962,0.556369,0.492384,0.638030,0.576778,0.487352,0.486082,0.567176,0.487354,0.655625,0.571863
3200,0.299609,0.286038,0.381222,0.304023,0.306143,0.276877,0.656343,0.366424,0.423075,0.400511,0.429781,0.414714,0.503565,0.498182,0.488559,0.480789,0.655504,0.623536,0.487573,0.489067,0.549603,0.498224,0.757516,0.622673,0.494965,0.495471,0.564092,0.495807,0.641915,0.577382,0.485705,0.484244,0.574450,0.489662,0.660236,0.572560
3400,0.297757,0.282241,0.390223,0.298483,0.308531,0.269272,0.679929,0.363634,0.420610,0.394340,0.424506,0.408297,0.503172,0.497308,0.484226,0.476281,0.656269,0.624010,0.487456,0.488816,0.555269,0.500658,0.767550,0.625361,0.496531,0.496542,0.571690,0.498235,0.645794,0.578147,0.486933,0.485531,0.583068,0.493046,0.664680,0.573336
3600,0.296022,0.278752,0.398697,0.293836,0.312789,0.263077,0.701457,0.359623,0.419431,0.389840,0.420290,0.402844,0.503130,0.496928,0.480460,0.472477,0.657039,0.624506,0.486611,0.488808,0.560243,0.502665,0.775174,0.627349,0.494785,0.494826,0.577795,0.500288,0.649159,0.578719,0.489763,0.488373,0.591297,0.495742,0.668369,0.573880
3800,0.295099,0.276071,0.406526,0.290001,0.317810,0.257846,0.722297,0.355664,0.418371,0.385504,0.416531,0.398024,0.502920,0.496323,0.476631,0.467973,0.656862,0.623326,0.488546,0.490884,0.564881,0.504536,0.781169,0.628948,0.492471,0.492238,0.582673,0.502364,0.652573,0.579282,0.489587,0.488206,0.597064,0.496209,0.671707,0.574366
4000,0.294340,0.273745,0.414703,0.286685,0.323575,0.253737,0.743255,0.353154,0.417757,0.381586,0.412654,0.393099,0.502155,0.495310,0.473619,0.464334,0.656651,0.622105,0.488468,0.491009,0.570370,0.507335,0.785758,0.630180,0.491417,0.491064,0.587629,0.504085,0.655568,0.579806,0.489020,0.487664,0.604006,0.499013,0.674442,0.574791
4200,0.293838,0.271720,0.422877,0.283930,0.331323,0.250469,0.763077,0.349818,0.417673,0.377750,0.409315,0.388463,0.501769,0.494709,0.470836,0.460379,0.655661,0.619827,0.489691,0.492599,0.574757,0.508832,0.790181,0.631372,0.489795,0.489805,0.591740,0.505055,0.658259,0.580361,0.488378,0.486770,0.608573,0.498968,0.676922,0.575212
4400,0.293244,0.269806,0.430678,0.281523,0.339077,0.248423,0.782246,0.347729,0.418212,0.374671,0.406247,0.384320,0.501371,0.493965,0.467261,0.455824,0.654288,0.616624,0.488962,0.491935,0.578751,0.509923,0.794479,0.632544,0.490039,0.490068,0.595376,0.505969,0.660794,0.580831,0.489331,0.487822,0.614837,0.501015,0.679221,0.575566
4600,0.292921,0.268139,0.438269,0.278965,0.346048,0.246487,0.801464,0.346013,0.418742,0.371701,0.403612,0.380644,0.501264,0.493539,0.465128,0.452205,0.653407,0.614167,0.489247,0.492076,0.582647,0.511018,0.797635,0.633316,0.489393,0.489208,0.598749,0.506367,0.662648,0.581051,0.489454,0.487694,0.618402,0.501054,0.681054,0.575712
4800,0.292992,0.267033,0.444640,0.277020,0.352918,0.245191,0.819045,0.343419,0.419256,0.369265,0.401323,0.377159,0.501018,0.492961,0.463357,0.448669,0.651898,0.610931,0.489643,0.492473,0.584745,0.511028,0.800497,0.634176,0.491375,0.491341,0.601634,0.507003,0.664568,0.581483,0.489216,0.487493,0.623425,0.501862,0.682882,0.576048
5000,0.292618,0.265670,0.451392,0.274724,0.360007,0.244727,0.834284,0.341068,0.419550,0.366439,0.399014,0.373641,0.500232,0.491964,0.462746,0.446078,0.649792,0.607332,0.489068,0.491637,0.587187,0.511046,0.803113,0.634907,0.490947,0.491020,0.604699,0.507379,0.666201,0.581788,0.490275,0.488417,0.626514,0.501439,0.684316,0.576262
5200,0.292615,0.264711,0.457631,0.272466,0.366647,0.244099,0.849525,0.339541,0.420968,0.364640,0.397237,0.370441,0.500017,0.491544,0.461539,0.443359,0.647864,0.603659,0.488449,0.491078,0.589577,0.511492,0.805174,0.635383,0.490662,0.490580,0.606414,0.506728,0.667497,0.581952,0.490858,0.489119,0.629226,0.501410,0.685573,0.576357
5400,0.292591,0.263711,0.463584,0.270650,0.373286,0.243894,0.864196,0.338603,0.421805,0.362493,0.395675,0.367381,0.499536,0.490740,0.460754,0.440515,0.644855,0.599042,0.488433,0.491160,0.592022,0.511246,0.806714,0.635779,0.490096,0.490177,0.607577,0.504875,0.668489,0.582077,0.490693,0.488951,0.630727,0.499663,0.686571,0.576443
5600,0.292435,0.262791,0.468992,0.269547,0.379423,0.244166,0.875490,0.336643,0.423093,0.360864,0.394262,0.364765,0.499788,0.490562,0.460301,0.438229,0.642820,0.595650,0.487713,0.490429,0.593640,0.511144,0.808209,0.636264,0.489938,0.490407,0.609292,0.504327,0.669532,0.582361,0.491443,0.489547,0.632756,0.499070,0.687608,0.576664
5800,0.292278,0.261870,0.473806,0.268452,0.384947,0.244321,0.887460,0.335803,0.424159,0.359303,0.392903,0.362231,0.499858,0.490255,0.460328,0.436285,0.640647,0.592272,0.487888,0.490809,0.594829,0.510757,0.809257,0.636549,0.489921,0.490099,0.610558,0.503115,0.670234,0.582487,0.489856,0.487927,0.634069,0.497657,0.688321,0.576756
6000,0.292222,0.261209,0.478050,0.267116,0.390324,0.244747,0.897831,0.334336,0.425367,0.358164,0.391903,0.359918,0.499677,0.489663,0.459712,0.434028,0.638206,0.588627,0.488588,0.491456,0.596210,0.510229,0.809994,0.636682,0.489970,0.490177,0.610681,0.500932,0.670678,0.582459,0.489276,0.487389,0.634338,0.495552,0.688853,0.576731
