step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5
500,6.957835,1.994215,19.622488,19.681124,19.690376,19.696882,19.701080,19.675428,1.001355,1.004347,1.004819,1.005152,1.005365,1.004056,19.602459,19.585405,19.634396,19.669855,19.696474,19.681618
1000,5.895679,1.761736,19.628853,19.782770,19.820940,19.855074,19.876554,19.914122,1.001678,1.009531,1.011478,1.013219,1.014315,1.016230,19.504463,19.591061,19.740204,19.785971,19.846365,19.891605
1500,5.379025,1.618204,19.695620,19.975353,20.094454,20.214140,20.272875,20.324625,1.005081,1.019350,1.025423,1.031525,1.034523,1.037165,19.202486,19.678978,19.866482,19.919481,20.042971,20.182886
2000,5.018637,1.518814,19.763165,20.250322,20.467642,20.681286,20.767126,20.760839,1.008519,1.033363,1.044439,1.055328,1.059715,1.059405,18.753069,19.754669,19.966532,20.028675,20.252693,20.545275
2500,4.778600,1.450438,19.752581,20.535339,20.801727,21.079134,21.160769,21.118822,1.007970,1.047879,1.061456,1.075597,1.079777,1.077652,18.280157,19.775530,20.021852,20.103939,20.427834,21.020916
3000,4.584431,1.393732,19.683424,20.788168,21.078619,21.390169,21.430702,21.444262,1.004431,1.060745,1.075552,1.091439,1.093532,1.094237,17.815451,19.769894,20.043392,20.121378,20.548187,21.514002
3500,4.445601,1.355764,19.600811,21.016996,21.314325,21.643354,21.631813,21.716518,1.000207,1.072384,1.087544,1.104333,1.103776,1.108110,17.382891,19.747150,20.050648,20.118155,20.631748,21.881918
4000,4.359803,1.328082,19.510155,21.211843,21.507868,21.849401,21.784451,21.955242,0.995573,1.082290,1.097389,1.114827,1.111546,1.120272,16.986000,19.708603,20.052061,20.098761,20.699699,22.170673
4500,4.278993,1.306478,19.423979,21.376526,21.668776,22.021914,21.899593,22.160309,0.991164,1.090658,1.105573,1.123605,1.117406,1.130717,16.613443,19.672361,20.051973,20.070091,20.764559,22.403185
5000,4.226837,1.289126,19.331627,21.517918,21.814247,22.161123,21.988028,22.331623,0.986442,1.097839,1.112968,1.130688,1.121907,1.139441,16.275455,19.626598,20.058048,20.048351,20.827974,22.606714
