step,train_loss,qreg_loss,lambda,val_loss,val_loss_snapped
0,5.641453,0.362399,0.000000,5.643381,
1000,2.116327,0.479696,0.000000,2.088952,
2000,1.992008,0.496946,0.000000,1.982163,
3000,1.926013,0.499404,0.000000,1.913509,
4000,1.882374,0.499673,0.000000,1.886327,
5000,1.853804,0.499779,0.000000,1.856066,
6000,1.821382,0.499926,0.000000,1.830883,
7000,1.800624,0.499973,0.000000,1.800829,
8000,1.780363,0.500006,0.000000,1.779635,
9000,1.767368,0.500125,0.000000,1.768303,
10000,1.747797,0.499864,0.000000,1.751747,
11000,1.737509,0.500038,0.000000,1.741457,
12000,1.716499,0.499899,0.000000,1.730667,
13000,1.723531,0.499998,0.000000,1.722054,
14000,1.707183,0.499963,0.000000,1.707818,
15000,1.695487,0.500009,0.000000,1.699364,
16000,1.694527,0.499932,0.000000,1.689944,
17000,1.685686,0.500069,0.000000,1.679008,
18000,1.668878,0.499909,0.000000,1.675980,
19000,1.665941,0.499924,0.000000,1.669915,
20000,1.667499,0.499948,0.000000,1.663891,
21000,1.656216,0.499998,0.000000,1.662255,
22000,1.646993,0.499927,0.000000,1.655422,
23000,1.641671,0.500038,0.000000,1.650163,
24000,1.639935,0.499913,0.000000,1.642640,
25000,1.638497,0.499997,0.000000,1.637338,
26000,1.627663,0.499909,0.000000,1.635231,
27000,1.634561,0.500028,0.000000,1.631782,
28000,1.627732,0.500060,0.000000,1.625721,
29000,1.613932,0.499962,0.000000,1.619469,
30000,1.615257,0.500183,0.000000,1.616296,
31000,1.618807,0.500020,0.000000,1.614720,
32000,1.600289,0.499893,0.000000,1.609789,
33000,1.604640,0.499967,0.000000,1.609673,
34000,1.596458,0.499829,0.000000,1.605980,
35000,1.590692,0.499914,0.000000,1.600901,
36000,1.599592,0.500104,0.000000,1.599779,
37000,1.583018,0.500352,0.000000,1.596114,
38000,1.588201,0.500020,0.000000,1.593254,
39000,1.594295,0.499975,0.000000,1.589743,
40000,1.589318,0.500063,0.000000,1.587888,
41000,1.580266,0.499636,0.000000,1.584878,
42000,1.577639,0.500013,0.000000,1.583159,
43000,1.572633,0.499790,0.000000,1.582163,
44000,1.566617,0.500018,0.000000,1.580797,
45000,1.573692,0.499971,0.000000,1.578868,
46000,1.571253,0.500250,0.000000,1.577675,
47000,1.575192,0.500158,0.000000,1.576645,
48000,1.576993,0.500195,0.000000,1.575328,
49000,1.565894,0.500464,0.000000,1.574227,
