step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.350318,0.349184,0.326050,0.326221,0.315685,0.314351,0.408881,0.377224,0.670975,0.437245,0.422236,0.351562,0.326097,0.320202,0.457584,0.395805,0.610790,0.454630,0.397038,0.375682,0.336658,0.336270,0.526140,0.473747,0.476311,0.461171,0.455559,0.450938,0.387736,0.389090,0.577200,0.561416,0.485940,0.442732,0.509031,0.442402,0.411677,0.379629,0.656113,0.604066,0.460997,0.414305,0.464393,0.409379,0.423294,0.415413,0.684905,0.602536
2200,0.336883,0.335545,0.310278,0.310439,0.300377,0.298018,0.407048,0.366057,0.697687,0.435287,0.439823,0.348587,0.317224,0.305162,0.463975,0.386750,0.628606,0.451837,0.397172,0.367035,0.321665,0.319713,0.527502,0.466239,0.477446,0.458914,0.452042,0.447093,0.376151,0.372667,0.577947,0.558807,0.491007,0.445409,0.516633,0.446792,0.412222,0.372889,0.662291,0.607440,0.463791,0.408802,0.467639,0.402976,0.421206,0.409881,0.695295,0.606326
2400,0.323467,0.321954,0.295308,0.295465,0.289332,0.283375,0.407671,0.355962,0.722952,0.432928,0.459143,0.349488,0.315642,0.292009,0.473387,0.378086,0.646875,0.449389,0.400694,0.360853,0.308544,0.304520,0.529514,0.459216,0.479270,0.457553,0.448905,0.443530,0.366176,0.357872,0.578099,0.554449,0.494655,0.447472,0.521337,0.449193,0.412581,0.367420,0.666778,0.609897,0.466322,0.403264,0.471325,0.396422,0.418985,0.403145,0.704632,0.609517
2600,0.311968,0.310226,0.281932,0.282077,0.286088,0.270494,0.409991,0.347928,0.746487,0.429809,0.478568,0.350714,0.319094,0.281392,0.482339,0.371644,0.664929,0.446922,0.406543,0.355666,0.299089,0.291263,0.531192,0.452206,0.481407,0.456523,0.446277,0.440575,0.358529,0.345118,0.578980,0.551034,0.499860,0.450874,0.526414,0.451965,0.413298,0.362844,0.670786,0.612189,0.466876,0.398186,0.472852,0.390922,0.417101,0.397196,0.710298,0.611684
2800,0.301624,0.299656,0.269489,0.269632,0.290592,0.259677,0.414474,0.339436,0.767816,0.426596,0.497658,0.351910,0.326869,0.272305,0.494479,0.365741,0.683926,0.444248,0.415507,0.352238,0.293077,0.279519,0.533492,0.445434,0.483415,0.454612,0.443378,0.437293,0.354034,0.335719,0.579372,0.547011,0.504282,0.453880,0.532044,0.455899,0.415920,0.358977,0.674873,0.614437,0.467657,0.392941,0.474489,0.385857,0.414298,0.390426,0.714816,0.613312
3000,0.292347,0.290150,0.258239,0.258376,0.298152,0.250906,0.419375,0.331981,0.790272,0.423180,0.515755,0.352464,0.334795,0.264497,0.507915,0.360748,0.703147,0.441686,0.425458,0.350378,0.290914,0.269771,0.536458,0.439395,0.485962,0.453232,0.440914,0.434454,0.349554,0.326168,0.579140,0.542863,0.508187,0.456197,0.537409,0.459609,0.417647,0.355767,0.678176,0.616355,0.468229,0.389143,0.475810,0.381728,0.412881,0.384402,0.718583,0.614705
3200,0.283439,0.281103,0.247847,0.247980,0.307845,0.243385,0.425753,0.325732,0.809900,0.418620,0.532983,0.352910,0.343826,0.258457,0.521415,0.355932,0.720125,0.439018,0.435851,0.349211,0.292360,0.261240,0.538750,0.432935,0.488661,0.451986,0.438672,0.431787,0.347077,0.318361,0.578734,0.538669,0.510303,0.457296,0.541868,0.462650,0.419544,0.353081,0.681098,0.618125,0.468846,0.386218,0.476171,0.378504,0.412487,0.381306,0.721960,0.615923
3400,0.275196,0.272699,0.238119,0.238222,0.317811,0.237530,0.432130,0.320088,0.828614,0.413743,0.548705,0.352327,0.352941,0.253422,0.534355,0.352460,0.737610,0.436549,0.447481,0.348579,0.294950,0.254226,0.540893,0.427063,0.491172,0.450771,0.436262,0.428818,0.345213,0.311404,0.578164,0.534489,0.511890,0.458225,0.545283,0.465522,0.420663,0.351010,0.683306,0.619440,0.469974,0.382616,0.478824,0.375266,0.412769,0.378495,0.725068,0.617081
3600,0.267506,0.264804,0.229120,0.229192,0.328026,0.232642,0.440182,0.314930,0.844526,0.408673,0.564730,0.351809,0.363062,0.248663,0.549143,0.349548,0.752676,0.433995,0.458798,0.348622,0.299444,0.248558,0.543727,0.421059,0.494221,0.449754,0.434669,0.426649,0.344451,0.304763,0.577027,0.529452,0.511906,0.457628,0.546412,0.465589,0.421492,0.348339,0.685359,0.620659,0.469985,0.379795,0.480765,0.372212,0.412281,0.374219,0.728204,0.618308
3800,0.260148,0.257328,0.220945,0.220986,0.337499,0.228013,0.448383,0.309586,0.858333,0.404452,0.578344,0.350448,0.372333,0.244540,0.563239,0.346932,0.765963,0.431471,0.468411,0.348356,0.304477,0.242970,0.547046,0.415380,0.497126,0.448619,0.433088,0.424682,0.345467,0.300225,0.575988,0.524858,0.511437,0.456438,0.547022,0.465485,0.422173,0.345919,0.687173,0.621770,0.469917,0.376461,0.482196,0.369454,0.411303,0.370370,0.731001,0.619473
