step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lm_g_L0,lm_g_L1,lm_g_L2,lm_g_L3,lm_g_L4,lm_g_L5,lm_beta_L0,lm_beta_L1,lm_beta_L2,lm_beta_L3,lm_beta_L4,lm_beta_L5,lm_gamma_L0,lm_gamma_L1,lm_gamma_L2,lm_gamma_L3,lm_gamma_L4,lm_gamma_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
500,7.151153,2.042973,19.748102,19.639233,19.645727,19.660587,19.662659,19.657570,1.007765,1.002209,1.002540,1.003298,1.003403,1.003145,19.708885,19.635080,19.639513,19.658249,19.668423,19.662479,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.01871824,2.00698233,2.01059389,2.01830196,2.01837134,2.01630521,0.99237508,0.99672240,0.99476868,0.99021250,0.99009365,0.99104136,8.81434244e-05,3.24448396e-04,3.37441707e-05,3.64228108e-05,4.58616269e-05,4.62836324e-05,4.20999095e-05
1000,5.953880,1.777180,19.792051,19.648968,19.679415,19.757460,19.792126,19.770287,1.010006,1.002704,1.004257,1.008236,1.010004,1.008890,19.627880,19.676369,19.663729,19.681612,19.751554,19.757507,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.02520895,2.00675750,2.01726508,2.05694556,2.06190753,2.04931712,0.99183452,0.99737436,0.99224526,0.97222203,0.96899968,0.97334391,4.36893068e-04,8.90714175e-04,2.00890034e-04,2.40261055e-04,3.95761774e-04,4.83589072e-04,4.10142296e-04
1500,5.407943,1.625096,19.678644,19.621269,19.712700,19.853676,19.944078,19.909750,1.004214,1.001286,1.005945,1.013131,1.017740,1.015990,19.406370,19.672405,19.597746,19.613832,19.741951,19.853258,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.00193930,1.99410963,2.02210832,2.09637475,2.12002206,2.08502245,1.00477505,1.00653458,0.99398965,0.96149504,0.94779009,0.95401913,1.30760899e-03,1.82772754e-03,5.74822072e-04,8.19895533e-04,1.35079224e-03,1.72441301e-03,1.54800352e-03
2000,5.030045,1.521004,19.419926,19.560202,19.712997,19.873232,19.988815,19.968019,0.991006,0.998159,1.005944,1.014107,1.020001,1.018945,19.009298,19.642038,19.439062,19.469366,19.672962,20.015438,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.94218528,1.96946919,2.01635933,2.10471797,2.14403105,2.10406518,1.03576279,1.02372241,1.00486112,0.96872252,0.94479430,0.93985045,2.49835550e-03,2.58525880e-03,1.21199235e-03,1.80079567e-03,2.75145029e-03,3.42547242e-03,3.21516348e-03
2500,4.774951,1.447343,19.191515,19.506727,19.694040,19.839132,19.961090,19.996904,0.979342,0.995415,1.004954,1.012347,1.018565,1.020403,18.539152,19.596081,19.256580,19.303923,19.593063,20.379374,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.88414764,1.94607317,2.00522733,2.09048533,2.13386655,2.11701965,1.06800389,1.04130602,1.01784587,0.98465508,0.95186812,0.92453462,3.49040217e-03,2.93588196e-03,1.88280502e-03,2.74905097e-03,3.92186595e-03,4.83690482e-03,4.61590430e-03
3000,4.565710,1.387750,18.988319,19.460598,19.665642,19.798653,19.913063,20.021265,0.968964,0.993045,1.003482,1.010257,1.016093,1.021631,18.039112,19.534933,19.059492,19.133892,19.495686,20.811665,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.83499897,1.92683935,1.99296403,2.07046938,2.11329722,2.12951350,1.09744239,1.05588222,1.03001392,0.99774796,0.95868409,0.90614694,4.29810223e-03,3.09237838e-03,2.51055392e-03,3.60719441e-03,4.85540507e-03,5.91384666e-03,5.80923492e-03
3500,4.422007,1.348615,18.820059,19.407267,19.641188,19.764139,19.872171,20.041996,0.960368,0.990306,1.002210,1.008474,1.013985,1.022678,17.555010,19.473330,18.880413,18.973658,19.416225,21.098059,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.79290414,1.90476179,1.98331165,2.05413556,2.09559560,2.13819146,1.12552345,1.07064819,1.03889108,1.00688004,0.96279144,0.88923341,4.91074360e-03,3.06618284e-03,3.01802624e-03,4.34202142e-03,5.56816068e-03,6.71103457e-03,6.75903587e-03
4000,4.336255,1.320664,18.677114,19.361778,19.620808,19.733557,19.840281,20.054270,0.953064,0.987967,1.001143,1.006891,1.012336,1.023292,17.102739,19.411810,18.715668,18.830971,19.356926,21.315006,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.75769854,1.88742828,1.97785115,2.03975773,2.08159924,2.14212513,1.15068603,1.08290589,1.04545903,1.01454747,0.96455729,0.87310070,5.37558373e-03,2.99599953e-03,3.42249079e-03,4.96223755e-03,6.11783471e-03,7.29234237e-03,7.46259745e-03
4500,4.256708,1.299705,18.561970,19.321619,19.597485,19.706539,19.813215,20.062809,0.947178,0.985901,0.999929,1.005494,1.010937,1.023716,16.683943,19.348261,18.568508,18.700035,19.309307,21.486853,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.72974324,1.87082243,1.96928418,2.02799010,2.06837869,2.14274693,1.17325723,1.09477496,1.05336857,1.01997066,0.96385270,0.85908872,5.71835398e-03,2.91344197e-03,3.74351535e-03,5.45568764e-03,6.51986571e-03,7.71607086e-03,7.96154235e-03
5000,4.206609,1.282001,18.470428,19.292917,19.581745,19.681690,19.788692,20.066336,0.942496,0.984420,0.999106,1.004206,1.009668,1.023885,16.309399,19.287790,18.434484,18.596951,19.269558,21.639896,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.70819139,1.85997581,1.96541870,2.01543236,2.05469155,2.13997126,1.19128227,1.10279906,1.05717599,1.02519977,0.96469581,0.84807903,5.97359349e-03,2.85444828e-03,4.02097218e-03,5.85203292e-03,6.81644492e-03,8.00041761e-03,8.29724502e-03
