step,lambda,train_ce,imitation_mse,reg_mse,mse_b0,mse_b1,mse_b2,mse_b3,mse_b4,mse_b5,dense_bpb,swapin_bpb
200,0.00250,9.224755,0.001815,0.001815,0.000258,0.000241,0.000278,0.000323,0.000338,0.000377,2.582583,2.628481
400,0.00500,7.526238,0.000615,0.000615,0.000063,0.000068,0.000084,0.000110,0.000153,0.000137,2.137456,2.178372
600,0.00750,6.653810,0.000617,0.000617,0.000067,0.000067,0.000077,0.000094,0.000126,0.000185,1.976625,2.021637
800,0.01000,6.232034,0.000867,0.000867,0.000099,0.000087,0.000100,0.000117,0.000140,0.000324,1.878793,1.919265
1000,0.01250,5.928440,0.001238,0.001238,0.000138,0.000120,0.000139,0.000162,0.000190,0.000489,1.801902,1.837520
1200,0.01500,5.685148,0.001794,0.001794,0.000194,0.000177,0.000208,0.000233,0.000272,0.000709,1.736943,1.774393
1400,0.01750,5.486297,0.002628,0.002628,0.000277,0.000273,0.000320,0.000348,0.000396,0.001015,1.682777,1.721669
1600,0.02000,5.323588,0.003837,0.003837,0.000397,0.000416,0.000486,0.000517,0.000581,0.001440,1.633627,1.676352
1800,0.02250,5.141105,0.005376,0.005376,0.000539,0.000581,0.000713,0.000735,0.000827,0.001980,1.580431,1.628449
2000,0.02500,4.956765,0.007007,0.007007,0.000655,0.000728,0.000972,0.000974,0.001117,0.002562,1.525823,1.578791
2200,0.02750,4.802035,0.008709,0.008709,0.000771,0.000868,0.001249,0.001232,0.001430,0.003159,1.485491,1.541291
2400,0.03000,4.686954,0.010460,0.010460,0.000876,0.001006,0.001520,0.001498,0.001772,0.003788,1.454008,1.511663
2600,0.03250,4.587964,0.012448,0.012448,0.001013,0.001163,0.001830,0.001813,0.002165,0.004464,1.429316,1.492880
2800,0.03500,4.515298,0.014503,0.014503,0.001137,0.001312,0.002157,0.002138,0.002593,0.005167,1.409581,1.476836
3000,0.03750,4.459393,0.016606,0.016606,0.001259,0.001461,0.002497,0.002470,0.003033,0.005886,1.391216,1.461192
3200,0.04000,4.420749,0.018800,0.018800,0.001389,0.001616,0.002840,0.002826,0.003490,0.006639,1.376378,1.448734
