step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.out_v2d.T,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.out_v2d.T,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.out_v2d.T,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.out_v2d.T,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.out_v2d.T,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.out_v2d.T
0,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000
200,0.496943,0.496862,0.498578,0.498544,0.100498,0.499167,0.498812,0.498912,0.498880,0.100502,0.499480,0.498908,0.498963,0.498949,0.100205,0.498940,0.498697,0.499164,0.499151,0.099930,0.499437,0.499307,0.498925,0.498843,0.100084,0.499465,0.499368,0.499023,0.498943,0.099951
400,0.487479,0.487409,0.489907,0.489424,0.102786,0.499515,0.494410,0.497048,0.497032,0.102593,0.497972,0.495122,0.496984,0.496943,0.101728,0.499847,0.498432,0.498301,0.498242,0.101377,0.497993,0.497355,0.499496,0.499382,0.100142,0.499031,0.498526,0.499212,0.499084,0.100066
600,0.468959,0.468867,0.474021,0.473290,0.106791,0.508755,0.486012,0.489873,0.490152,0.106307,0.497995,0.486641,0.490265,0.490274,0.104704,0.503507,0.498361,0.494704,0.494256,0.103852,0.500618,0.497599,0.498890,0.498610,0.101932,0.501743,0.500444,0.499261,0.498762,0.101236
800,0.445479,0.445307,0.449752,0.448962,0.112585,0.529935,0.475416,0.471879,0.472408,0.111703,0.504456,0.475008,0.482739,0.482848,0.109344,0.509679,0.500593,0.491759,0.491208,0.106824,0.508373,0.502935,0.499594,0.499061,0.105004,0.505783,0.503404,0.501736,0.500924,0.103522
1000,0.421245,0.420859,0.423716,0.422728,0.119567,0.558408,0.467898,0.452433,0.452619,0.118197,0.520453,0.464848,0.472971,0.472496,0.115166,0.516408,0.503338,0.489448,0.488558,0.108770,0.513584,0.506228,0.500591,0.499897,0.108454,0.511631,0.508308,0.503432,0.502388,0.105362
1200,0.399862,0.399052,0.399774,0.398490,0.126900,0.587968,0.463104,0.436458,0.435587,0.125069,0.539976,0.455982,0.461274,0.459790,0.121440,0.522916,0.506303,0.487418,0.486107,0.109882,0.516820,0.507578,0.501478,0.500604,0.110893,0.513323,0.508940,0.504748,0.503549,0.105913
1400,0.381042,0.379557,0.377645,0.375992,0.134620,0.618111,0.459829,0.423531,0.421144,0.132166,0.562789,0.449507,0.448277,0.444650,0.127889,0.529390,0.509038,0.485323,0.483403,0.110765,0.519829,0.508652,0.502317,0.501224,0.113252,0.513966,0.509127,0.505715,0.504345,0.106205
1600,0.365116,0.362667,0.357945,0.355314,0.142705,0.648507,0.457471,0.412897,0.408192,0.139434,0.585951,0.444121,0.436386,0.429523,0.134599,0.535495,0.510878,0.483285,0.480733,0.111582,0.523385,0.509970,0.503256,0.501912,0.114719,0.515665,0.510003,0.506543,0.504932,0.106491
1800,0.351677,0.348035,0.340704,0.336171,0.151182,0.681491,0.453519,0.403396,0.395618,0.147293,0.611169,0.439476,0.426176,0.415316,0.141715,0.540161,0.511336,0.480578,0.476927,0.112449,0.527463,0.511209,0.504489,0.502669,0.115859,0.515951,0.510008,0.507596,0.505737,0.106975
2000,0.340267,0.335256,0.330897,0.319041,0.159977,0.716077,0.450056,0.396000,0.384213,0.155376,0.636861,0.434987,0.420302,0.404292,0.149018,0.544900,0.511644,0.478061,0.473134,0.113225,0.531853,0.513731,0.505832,0.503524,0.116778,0.516899,0.510490,0.508361,0.506272,0.107374
2200,0.330204,0.323608,0.333064,0.304020,0.169082,0.749520,0.445814,0.390917,0.374575,0.163599,0.662334,0.430477,0.416284,0.395403,0.156609,0.550993,0.513156,0.475391,0.469200,0.113940,0.534069,0.513304,0.507169,0.504397,0.117332,0.516718,0.509345,0.508996,0.506737,0.107655
2400,0.322006,0.313769,0.343642,0.291178,0.178476,0.784360,0.441200,0.387861,0.366517,0.172180,0.687649,0.427369,0.414488,0.387274,0.164240,0.553134,0.511746,0.472970,0.465418,0.114668,0.536813,0.513646,0.508490,0.505311,0.117864,0.517086,0.508924,0.509883,0.507443,0.107945
2600,0.316084,0.306004,0.356698,0.280779,0.188114,0.819322,0.436206,0.386231,0.359197,0.180894,0.713156,0.422521,0.413935,0.380340,0.172216,0.553113,0.508701,0.470366,0.461343,0.115352,0.539037,0.513573,0.509353,0.505585,0.118337,0.516937,0.507730,0.510796,0.508007,0.108167
2800,0.310720,0.298835,0.370905,0.272717,0.197952,0.856354,0.430469,0.386235,0.352574,0.189973,0.739687,0.419674,0.415731,0.374620,0.180403,0.554480,0.506134,0.468318,0.457118,0.116105,0.541139,0.512924,0.511279,0.506736,0.118926,0.516940,0.507168,0.511814,0.508602,0.108468
3000,0.306130,0.292300,0.385599,0.266261,0.207907,0.891118,0.424835,0.387636,0.347223,0.199019,0.764055,0.415479,0.417967,0.369439,0.188610,0.556831,0.504570,0.466259,0.453016,0.116808,0.543417,0.512467,0.512298,0.507056,0.119375,0.516411,0.505994,0.512867,0.509286,0.108715
3200,0.302293,0.286527,0.401066,0.260784,0.217985,0.927657,0.419478,0.390214,0.341777,0.208302,0.788710,0.412059,0.421784,0.365362,0.196978,0.558755,0.502565,0.463678,0.448309,0.117650,0.545363,0.512253,0.513682,0.507474,0.119930,0.515952,0.505046,0.513935,0.509992,0.108959
3400,0.299563,0.281859,0.416858,0.256007,0.228086,0.963848,0.413206,0.394109,0.337521,0.217559,0.813524,0.407232,0.426025,0.361492,0.205342,0.559706,0.500185,0.462885,0.444526,0.118507,0.546176,0.510821,0.515393,0.508176,0.120499,0.515469,0.503996,0.514900,0.510690,0.109224
3600,0.296987,0.277288,0.431750,0.252182,0.238135,0.999278,0.408887,0.398767,0.334445,0.226768,0.836850,0.403496,0.429369,0.358145,0.213725,0.559353,0.496822,0.460570,0.440106,0.119257,0.548246,0.510478,0.516361,0.508441,0.120979,0.514899,0.502889,0.515748,0.511152,0.109429
3800,0.294893,0.273348,0.446485,0.248217,0.248103,1.033528,0.402837,0.403154,0.331414,0.235936,0.859045,0.399573,0.435030,0.356184,0.222007,0.560784,0.494788,0.459651,0.436402,0.120107,0.549744,0.509379,0.517548,0.508783,0.121453,0.514349,0.501598,0.516072,0.511097,0.109710
4000,0.293029,0.269767,0.460979,0.244310,0.257889,1.066967,0.397583,0.408522,0.328462,0.245020,0.879471,0.394842,0.439985,0.354017,0.230199,0.560931,0.491581,0.458719,0.432612,0.121023,0.551557,0.508684,0.518534,0.508850,0.121855,0.514319,0.500721,0.517032,0.511761,0.109952
4200,0.291616,0.266717,0.474226,0.240876,0.267432,1.098555,0.392817,0.413792,0.326463,0.253802,0.901401,0.391762,0.445195,0.352026,0.238215,0.561416,0.488941,0.457215,0.428499,0.121814,0.552869,0.507814,0.519303,0.508766,0.122226,0.513208,0.499227,0.517656,0.512001,0.110190
4400,0.290533,0.264013,0.487253,0.237064,0.276695,1.129598,0.387060,0.418880,0.324162,0.262348,0.920588,0.387919,0.450377,0.349971,0.246037,0.562566,0.486694,0.456845,0.425263,0.122660,0.552896,0.505549,0.519674,0.508354,0.122620,0.513017,0.498375,0.517463,0.511926,0.110378
4600,0.289478,0.261487,0.499306,0.233954,0.285614,1.158857,0.382439,0.424005,0.322318,0.270544,0.941130,0.385663,0.455936,0.348825,0.253474,0.562558,0.483778,0.456300,0.422168,0.123405,0.553353,0.504052,0.520921,0.508692,0.123005,0.512581,0.497257,0.518319,0.512391,0.110597
4800,0.288263,0.258944,0.510720,0.230807,0.294119,1.185895,0.378534,0.428973,0.320738,0.278385,0.958545,0.382842,0.461469,0.347776,0.260605,0.563679,0.482025,0.455788,0.419282,0.124102,0.553680,0.502964,0.521908,0.508860,0.123333,0.512354,0.496423,0.518759,0.512668,0.110768
5000,0.287557,0.256835,0.521423,0.227920,0.302194,1.210922,0.374275,0.434264,0.319425,0.285835,0.973869,0.379625,0.466689,0.346818,0.267363,0.563346,0.479260,0.454973,0.416404,0.124830,0.553928,0.501659,0.522758,0.508848,0.123694,0.511907,0.495305,0.518837,0.512567,0.110977
5200,0.286741,0.254889,0.531535,0.225032,0.309777,1.234904,0.370294,0.438922,0.317723,0.292891,0.988071,0.376757,0.471420,0.345915,0.273799,0.563399,0.477067,0.453718,0.413077,0.125617,0.554064,0.500075,0.523155,0.508414,0.124037,0.511231,0.493991,0.519173,0.512697,0.111189
