step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.357787,0.358882,0.320675,0.320797,0.378052,0.364754,0.444921,0.415738,0.664817,0.596489,0.538282,0.472097,0.445442,0.416113,0.541568,0.471535,0.624593,0.573910,0.466797,0.449739,0.472620,0.461922,0.528236,0.518090,0.487204,0.485081,0.485640,0.484978,0.481605,0.475973,0.515923,0.514818,0.466425,0.459794,0.458151,0.455482,0.468074,0.449941,0.504897,0.508621,0.479425,0.479570,0.468386,0.467451,0.481995,0.470053,0.519159,0.517966
2200,0.346155,0.347371,0.304560,0.304701,0.381136,0.362881,0.445222,0.410552,0.676534,0.596888,0.547831,0.473196,0.453357,0.416754,0.552638,0.471730,0.642182,0.581936,0.468308,0.446927,0.474204,0.460423,0.529978,0.517857,0.486478,0.483382,0.484931,0.484140,0.482310,0.476205,0.516056,0.514790,0.464829,0.457938,0.455830,0.453073,0.463978,0.445093,0.504226,0.508525,0.476829,0.476840,0.465834,0.464894,0.478299,0.466192,0.519319,0.518635
2400,0.335041,0.336333,0.290229,0.290374,0.385281,0.361880,0.445675,0.405728,0.688964,0.598393,0.557160,0.473527,0.464749,0.420201,0.563595,0.472522,0.657752,0.587780,0.469361,0.443560,0.474260,0.457480,0.531299,0.517107,0.487375,0.482950,0.484689,0.483809,0.481372,0.474922,0.516882,0.515440,0.463028,0.455973,0.453972,0.451009,0.459950,0.440431,0.503205,0.507880,0.474919,0.474638,0.462671,0.461422,0.473441,0.461589,0.518226,0.517578
2600,0.325642,0.327026,0.277066,0.277216,0.391354,0.362775,0.447005,0.401977,0.697893,0.597726,0.566759,0.474935,0.472943,0.420679,0.574754,0.473004,0.673467,0.594593,0.471528,0.440932,0.476291,0.455847,0.532213,0.515913,0.490180,0.485226,0.484804,0.483867,0.482809,0.475813,0.517688,0.515944,0.462517,0.454763,0.453197,0.450054,0.456527,0.436015,0.502082,0.507277,0.473320,0.472906,0.460350,0.458758,0.467299,0.456118,0.518334,0.518051
2800,0.317345,0.318806,0.265165,0.265339,0.396337,0.362956,0.448763,0.397843,0.708306,0.597781,0.577039,0.477214,0.483874,0.423020,0.588465,0.474898,0.691438,0.602233,0.476029,0.440290,0.479611,0.454793,0.533152,0.514412,0.491307,0.485573,0.483184,0.482222,0.483122,0.475274,0.518061,0.516227,0.460693,0.452886,0.451700,0.448716,0.453994,0.432981,0.500829,0.506602,0.471563,0.471220,0.458970,0.457052,0.459739,0.448695,0.518632,0.518915
3000,0.308482,0.310021,0.254807,0.255000,0.400589,0.361569,0.450096,0.393964,0.714739,0.594677,0.585524,0.478111,0.493841,0.425000,0.600558,0.476354,0.705108,0.605239,0.481255,0.440251,0.482596,0.453901,0.534430,0.513358,0.493714,0.486958,0.481578,0.480549,0.484276,0.475536,0.518526,0.516549,0.460900,0.452991,0.450893,0.447767,0.451812,0.430168,0.500416,0.506549,0.469822,0.469330,0.456274,0.454288,0.454532,0.444226,0.517793,0.518301
3200,0.301996,0.303567,0.245718,0.245936,0.405309,0.361460,0.451602,0.390251,0.722640,0.593434,0.591139,0.476214,0.502161,0.425266,0.611497,0.477043,0.719082,0.609651,0.487276,0.441388,0.486902,0.454346,0.535551,0.512133,0.495283,0.487041,0.479642,0.478560,0.485458,0.475619,0.518581,0.516526,0.458824,0.450592,0.448694,0.445266,0.449743,0.426782,0.499199,0.506084,0.468563,0.468025,0.454832,0.452946,0.452349,0.442604,0.517616,0.518489
3400,0.296545,0.298217,0.237153,0.237366,0.410206,0.361348,0.452983,0.386901,0.728441,0.590866,0.596592,0.474407,0.510296,0.425389,0.622121,0.477458,0.734839,0.614915,0.494243,0.442897,0.489146,0.452818,0.536455,0.510786,0.497000,0.487540,0.477681,0.476455,0.487255,0.476128,0.518983,0.516769,0.457998,0.449716,0.447845,0.444100,0.448123,0.424504,0.498626,0.506047,0.467208,0.466442,0.453269,0.451228,0.449358,0.440444,0.517336,0.518449
3600,0.292227,0.293955,0.230393,0.230627,0.414718,0.360950,0.454701,0.383473,0.733481,0.588508,0.601529,0.472565,0.518202,0.424671,0.633788,0.478447,0.745658,0.616353,0.500358,0.444242,0.493523,0.452679,0.537531,0.509247,0.502706,0.491655,0.476608,0.475168,0.489318,0.477034,0.519692,0.517177,0.457089,0.448913,0.447366,0.443700,0.447316,0.422657,0.498208,0.506118,0.465450,0.464481,0.451630,0.449306,0.446117,0.437665,0.517708,0.519316
3800,0.288272,0.290062,0.224563,0.224801,0.416550,0.358879,0.456121,0.380071,0.735408,0.584243,0.608417,0.472067,0.524430,0.422948,0.644937,0.479535,0.756981,0.618140,0.506591,0.445610,0.498135,0.452951,0.538464,0.507725,0.506029,0.493465,0.475102,0.473657,0.491351,0.477901,0.520074,0.517331,0.457358,0.449103,0.446686,0.443040,0.446498,0.421432,0.497696,0.505785,0.463895,0.462476,0.449823,0.447395,0.443588,0.435197,0.517639,0.519465
4000,0.285575,0.287530,0.219569,0.219819,0.421262,0.359083,0.457654,0.377015,0.739672,0.581920,0.614042,0.471361,0.530751,0.422301,0.654537,0.479574,0.769882,0.621290,0.513512,0.447712,0.501696,0.452826,0.539720,0.506593,0.510006,0.496194,0.474193,0.472562,0.493238,0.478718,0.519989,0.517094,0.456210,0.447893,0.446115,0.442395,0.446431,0.420388,0.497475,0.505847,0.462756,0.461244,0.448577,0.446013,0.441645,0.432992,0.517773,0.519843
4200,0.281893,0.283854,0.214870,0.215137,0.423709,0.357536,0.459750,0.374336,0.743107,0.579413,0.618553,0.470321,0.537803,0.422016,0.664920,0.479946,0.779131,0.620755,0.521717,0.450954,0.505699,0.452744,0.540577,0.504891,0.513476,0.498398,0.474971,0.473124,0.496660,0.480427,0.520065,0.516907,0.456181,0.447681,0.446000,0.442283,0.446312,0.419565,0.496946,0.505610,0.461246,0.459236,0.446744,0.443894,0.438120,0.429375,0.516447,0.518110
4400,0.278794,0.280803,0.210917,0.211198,0.425894,0.356112,0.460399,0.371307,0.746188,0.576788,0.623530,0.469858,0.543892,0.421028,0.674229,0.480078,0.788644,0.621164,0.527129,0.451816,0.508081,0.451868,0.541687,0.503635,0.516247,0.499618,0.473280,0.471259,0.497718,0.480375,0.520385,0.516897,0.455104,0.446768,0.443757,0.440138,0.445724,0.418536,0.496308,0.505379,0.460166,0.457899,0.445323,0.442285,0.434886,0.426260,0.516017,0.517776
4600,0.276435,0.278549,0.207900,0.208193,0.427054,0.354112,0.461686,0.368531,0.749594,0.574659,0.626297,0.468556,0.550125,0.420133,0.683996,0.480437,0.798121,0.622063,0.534246,0.454546,0.509460,0.449841,0.542337,0.502102,0.520399,0.502433,0.472611,0.470474,0.499999,0.481558,0.520798,0.517003,0.454260,0.446192,0.443670,0.440224,0.445472,0.417786,0.495335,0.504805,0.459874,0.457495,0.444622,0.441463,0.432680,0.424417,0.516127,0.518099
4800,0.274904,0.277052,0.205584,0.205904,0.426991,0.351480,0.463632,0.366499,0.751081,0.571911,0.628904,0.467108,0.555122,0.418260,0.693130,0.480696,0.805552,0.621783,0.539783,0.456270,0.512691,0.449169,0.542925,0.500291,0.522867,0.503654,0.471819,0.469494,0.501281,0.481723,0.521007,0.516852,0.453702,0.445764,0.441926,0.438694,0.445155,0.417170,0.494840,0.504562,0.459286,0.456820,0.443952,0.440653,0.431129,0.422889,0.515947,0.518151
5000,0.272589,0.274803,0.202987,0.203323,0.426619,0.348959,0.464685,0.364315,0.752698,0.569685,0.630412,0.465261,0.559403,0.416795,0.700814,0.480375,0.811545,0.620886,0.544275,0.457071,0.514303,0.447860,0.543957,0.498963,0.526429,0.506104,0.472207,0.469673,0.503548,0.482464,0.521072,0.516645,0.453147,0.445421,0.440914,0.437761,0.445180,0.416837,0.494266,0.504303,0.458985,0.456475,0.443711,0.440329,0.430265,0.422225,0.515361,0.517637
5200,0.270928,0.273166,0.201052,0.201371,0.426739,0.347022,0.465218,0.361983,0.753822,0.567246,0.633219,0.464220,0.563779,0.415882,0.708586,0.480594,0.818298,0.620969,0.549161,0.458429,0.516567,0.447133,0.544532,0.497567,0.528889,0.507540,0.471897,0.469103,0.505707,0.483539,0.521273,0.516511,0.453094,0.445601,0.440650,0.437619,0.444790,0.416405,0.493795,0.504091,0.458679,0.456067,0.443246,0.439800,0.429322,0.421536,0.514889,0.517207
5400,0.269264,0.271550,0.199433,0.199789,0.426904,0.345198,0.465148,0.359884,0.754916,0.565174,0.634590,0.462770,0.566514,0.414345,0.714096,0.480002,0.825043,0.621144,0.555069,0.460878,0.517793,0.446053,0.544997,0.496524,0.530920,0.508494,0.471253,0.468318,0.507333,0.484037,0.521478,0.516448,0.452352,0.445065,0.440220,0.437210,0.444611,0.416256,0.493388,0.503778,0.458396,0.455763,0.442951,0.439492,0.428421,0.420798,0.514763,0.517257
5600,0.268235,0.270541,0.197613,0.197985,0.425383,0.342500,0.465372,0.358066,0.754643,0.562797,0.635541,0.461091,0.568367,0.412079,0.720418,0.480161,0.829918,0.620536,0.559601,0.462222,0.519268,0.445263,0.545510,0.495237,0.533004,0.509688,0.471269,0.468207,0.509284,0.484642,0.521643,0.516261,0.452278,0.445068,0.439798,0.436762,0.444218,0.415998,0.492976,0.503511,0.458127,0.455399,0.442553,0.439061,0.427312,0.419748,0.514765,0.517255
5800,0.266911,0.269222,0.196005,0.196382,0.423971,0.340181,0.464907,0.356317,0.755409,0.561306,0.636155,0.459584,0.570809,0.411011,0.725055,0.479941,0.834502,0.620209,0.562845,0.462914,0.520395,0.444374,0.545885,0.494314,0.535206,0.511130,0.470798,0.467441,0.510680,0.484995,0.521486,0.515889,0.451659,0.444606,0.439032,0.435927,0.443773,0.415754,0.493106,0.503542,0.457953,0.455179,0.442349,0.438837,0.426806,0.419328,0.514969,0.517553
6000,0.265396,0.267743,0.194873,0.195241,0.422427,0.337877,0.464526,0.354436,0.755929,0.559728,0.636396,0.458018,0.572786,0.409677,0.730821,0.480121,0.838642,0.619996,0.566756,0.464495,0.521722,0.443750,0.546381,0.493214,0.537236,0.512492,0.470843,0.467272,0.511968,0.485122,0.521624,0.515716,0.450753,0.443891,0.438458,0.435416,0.443356,0.415452,0.492734,0.503281,0.457762,0.454910,0.442094,0.438538,0.426329,0.418819,0.514925,0.517514
6200,0.264408,0.266783,0.193742,0.194116,0.420542,0.335639,0.463913,0.352791,0.755966,0.558159,0.637737,0.457482,0.574401,0.408333,0.735415,0.480136,0.843740,0.620518,0.570973,0.466535,0.523539,0.443744,0.546781,0.492299,0.538432,0.513131,0.471276,0.467513,0.513869,0.486109,0.521787,0.515546,0.450149,0.443506,0.437990,0.435023,0.443184,0.415368,0.492734,0.503253,0.457593,0.454652,0.441837,0.438229,0.425823,0.418351,0.514894,0.517523
6400,0.263900,0.266295,0.192987,0.193374,0.419365,0.333954,0.462983,0.351034,0.756154,0.556965,0.637599,0.456260,0.575876,0.407099,0.739825,0.480098,0.846631,0.619815,0.574433,0.467815,0.524074,0.442786,0.547215,0.491364,0.539427,0.513545,0.471384,0.467484,0.515382,0.486772,0.521821,0.515310,0.449371,0.442976,0.437430,0.434398,0.442738,0.415111,0.492569,0.503020,0.457475,0.454454,0.441703,0.438056,0.425275,0.417885,0.514765,0.517420
6600,0.263235,0.265650,0.192063,0.192461,0.417616,0.332118,0.462411,0.349615,0.755485,0.555327,0.637787,0.455263,0.576883,0.405934,0.743526,0.479767,0.849292,0.619065,0.576970,0.468486,0.524768,0.442170,0.547601,0.490562,0.540634,0.514092,0.471557,0.467529,0.516611,0.487190,0.521830,0.515002,0.449519,0.443106,0.436789,0.433744,0.442411,0.414899,0.492513,0.502971,0.457430,0.454385,0.441609,0.437946,0.425029,0.417726,0.514685,0.517399
6800,0.262592,0.265019,0.191526,0.191946,0.415695,0.330194,0.461659,0.348255,0.755700,0.554368,0.637913,0.454414,0.577788,0.404903,0.747059,0.479453,0.851720,0.618817,0.579418,0.469440,0.525107,0.441258,0.548047,0.489754,0.541682,0.514574,0.471772,0.467616,0.517913,0.487855,0.521903,0.514816,0.449374,0.443004,0.437058,0.433973,0.441922,0.414610,0.492505,0.502916,0.457392,0.454340,0.441558,0.437892,0.424876,0.417635,0.514696,0.517441
7000,0.262159,0.264596,0.190786,0.191225,0.414014,0.328547,0.460931,0.347048,0.755083,0.552998,0.637061,0.453052,0.578910,0.404009,0.750294,0.479443,0.854236,0.618684,0.581816,0.470334,0.525706,0.440594,0.548207,0.488864,0.542932,0.515446,0.471814,0.467565,0.518979,0.488371,0.521914,0.514599,0.449290,0.442961,0.436841,0.433755,0.441596,0.414418,0.492512,0.502879,0.457315,0.454227,0.441466,0.437788,0.424727,0.417514,0.514771,0.517526
7200,0.261690,0.264144,0.190252,0.190708,0.412527,0.327127,0.460090,0.345928,0.754215,0.551656,0.636889,0.452190,0.580052,0.403408,0.753218,0.479392,0.856101,0.618272,0.584081,0.471299,0.525964,0.439955,0.548303,0.488043,0.543843,0.515970,0.472026,0.467664,0.519853,0.488746,0.521969,0.514436,0.448969,0.442736,0.436454,0.433340,0.441263,0.414161,0.492466,0.502798,0.457289,0.454189,0.441444,0.437767,0.424616,0.417440,0.514782,0.517549
7400,0.261097,0.263552,0.189779,0.190243,0.411053,0.325784,0.459432,0.344942,0.754280,0.551097,0.636595,0.451355,0.580510,0.402563,0.755517,0.479022,0.858282,0.618257,0.586215,0.472293,0.526493,0.439620,0.548572,0.487410,0.544959,0.516717,0.472333,0.467790,0.520682,0.489089,0.521855,0.514078,0.449001,0.442810,0.435878,0.432822,0.440786,0.413873,0.492427,0.502730,0.457274,0.454168,0.441405,0.437714,0.424509,0.417357,0.514813,0.517612
7600,0.260689,0.263157,0.189322,0.189787,0.409555,0.324437,0.458641,0.343994,0.753766,0.550179,0.635912,0.450337,0.580834,0.401719,0.758104,0.479039,0.859766,0.618018,0.588170,0.473140,0.526689,0.439101,0.548605,0.486590,0.545691,0.517067,0.472700,0.468030,0.521637,0.489564,0.521874,0.513892,0.448690,0.442494,0.435753,0.432691,0.440374,0.413599,0.492402,0.502672,0.457250,0.454135,0.441353,0.437657,0.424387,0.417252,0.514753,0.517553
7800,0.260244,0.262717,0.189004,0.189464,0.408375,0.323336,0.457666,0.342985,0.753343,0.549284,0.635630,0.449691,0.581306,0.400954,0.760473,0.479095,0.861073,0.617589,0.590057,0.473979,0.527078,0.438775,0.548596,0.485763,0.546267,0.517332,0.472712,0.467971,0.522294,0.489756,0.521876,0.513719,0.448858,0.442693,0.435425,0.432400,0.440215,0.413502,0.492443,0.502667,0.457257,0.454154,0.441345,0.437670,0.424350,0.417269,0.514771,0.517617
8000,0.259967,0.262442,0.188490,0.188959,0.407127,0.322206,0.456721,0.342012,0.753145,0.548724,0.635356,0.449014,0.582036,0.400386,0.762517,0.478925,0.863071,0.617693,0.591679,0.474612,0.527057,0.438120,0.548865,0.485281,0.547126,0.517894,0.472920,0.468093,0.523140,0.490150,0.521796,0.513447,0.448534,0.442341,0.435210,0.432217,0.440108,0.413423,0.492422,0.502628,0.457227,0.454106,0.441247,0.437528,0.424174,0.417140,0.514740,0.517533
