step,L0.out_v2d.T,L1.out_v2d.T,L2.out_v2d.T,L3.out_v2d.T,L4.out_v2d.T,L5.out_v2d.T
0,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
200,0.100285,0.100207,0.099867,0.099788,0.099911,0.099902
400,0.102247,0.101814,0.100829,0.100052,0.099831,0.099722
600,0.104797,0.103685,0.101786,0.101087,0.099726,0.100050
800,0.107995,0.105820,0.103126,0.102481,0.099490,0.100262
1000,0.111887,0.108188,0.105030,0.103558,0.099134,0.100280
1200,0.116611,0.111332,0.106940,0.105118,0.099131,0.100111
1400,0.121397,0.114434,0.108771,0.106086,0.099231,0.100269
1600,0.126860,0.117611,0.110955,0.107205,0.099592,0.100360
1800,0.132002,0.120665,0.112651,0.108159,0.099727,0.100157
2000,0.137852,0.124403,0.114905,0.108950,0.099983,0.099992
2200,0.143745,0.128319,0.117342,0.109954,0.100057,0.099930
2400,0.149505,0.131919,0.119817,0.110725,0.100229,0.099781
2600,0.155994,0.135904,0.122963,0.111605,0.100360,0.099952
2800,0.162740,0.140338,0.126335,0.112412,0.100542,0.100263
3000,0.169284,0.144248,0.129191,0.113351,0.100701,0.100263
3200,0.175625,0.148404,0.132289,0.114048,0.100763,0.100305
3400,0.182134,0.152269,0.135608,0.114820,0.100844,0.100434
3600,0.188770,0.156538,0.138879,0.115547,0.100960,0.100686
3800,0.195406,0.160671,0.142240,0.116352,0.101123,0.100937
4000,0.202138,0.165057,0.145517,0.116999,0.101284,0.101122
4200,0.208151,0.168901,0.148434,0.117529,0.101344,0.101218
4400,0.214379,0.172981,0.151673,0.118210,0.101399,0.101446
4600,0.220416,0.176887,0.154535,0.118913,0.101445,0.101599
4800,0.226169,0.180798,0.157327,0.119659,0.101509,0.101717
5000,0.231882,0.184717,0.160202,0.120371,0.101622,0.101941
5200,0.236967,0.188087,0.162962,0.120888,0.101684,0.101993
5400,0.241950,0.191527,0.165611,0.121550,0.101814,0.101975
5600,0.246462,0.194580,0.167755,0.122119,0.101881,0.102078
5800,0.250704,0.197528,0.169906,0.122701,0.101945,0.102061
6000,0.254374,0.200011,0.171861,0.123108,0.102003,0.102152
6200,0.257854,0.202392,0.173614,0.123630,0.102059,0.102330
6400,0.260963,0.204539,0.175185,0.124048,0.102121,0.102420
6600,0.263744,0.206561,0.176681,0.124471,0.102152,0.102540
6800,0.266216,0.208234,0.178004,0.124814,0.102183,0.102575
7000,0.268478,0.209807,0.179208,0.125180,0.102229,0.102679
7200,0.270521,0.211279,0.180266,0.125506,0.102253,0.102740
7400,0.272384,0.212617,0.181257,0.125840,0.102283,0.102784
7600,0.274093,0.213825,0.182084,0.126199,0.102329,0.102818
7800,0.275722,0.215008,0.182968,0.126490,0.102348,0.102880
8000,0.277302,0.216135,0.183844,0.126746,0.102379,0.102954
