step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
500,0.492284,0.495229,0.495694,0.495776,0.493216,0.493028,0.498659,0.497070,0.498543,0.498668,0.498858,0.498766,0.498791,0.497702,0.498686,0.498917,0.498688,0.498563,0.498828,0.498506,0.499100,0.499362,0.498944,0.498818,0.498678,0.498774,0.499360,0.499551,0.499261,0.499191,0.498895,0.499013,0.499532,0.499630,0.499466,0.499436
1000,0.466875,0.477903,0.486929,0.487573,0.466204,0.466217,0.512786,0.495301,0.491436,0.491823,0.495581,0.495624,0.510116,0.496603,0.492653,0.493482,0.493436,0.493531,0.504381,0.496286,0.494725,0.495295,0.497418,0.496991,0.495388,0.496142,0.497198,0.497783,0.498949,0.498512,0.499906,0.498029,0.498604,0.498875,0.499392,0.499194
1500,0.428130,0.444607,0.473265,0.475749,0.423214,0.422114,0.548755,0.498708,0.465748,0.462604,0.470724,0.471264,0.548376,0.501207,0.479156,0.477290,0.482717,0.483352,0.526614,0.492316,0.487127,0.485298,0.496742,0.495925,0.508784,0.487417,0.496503,0.495595,0.499575,0.498227,0.509127,0.497709,0.497605,0.497595,0.499694,0.499283
2000,0.390196,0.405901,0.463869,0.468670,0.391138,0.375465,0.596693,0.496188,0.439265,0.416664,0.420646,0.418851,0.607151,0.494047,0.459888,0.438504,0.446525,0.447649,0.570100,0.485028,0.483004,0.469319,0.492707,0.490835,0.542320,0.476765,0.499457,0.490777,0.500913,0.498286,0.527772,0.498034,0.496362,0.495002,0.500208,0.499333
2500,0.367277,0.375069,0.459909,0.466484,0.411681,0.341762,0.642099,0.486625,0.472349,0.396951,0.394643,0.371359,0.673641,0.480289,0.487002,0.408271,0.407614,0.401978,0.629297,0.474193,0.485376,0.445645,0.482241,0.479531,0.584745,0.467417,0.505300,0.484056,0.502556,0.498451,0.552719,0.498354,0.495919,0.491836,0.500801,0.499310
3000,0.359403,0.352613,0.457646,0.465603,0.455204,0.318491,0.681998,0.474071,0.527962,0.399914,0.427197,0.339023,0.743778,0.463085,0.546512,0.398008,0.396718,0.360044,0.695180,0.460438,0.502805,0.425277,0.467706,0.462604,0.633140,0.459854,0.515742,0.477681,0.504883,0.498873,0.581178,0.497763,0.496089,0.488244,0.501613,0.499164
3500,0.361984,0.336402,0.456560,0.465552,0.510150,0.301986,0.719662,0.462296,0.589535,0.404504,0.480941,0.323376,0.811523,0.446023,0.616506,0.397533,0.432045,0.332001,0.764736,0.446321,0.536450,0.411017,0.453034,0.440903,0.682644,0.451886,0.526442,0.469739,0.506498,0.498632,0.610196,0.496312,0.497283,0.484433,0.502493,0.498951
4000,0.370333,0.324744,0.455278,0.465262,0.571776,0.289219,0.754656,0.449897,0.649552,0.404212,0.542044,0.314712,0.879030,0.427437,0.691529,0.394785,0.481570,0.316670,0.834249,0.430690,0.584684,0.402390,0.445072,0.418317,0.731695,0.442878,0.543821,0.462350,0.508796,0.498691,0.642988,0.493743,0.499890,0.479644,0.503315,0.498318
4500,0.380867,0.316364,0.453608,0.464563,0.636290,0.278404,0.789433,0.436365,0.711722,0.399550,0.610507,0.308408,0.944552,0.410982,0.769333,0.387691,0.538339,0.306512,0.910867,0.414881,0.639765,0.395590,0.448244,0.396955,0.783447,0.433758,0.565565,0.454362,0.511510,0.498588,0.674175,0.489736,0.503481,0.474248,0.504122,0.497380
