step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.485200,0.581602,0.354356,0.345746,0.487212,0.419097,0.545864,0.428401,0.652336,0.544072,0.509657,0.398772,0.498904,0.420273,0.606907,0.481392,0.629103,0.521339,0.447552,0.382192,0.470914,0.416753,0.625542,0.500107,0.573455,0.482850,0.405589,0.374734,0.456089,0.421577,0.636786,0.504183,0.549684,0.480631,0.405169,0.383385,0.462023,0.440678,0.622641,0.503235,0.515308,0.471949,0.409650,0.398913,0.449378,0.431205,0.611635,0.493886
2200,0.487207,0.594070,0.349779,0.336449,0.504762,0.421760,0.558888,0.421215,0.668905,0.547150,0.526547,0.399274,0.515170,0.419736,0.620976,0.479641,0.646312,0.524267,0.455093,0.376967,0.478572,0.412588,0.637861,0.497799,0.585763,0.482718,0.404031,0.365390,0.455457,0.413148,0.648824,0.498942,0.557766,0.479284,0.401583,0.373177,0.459630,0.433410,0.635050,0.497875,0.520753,0.470331,0.402004,0.388928,0.443150,0.421383,0.621533,0.487099
2400,0.488102,0.606248,0.347988,0.328567,0.521892,0.423832,0.569795,0.414602,0.686930,0.551899,0.543654,0.399132,0.530253,0.418521,0.634384,0.476980,0.661705,0.527058,0.463213,0.372075,0.488844,0.411290,0.650732,0.495092,0.598554,0.482245,0.405793,0.358325,0.456486,0.405648,0.659388,0.492818,0.566936,0.478095,0.399227,0.363317,0.457134,0.426350,0.646331,0.491390,0.525821,0.468259,0.396146,0.380310,0.437904,0.412046,0.630380,0.478738
2600,0.489886,0.619136,0.347195,0.321618,0.539019,0.426672,0.580237,0.408494,0.704064,0.555146,0.560049,0.397498,0.544262,0.415360,0.645806,0.473963,0.675800,0.528897,0.473984,0.369741,0.499473,0.409322,0.660861,0.491444,0.610914,0.482244,0.409190,0.352488,0.459900,0.398064,0.669173,0.486806,0.576609,0.477963,0.399600,0.355497,0.457032,0.420289,0.656500,0.483728,0.530471,0.467154,0.391178,0.372207,0.433418,0.403398,0.640325,0.470994
2800,0.489911,0.629310,0.348205,0.316082,0.553719,0.426927,0.589351,0.401997,0.718730,0.557794,0.576347,0.397270,0.560653,0.415563,0.656312,0.470989,0.690458,0.530619,0.484362,0.365568,0.508759,0.407018,0.672481,0.488960,0.623237,0.482305,0.415617,0.348343,0.463180,0.391771,0.680255,0.481172,0.586950,0.477652,0.401671,0.349726,0.457203,0.414100,0.667614,0.477328,0.535177,0.465884,0.387156,0.365153,0.429732,0.395276,0.648221,0.462676
3000,0.490047,0.639007,0.350838,0.311705,0.570081,0.428522,0.596995,0.395204,0.730631,0.558975,0.591397,0.396193,0.576867,0.414795,0.664506,0.466358,0.701022,0.530343,0.494714,0.362913,0.518004,0.403863,0.682411,0.486157,0.634882,0.482625,0.419576,0.344380,0.467186,0.386276,0.690487,0.476041,0.595909,0.477432,0.403533,0.344027,0.459279,0.409772,0.677157,0.470451,0.539301,0.464719,0.384897,0.359368,0.426793,0.387589,0.657241,0.455636
3200,0.492237,0.651973,0.352267,0.307104,0.584867,0.429400,0.606064,0.389145,0.744223,0.560131,0.605884,0.394056,0.593109,0.412095,0.675627,0.463828,0.711386,0.529970,0.505538,0.361693,0.528114,0.401337,0.690123,0.481830,0.645100,0.482193,0.426297,0.342054,0.473260,0.381996,0.699776,0.469464,0.603492,0.476191,0.407407,0.339433,0.461598,0.404959,0.686803,0.463447,0.544794,0.464326,0.382838,0.353883,0.424136,0.380094,0.666137,0.448078
3400,0.491111,0.659723,0.354758,0.303583,0.598696,0.428715,0.613604,0.383175,0.754301,0.560201,0.619847,0.392349,0.607435,0.410325,0.684336,0.460623,0.721495,0.529883,0.515686,0.359880,0.539856,0.400447,0.697948,0.477712,0.655296,0.480972,0.432238,0.339416,0.477188,0.376458,0.707329,0.462761,0.612658,0.476633,0.412019,0.335862,0.464271,0.401167,0.695400,0.457079,0.551181,0.464122,0.382115,0.349196,0.423236,0.374519,0.673987,0.441261
3600,0.491744,0.668186,0.357425,0.300743,0.610114,0.427937,0.622170,0.378231,0.766972,0.561512,0.632067,0.390062,0.622803,0.408980,0.691924,0.457176,0.730377,0.529595,0.524811,0.357754,0.551147,0.399374,0.706770,0.474786,0.665887,0.480803,0.439064,0.337297,0.483359,0.373377,0.715814,0.457420,0.619607,0.475462,0.416974,0.332933,0.466534,0.396500,0.704373,0.450706,0.555492,0.463383,0.380635,0.344616,0.421273,0.367616,0.680883,0.433548
3800,0.491289,0.675903,0.359124,0.297658,0.621284,0.426540,0.627153,0.371942,0.776344,0.561598,0.644628,0.389041,0.635836,0.407057,0.698578,0.452849,0.739305,0.528993,0.533667,0.356299,0.562404,0.398180,0.714521,0.471384,0.675059,0.479790,0.444837,0.335007,0.488085,0.368062,0.723792,0.451745,0.628017,0.475298,0.423277,0.331250,0.470656,0.393562,0.713258,0.444784,0.560722,0.463422,0.380804,0.341289,0.421395,0.362995,0.688812,0.427350
4000,0.490597,0.682095,0.361892,0.295449,0.631515,0.425093,0.633954,0.367241,0.785625,0.561907,0.655927,0.387237,0.648909,0.404596,0.704158,0.448715,0.746204,0.528144,0.542705,0.354475,0.571630,0.395987,0.718870,0.466505,0.683798,0.479013,0.452385,0.334237,0.494452,0.365439,0.731166,0.446778,0.634902,0.474131,0.430200,0.330115,0.473984,0.390183,0.721537,0.439035,0.564579,0.462409,0.380264,0.337654,0.420947,0.357740,0.697071,0.421682
