step,module,touch_frac,c_r_mean,c_r_median,c_r_max,frac_eq1,frac_ge8,frac_ge32,frac_ge64
200,L0.qkv_lut,1.0000,128.00,101,691,0.0000,0.9993,0.9666,0.7866
200,L0.v_lut,0.9902,32.32,21,589,0.0109,0.8481,0.3000,0.0923
200,L0.out_proj,0.3042,105.20,13,4177,0.0478,0.1785,0.1096,0.0807
200,L0.residual_lut,0.5435,235.53,38,4651,0.0505,0.3904,0.2861,0.2314
200,L1.qkv_lut,0.5775,221.65,39,5797,0.0470,0.4305,0.3063,0.2406
200,L1.v_lut,0.3049,104.95,13,4591,0.0451,0.1831,0.1113,0.0800
200,L1.out_proj,0.3427,93.38,10,4775,0.0576,0.1903,0.1111,0.0774
200,L1.residual_lut,0.6599,193.97,33,4833,0.0623,0.4736,0.3372,0.2551
200,L2.qkv_lut,0.6683,191.53,34,4933,0.0594,0.4847,0.3413,0.2635
200,L2.v_lut,0.3777,84.72,11,4607,0.0628,0.2103,0.1238,0.0848
200,L2.out_proj,0.3170,100.93,10,6318,0.0543,0.1729,0.1005,0.0701
200,L2.residual_lut,0.6355,201.42,19,6962,0.0767,0.4124,0.2751,0.2124
200,L3.qkv_lut,0.6077,210.61,20,6354,0.0710,0.4023,0.2620,0.1989
200,L3.v_lut,0.3520,90.91,8,5503,0.0687,0.1804,0.1004,0.0670
200,L3.out_proj,0.0200,1600.88,172,8192,0.0014,0.0159,0.0135,0.0119
200,L3.residual_lut,0.2703,473.61,48,7542,0.0281,0.1931,0.1499,0.1257
200,L4.qkv_lut,0.2770,462.06,30,7732,0.0337,0.1909,0.1367,0.1100
200,L4.v_lut,0.1212,263.95,16,6969,0.0193,0.0736,0.0492,0.0386
200,L4.out_proj,0.0158,2020.38,376,8192,0.0010,0.0128,0.0110,0.0100
200,L4.residual_lut,0.2776,461.12,46,7781,0.0259,0.1995,0.1494,0.1260
200,L5.qkv_lut,0.2318,552.27,53,7500,0.0202,0.1729,0.1346,0.1110
200,L5.v_lut,0.1152,277.74,21,7677,0.0168,0.0735,0.0511,0.0398
200,L5.out_proj,0.0285,1121.47,78,8192,0.0024,0.0211,0.0167,0.0149
200,L5.residual_lut,0.2151,595.11,51,8021,0.0222,0.1565,0.1201,0.1011
400,L0.qkv_lut,1.0000,128.00,101,694,0.0000,0.9995,0.9653,0.7858
400,L0.v_lut,0.9900,32.32,21,612,0.0110,0.8481,0.3001,0.0921
400,L0.out_proj,0.3866,82.78,11,4113,0.0585,0.2211,0.1262,0.0848
400,L0.residual_lut,0.7427,172.35,31,3856,0.0566,0.5376,0.3708,0.2856
400,L1.qkv_lut,0.7925,161.52,33,4795,0.0599,0.5833,0.3996,0.3039
400,L1.v_lut,0.4811,66.51,10,3680,0.0741,0.2679,0.1480,0.0982
400,L1.out_proj,0.5181,61.77,9,3103,0.0870,0.2789,0.1532,0.1026
400,L1.residual_lut,0.8782,145.76,41,3052,0.0593,0.6726,0.4773,0.3640
