step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5
500,6.942991,1.974555,19.597099,19.599436,19.599949,19.599361,19.597931,19.596920,1.000059,1.000178,1.000205,1.000175,1.000102,1.000050,19.671427,19.656225,19.658844,19.661545,19.666748,19.656418
1000,5.783039,1.728239,19.599396,19.603260,19.605137,19.602139,19.600523,19.599312,1.000174,1.000371,1.000466,1.000313,1.000231,1.000169,19.520857,19.668873,19.685905,19.704212,19.748013,19.733908
1500,5.297930,1.597486,19.601757,19.606272,19.609993,19.604370,19.603559,19.600346,1.000291,1.000517,1.000703,1.000416,1.000376,1.000210,19.118153,19.638092,19.665993,19.748417,19.804274,19.867525
2000,4.979270,1.507723,19.602997,19.607986,19.612926,19.604746,19.604631,19.597073,1.000347,1.000588,1.000834,1.000416,1.000410,1.000025,18.500401,19.574272,19.664778,19.834192,19.859039,20.091843
2500,4.744483,1.439229,19.604389,19.608110,19.613504,19.603703,19.603313,19.589304,1.000411,1.000574,1.000839,1.000339,1.000319,0.999607,17.843723,19.462420,19.996933,19.983208,19.900358,20.357862
3000,4.560529,1.387857,19.605419,19.608387,19.614386,19.603643,19.603231,19.580379,1.000454,1.000563,1.000853,1.000312,1.000288,0.999129,17.223812,19.309307,20.308861,20.097250,19.911362,20.581779
3500,4.434242,1.353139,19.607851,19.608459,19.615036,19.602299,19.603081,19.567625,1.000568,1.000542,1.000858,1.000216,1.000257,0.998452,16.670439,19.155405,20.472815,20.166616,19.910517,20.792526
4000,4.359113,1.327353,19.608906,19.608770,19.614923,19.603201,19.604418,19.553415,1.000612,1.000535,1.000819,1.000235,1.000300,0.997705,16.173748,19.005077,20.586834,20.196960,19.901737,20.998898
4500,4.285306,1.307105,19.608704,19.609373,19.615929,19.602736,19.604004,19.536634,1.000590,1.000541,1.000846,1.000189,1.000257,0.996823,15.747070,18.863035,20.662514,20.207842,19.892576,21.190414
5000,4.237472,1.291535,19.610012,19.610811,19.617393,19.602247,19.603165,19.519541,1.000648,1.000593,1.000900,1.000143,1.000188,0.995923,15.373308,18.729771,20.724865,20.215143,19.885344,21.373457
5500,4.200957,1.277030,19.610588,19.610315,19.618891,19.603073,19.601412,19.500057,1.000666,1.000545,1.000947,1.000166,1.000071,0.994904,15.046943,18.605003,20.772467,20.217257,19.882078,21.536530
6000,4.142052,1.265297,19.611277,19.610474,19.619087,19.602375,19.599548,19.483431,1.000694,1.000534,1.000936,1.000110,0.999959,0.994028,14.772487,18.492321,20.804029,20.210716,19.880135,21.683432
6500,4.110361,1.255059,19.612095,19.609928,19.619925,19.602150,19.600025,19.465605,1.000729,1.000490,1.000962,1.000075,0.999965,0.993088,14.538339,18.389389,20.831709,20.205923,19.876005,21.811111
7000,4.065646,1.246134,19.613495,19.609802,19.619944,19.601858,19.598284,19.449924,1.000795,1.000464,1.000944,1.000046,0.999858,0.992259,14.347707,18.293251,20.851946,20.202454,19.876665,21.925367
7500,4.036521,1.238006,19.614700,19.609053,19.620667,19.602074,19.597706,19.434252,1.000850,1.000412,1.000963,1.000039,0.999816,0.991433,14.191793,18.212704,20.870552,20.198723,19.882820,22.030109
8000,3.998849,1.230682,19.615698,19.608271,19.620872,19.600897,19.596954,19.420612,1.000891,1.000357,1.000962,0.999970,0.999765,0.990713,14.060515,18.138609,20.890566,20.201830,19.893200,22.124901
8500,3.968215,1.223742,19.616144,19.608992,19.622055,19.600615,19.595743,19.406775,1.000912,1.000385,1.001010,0.999942,0.999693,0.989981,13.955391,18.074947,20.903353,20.205727,19.907167,22.213543
9000,3.957650,1.217270,19.616377,19.608440,19.622604,19.600605,19.594547,19.395416,1.000918,1.000350,1.001027,0.999934,0.999621,0.989383,13.868633,18.022812,20.916212,20.215700,19.922127,22.287066
9500,3.917270,1.211470,19.616602,19.608232,19.623371,19.600607,19.593796,19.384766,1.000927,1.000332,1.001059,0.999926,0.999576,0.988822,13.800620,17.977005,20.938656,20.226704,19.934101,22.363722
10000,3.899879,1.206192,19.617073,19.608385,19.623962,19.599556,19.593231,19.376005,1.000947,1.000333,1.001085,0.999862,0.999541,0.988358,13.749258,17.937490,20.961657,20.235012,19.952272,22.431200
10500,3.908436,1.201123,19.617064,19.608114,19.623766,19.599518,19.592567,19.368660,1.000944,1.000312,1.001069,0.999856,0.999500,0.987970,13.712307,17.905823,20.979527,20.250937,19.969271,22.491875
11000,3.849258,1.197542,19.617399,19.608120,19.623852,19.598726,19.591877,19.360300,1.000959,1.000308,1.001069,0.999812,0.999462,0.987529,13.686827,17.881756,20.997156,20.267242,19.990498,22.548460
11500,3.837612,1.193157,19.617844,19.608099,19.623825,19.598539,19.591623,19.353661,1.000983,1.000305,1.001058,0.999798,0.999447,0.987180,13.672686,17.862444,21.016356,20.281406,20.007141,22.599972
12000,3.829365,1.189609,19.617691,19.607903,19.623585,19.598623,19.590874,19.349108,1.000974,1.000291,1.001046,0.999802,0.999404,0.986941,13.663950,17.848907,21.035778,20.295374,20.025442,22.644442
12500,3.805580,1.186503,19.618061,19.607679,19.623535,19.598846,19.590431,19.345377,1.000992,1.000280,1.001041,0.999812,0.999377,0.986745,13.662604,17.838930,21.048714,20.309902,20.040792,22.683125
