step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498470,0.498401,0.499151,0.499127,0.498573,0.498519,0.499710,0.499852,0.499451,0.499328,0.500273,0.500230,0.499456,0.499493,0.499583,0.499528,0.500342,0.500281,0.499590,0.499650,0.499401,0.499321,0.500385,0.500328,0.499971,0.499948,0.499454,0.499359,0.500357,0.500299,0.499999,0.499952,0.499177,0.499110,0.500412,0.500343
400,0.489216,0.489013,0.496489,0.496124,0.488898,0.488874,0.495326,0.495462,0.499120,0.498562,0.502160,0.501276,0.498142,0.498424,0.501204,0.501704,0.510116,0.510124,0.501125,0.501429,0.498613,0.498572,0.508704,0.507859,0.499281,0.499077,0.502916,0.502855,0.509234,0.508907,0.500303,0.500091,0.497612,0.497411,0.508690,0.507849
600,0.473352,0.473142,0.491181,0.490679,0.472857,0.472897,0.491173,0.491337,0.497572,0.496312,0.503019,0.500703,0.499733,0.499952,0.506014,0.507552,0.528337,0.527683,0.503029,0.502998,0.492570,0.491608,0.525054,0.523514,0.498336,0.498567,0.498471,0.497747,0.525878,0.524954,0.500062,0.499669,0.489042,0.488303,0.525274,0.522263
800,0.453125,0.452850,0.482492,0.482454,0.452192,0.452300,0.484990,0.484500,0.495365,0.493701,0.501917,0.498638,0.501558,0.501700,0.518343,0.516563,0.551134,0.549774,0.500209,0.499730,0.488698,0.483215,0.550266,0.542630,0.499344,0.499963,0.489855,0.486793,0.550064,0.548625,0.500242,0.500071,0.476319,0.472848,0.549788,0.537986
1000,0.429783,0.429442,0.469687,0.469964,0.430557,0.430770,0.476032,0.473857,0.493322,0.490902,0.500264,0.496153,0.502989,0.503322,0.529703,0.523224,0.577487,0.576402,0.499298,0.498517,0.490501,0.476177,0.580577,0.560985,0.497022,0.497662,0.488955,0.478207,0.579128,0.573353,0.495465,0.495359,0.472089,0.461901,0.577981,0.551925
1200,0.405659,0.405249,0.453139,0.453354,0.409846,0.410171,0.470317,0.462788,0.490890,0.487844,0.498501,0.493752,0.506424,0.506350,0.535946,0.525673,0.600149,0.599750,0.498836,0.498080,0.495904,0.471231,0.608368,0.574747,0.496241,0.497236,0.495505,0.472023,0.609338,0.597320,0.494847,0.494814,0.475706,0.456197,0.606921,0.567077
1400,0.384033,0.383482,0.436621,0.435877,0.390341,0.390714,0.466555,0.451231,0.486886,0.483437,0.495960,0.490566,0.506674,0.506894,0.541114,0.527617,0.624360,0.625732,0.497880,0.496505,0.502415,0.466266,0.632795,0.586754,0.496344,0.495185,0.505956,0.469889,0.640221,0.624885,0.495787,0.495995,0.483726,0.452684,0.637151,0.586581
1600,0.364354,0.363526,0.420867,0.418472,0.372414,0.372684,0.465370,0.439026,0.482813,0.478428,0.492918,0.487041,0.506559,0.506755,0.545809,0.528991,0.648871,0.651059,0.498397,0.496717,0.506753,0.463364,0.656883,0.601325,0.497566,0.496900,0.514637,0.469534,0.670387,0.651083,0.499062,0.498373,0.491843,0.451929,0.665768,0.607492
1800,0.346994,0.345707,0.405675,0.401328,0.356007,0.355860,0.468772,0.427943,0.478574,0.473597,0.488798,0.482495,0.506681,0.506949,0.548300,0.528763,0.667026,0.669517,0.501645,0.499948,0.502490,0.455469,0.683547,0.621439,0.496004,0.495547,0.523706,0.469485,0.693989,0.667254,0.497044,0.495693,0.499275,0.452471,0.683385,0.617092
