step,L0.qkv_joint.T_soft,L0.qkv_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_joint.T_soft,L1.qkv_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_joint.T_soft,L2.qkv_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_joint.T_soft,L3.qkv_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_joint.T_soft,L4.qkv_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_joint.T_soft,L5.qkv_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.501233,0.501295,0.498142,0.498127,0.497159,0.497178,0.499003,0.498952,0.499302,0.499282,0.500898,0.500643,0.500561,0.500530,0.501411,0.501383,0.503157,0.503179,0.500770,0.500805,0.502150,0.502154,0.503113,0.503158,0.500826,0.500846,0.502011,0.502015,0.503209,0.503256,0.501163,0.501109,0.502413,0.502413,0.503178,0.503228
400,0.509498,0.509680,0.494928,0.494700,0.488971,0.489108,0.498350,0.497028,0.495222,0.494990,0.496235,0.495671,0.498990,0.498520,0.496228,0.496028,0.511953,0.511061,0.502531,0.502484,0.503520,0.503349,0.513982,0.513704,0.506127,0.505533,0.502076,0.501947,0.513960,0.513635,0.505267,0.504560,0.498313,0.498200,0.513705,0.513398
600,0.524498,0.524828,0.489675,0.488819,0.478375,0.478914,0.498203,0.494019,0.491178,0.490711,0.487479,0.486806,0.498719,0.497204,0.489749,0.489173,0.520063,0.516687,0.507762,0.505027,0.495472,0.493124,0.530572,0.530411,0.513462,0.504743,0.491660,0.490909,0.530784,0.530324,0.513491,0.509206,0.488006,0.487618,0.529902,0.529538
800,0.543068,0.543702,0.483324,0.482306,0.465887,0.466908,0.496093,0.487175,0.484316,0.483640,0.475032,0.474501,0.496314,0.493595,0.485177,0.483828,0.527583,0.521021,0.518760,0.513706,0.495727,0.485658,0.549868,0.550419,0.522246,0.499341,0.481309,0.478671,0.548117,0.547545,0.521470,0.512654,0.479264,0.477980,0.547502,0.547138
1000,0.564613,0.565525,0.471956,0.470867,0.451834,0.453189,0.491980,0.476691,0.473204,0.472027,0.457745,0.457142,0.494597,0.490299,0.477589,0.475496,0.532818,0.521525,0.529621,0.523195,0.502902,0.481521,0.567283,0.566654,0.527994,0.495819,0.480880,0.470261,0.562116,0.557419,0.528498,0.517050,0.472593,0.469097,0.560867,0.556566
1200,0.585060,0.586258,0.459069,0.457403,0.438222,0.439889,0.487384,0.465569,0.460450,0.458308,0.441090,0.440214,0.492137,0.485575,0.468656,0.465385,0.536910,0.520290,0.538865,0.531973,0.507400,0.480583,0.578799,0.576818,0.533433,0.491415,0.486128,0.466424,0.573133,0.563458,0.536496,0.522872,0.471050,0.460158,0.574491,0.562392
1400,0.605629,0.607167,0.445032,0.441894,0.424065,0.425886,0.483213,0.454167,0.446565,0.442715,0.423518,0.422093,0.490211,0.481125,0.460945,0.455477,0.540644,0.518353,0.552623,0.543625,0.513924,0.480054,0.600544,0.585434,0.541610,0.485432,0.493239,0.461469,0.590473,0.568120,0.547628,0.529374,0.473792,0.451267,0.594113,0.566455
1600,0.620860,0.622702,0.432374,0.427271,0.411259,0.413042,0.482825,0.444791,0.433762,0.427504,0.407619,0.405433,0.488453,0.476465,0.453690,0.445658,0.543669,0.516115,0.566384,0.555140,0.519485,0.480678,0.620041,0.592645,0.551567,0.479084,0.501165,0.456287,0.608680,0.571182,0.558735,0.534537,0.478598,0.444109,0.610406,0.569329
1800,0.632647,0.634811,0.420250,0.412480,0.399289,0.400941,0.482924,0.436551,0.424112,0.414437,0.393925,0.390778,0.486635,0.471771,0.448523,0.437476,0.543395,0.510676,0.579259,0.567795,0.524351,0.481052,0.636704,0.597654,0.560211,0.472558,0.510581,0.455857,0.622603,0.573776,0.572529,0.539036,0.483603,0.439764,0.624957,0.571830
2000,0.643572,0.645968,0.409233,0.398449,0.387582,0.388998,0.486178,0.429591,0.415829,0.401374,0.380807,0.376228,0.485827,0.467273,0.443023,0.429047,0.543600,0.505518,0.590585,0.577223,0.530782,0.481088,0.654666,0.603269,0.570633,0.467529,0.519267,0.455339,0.637874,0.575864,0.583114,0.538854,0.489896,0.433647,0.638706,0.573485
