step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lm_g_L0,lm_g_L1,lm_g_L2,lm_g_L3,lm_g_L4,lm_g_L5,lm_beta_L0,lm_beta_L1,lm_beta_L2,lm_beta_L3,lm_beta_L4,lm_beta_L5,lm_gamma_L0,lm_gamma_L1,lm_gamma_L2,lm_gamma_L3,lm_gamma_L4,lm_gamma_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
500,8.182839,2.336804,19.684011,19.635765,19.649498,19.645496,19.646360,19.634808,1.004495,1.002033,1.002733,1.002529,1.002573,1.001984,19.679386,19.618172,19.621296,19.623489,19.627998,19.626921,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.01049423,2.00649548,2.01129889,2.00952387,2.01117301,2.00983047,0.99536276,0.99691385,0.99456328,0.99522483,0.99434519,0.99504012,3.31602178e-05,1.50536958e-04,1.19713186e-05,1.18377029e-05,1.02617305e-05,8.53537222e-06,5.81822451e-06
1000,6.612708,1.966491,19.734507,19.641582,19.664377,19.689962,19.708448,19.682838,1.007072,1.002329,1.003492,1.004796,1.005740,1.004433,19.698915,19.651268,19.664227,19.686899,19.716318,19.710114,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.01687860,2.00676823,2.01574683,2.02455091,2.02734876,2.02570343,0.99346209,0.99689931,0.99234748,0.98721832,0.98565537,0.98633581,9.81174780e-05,2.82423745e-04,4.05130522e-05,5.18414126e-05,7.13493719e-05,8.07975521e-05,6.17797341e-05
1500,6.032354,1.819938,19.764992,19.648550,19.691389,19.737108,19.802893,19.749628,1.008627,1.002684,1.004869,1.007200,1.010556,1.007838,19.675961,19.674923,19.687319,19.715805,19.782907,19.781746,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.02084589,2.00714040,2.02284408,2.03948426,2.05957508,2.04644942,0.99269247,0.99683255,0.98893857,0.97998577,0.96967441,0.97495008,2.38105789e-04,4.85064695e-04,1.01623773e-04,1.34497343e-04,2.08659156e-04,2.92125216e-04,2.06664554e-04
2000,5.657755,1.710709,19.786299,19.654827,19.727570,19.799543,19.938738,19.864559,1.009713,1.003003,1.006712,1.010382,1.017480,1.013694,19.613585,19.684864,19.689648,19.718081,19.824602,19.852394,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.02373672,2.00638008,2.03130198,2.05987954,2.11101651,2.07712865,0.99268216,0.99755532,0.98549891,0.97113824,0.94694889,0.95891619,4.85410048e-04,7.91012077e-04,1.80973802e-04,2.72961159e-04,4.46012273e-04,6.95196737e-04,5.26304240e-04
2500,5.352790,1.621284,19.774181,19.647614,19.768286,19.870481,20.064480,19.978399,1.009092,1.002633,1.008784,1.013993,1.023885,1.019492,19.500528,19.680784,19.669065,19.695528,19.838282,19.934015,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.02047443,2.00174284,2.04081750,2.08296251,2.16580963,2.10784411,0.99504220,1.00071299,0.98250008,0.96354795,0.92635816,0.94319487,8.61528121e-04,1.17572548e-03,2.85743357e-04,4.98854264e-04,8.27146345e-04,1.31826184e-03,1.06343743e-03
3000,5.105936,1.548047,19.714785,19.630005,19.808851,19.931454,20.156147,20.062286,1.006059,1.001731,1.010845,1.017094,1.028550,1.023761,19.325207,19.663010,19.619148,19.644638,19.824434,20.046062,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.00694633,1.99315679,2.05142689,2.10628152,2.21116376,2.13384581,1.00179970,1.00634408,0.98005605,0.95800966,0.91221941,0.92889512,1.38670691e-03,1.62080210e-03,4.58590453e-04,8.71570664e-04,1.39134889e-03,2.16075429e-03,1.81717507e-03
3500,4.903387,1.490148,19.621109,19.599297,19.834547,19.965519,20.197691,20.120750,1.001275,1.000159,1.012147,1.018820,1.030657,1.026732,19.082188,19.638180,19.532940,19.566620,19.785744,20.214437,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.98336208,1.97855937,2.05880737,2.12180853,2.23569989,2.15346003,1.01196313,1.01602745,0.98070461,0.95815527,0.90745389,0.91628402,2.05921443e-03,2.10305932e-03,7.33808556e-04,1.42253912e-03,2.12407205e-03,3.20199737e-03,2.76981015e-03
4000,4.746719,1.439334,19.498798,19.559729,19.832226,19.955257,20.180403,20.145786,0.995029,0.998133,1.012015,1.018284,1.029761,1.027999,18.761976,19.606880,19.411514,19.456951,19.720572,20.536207,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.95109844,1.96068633,2.05615592,2.11719894,2.23084641,2.16518664,1.02521729,1.02826130,0.98667997,0.96743321,0.91429281,0.90438032,2.86702513e-03,2.62896135e-03,1.12502743e-03,2.15011858e-03,3.01870122e-03,4.39236825e-03,3.88697395e-03
4500,4.578479,1.392006,19.336948,19.489950,19.807026,19.915771,20.135626,20.156635,0.986764,0.994562,1.010715,1.016257,1.027459,1.028539,18.344830,19.565870,19.245874,19.316811,19.639101,20.919115,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.90928137,1.93175018,2.04322958,2.10063481,2.21103120,2.17355466,1.04077315,1.04599917,0.99867636,0.98069710,0.92501521,0.89019936,3.76198002e-03,3.12501146e-03,1.59569061e-03,3.03486828e-03,4.02400922e-03,5.66157093e-03,5.13072964e-03
5000,4.462176,1.357294,19.161322,19.404539,19.762005,19.871923,20.078238,20.145590,0.977792,0.990190,1.008400,1.013999,1.024511,1.027960,17.859301,19.517269,19.042509,19.153584,19.551533,21.228714,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.86230576,1.89817309,2.02290726,2.08167481,2.18301988,2.17368150,1.05595672,1.06604803,1.01255012,0.99388379,0.93714589,0.87826717,4.63471729e-03,3.45669128e-03,2.07471126e-03,3.98932118e-03,5.04209753e-03,6.88784150e-03,6.35764096e-03
