gen,trial_id,nap,tph_qkv,tph_op,n_params,val_loss,origin
19,220,4,134,134,496704,2.160715,mutate
19,221,4,134,134,496704,2.178376,mutate
19,222,4,134,134,496704,2.175535,mutate
19,223,4,134,134,496704,2.182875,mutate
19,224,4,134,134,496704,2.191305,crossover
19,225,4,134,134,496704,2.145144,crossover
19,226,4,134,134,496704,2.153122,crossover
19,227,4,134,134,496704,2.244478,crossover
19,228,5,67,67,496704,2.212742,random
19,229,4,134,134,496704,2.132831,random
19,230,4,134,134,496704,2.156254,random
19,231,6,33,33,489536,2.253562,random
20,232,4,134,134,496704,2.148434,mutate
20,233,4,134,134,496704,2.154759,mutate
20,234,4,134,134,496704,2.174376,mutate
20,235,4,134,134,496704,2.214570,mutate
20,236,4,134,134,496704,2.202458,crossover
20,237,4,134,134,496704,2.179194,crossover
20,238,4,134,134,496704,2.229514,crossover
20,239,4,134,134,496704,2.205978,crossover
20,240,4,134,134,496704,2.159038,random
20,241,5,67,67,496704,2.243878,random
20,242,5,67,67,496704,2.218773,random
20,243,5,67,67,496704,2.208967,random
21,244,4,134,134,496704,2.153565,mutate
21,245,4,134,134,496704,2.172805,mutate
21,246,4,134,134,496704,2.180829,mutate
21,247,4,134,134,496704,2.172037,mutate
21,248,4,134,134,496704,2.161441,crossover
21,249,4,134,134,496704,2.176917,crossover
21,250,4,134,134,496704,2.161471,crossover
21,251,4,134,134,496704,2.164419,crossover
21,252,4,134,134,496704,2.178500,random
21,253,4,134,134,496704,2.196169,random
21,254,4,134,134,496704,2.176924,random
21,255,4,134,134,496704,2.156474,random
22,256,4,134,134,496704,2.172017,mutate
22,257,4,134,134,496704,2.195922,mutate
22,258,4,134,134,496704,2.203815,mutate
22,259,4,134,134,496704,2.194515,mutate
22,260,4,134,134,496704,2.170653,crossover
22,261,4,134,134,496704,2.210631,crossover
22,262,4,134,134,496704,2.146860,crossover
22,263,4,134,134,496704,2.201278,crossover
22,264,4,134,134,496704,2.153486,random
22,265,4,134,134,496704,2.278382,random
22,266,4,134,134,496704,2.179235,random
22,267,6,33,33,489536,2.240454,random
23,268,4,134,134,496704,2.203309,mutate
23,269,4,134,134,496704,2.149565,mutate
23,270,4,134,134,496704,2.178585,mutate
23,271,4,134,134,496704,2.138169,mutate
23,272,4,134,134,496704,2.191660,crossover
23,273,4,134,134,496704,2.186358,crossover
23,274,4,134,134,496704,2.193848,crossover
23,275,4,134,134,496704,2.161105,crossover
23,276,4,134,134,496704,2.192111,random
23,277,5,67,67,496704,2.230123,random
23,278,4,134,134,496704,2.168144,random
23,279,6,33,33,489536,2.243475,random
24,280,4,134,134,496704,2.182114,mutate
24,281,4,134,134,496704,2.182160,mutate
24,282,4,134,134,496704,2.172189,mutate
24,283,4,134,134,496704,2.160619,mutate
24,284,4,134,134,496704,2.140540,crossover
24,285,4,134,134,496704,2.160996,crossover
24,286,4,134,134,496704,2.236286,crossover
24,287,4,134,134,496704,2.173668,crossover
24,288,5,67,67,496704,2.217455,random
24,289,4,134,134,496704,2.196460,random
24,290,4,134,134,496704,2.162166,random
24,291,5,67,67,496704,2.192274,random
25,292,4,134,134,496704,2.204778,mutate
