step,train_loss,qreg_loss,lambda,val_loss,val_loss_snapped
0,6.488316,0.362766,0.000000,6.475139,
1000,1.953986,0.431674,0.000000,1.915316,
2000,1.784971,0.464785,0.000000,1.781228,
3000,1.740090,0.481809,0.000000,1.727924,
4000,1.709535,0.490589,0.000000,1.700040,
5000,1.688764,0.495279,0.000000,1.687914,
