step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.334937,0.335136,0.321040,0.321443,0.375508,0.315387,0.439217,0.366372,0.741614,0.398754,0.556126,0.365884,0.415434,0.321517,0.554934,0.425635,0.742876,0.429957,0.532119,0.374687,0.360305,0.334711,0.557990,0.449967,0.679141,0.421979,0.436235,0.383314,0.366740,0.340017,0.546655,0.485885,0.519420,0.467705,0.469777,0.461741,0.433524,0.421814,0.576504,0.544801,0.539437,0.475262,0.551727,0.480355,0.470498,0.457447,0.602662,0.550255
2200,0.317479,0.317616,0.303909,0.304281,0.396802,0.299647,0.447486,0.353113,0.778157,0.388253,0.585829,0.360233,0.437663,0.307878,0.574248,0.418059,0.782753,0.419566,0.559666,0.373628,0.370573,0.318974,0.570871,0.441764,0.709248,0.413157,0.446809,0.376555,0.371363,0.327104,0.552677,0.481286,0.531336,0.465332,0.464995,0.456528,0.429128,0.411201,0.577055,0.539179,0.545840,0.481726,0.559072,0.487406,0.470174,0.454827,0.610984,0.553593
2400,0.301578,0.301639,0.288209,0.288553,0.418694,0.287209,0.454329,0.342732,0.812008,0.378611,0.615274,0.354426,0.459774,0.298619,0.588735,0.411854,0.822465,0.409688,0.586775,0.372090,0.383847,0.306767,0.578975,0.435181,0.736762,0.405452,0.456875,0.372300,0.377950,0.318662,0.556666,0.477869,0.542732,0.461746,0.460793,0.452128,0.426659,0.402375,0.577622,0.535311,0.553841,0.485535,0.568078,0.492320,0.470105,0.454099,0.617339,0.555959
2600,0.286681,0.286692,0.273687,0.274004,0.441246,0.280284,0.470061,0.330703,0.846539,0.368721,0.645372,0.348004,0.483705,0.289981,0.612317,0.403089,0.863353,0.399668,0.615095,0.370313,0.402135,0.294827,0.594304,0.425677,0.766260,0.396578,0.469851,0.367503,0.389149,0.309567,0.564539,0.472751,0.557339,0.460251,0.456640,0.447001,0.426819,0.391452,0.578525,0.528333,0.562926,0.491977,0.577227,0.497324,0.470056,0.452052,0.620924,0.557387
2800,0.272966,0.272928,0.260274,0.260570,0.464047,0.276347,0.482344,0.321356,0.880756,0.358395,0.674891,0.341280,0.507770,0.283876,0.630958,0.396410,0.905108,0.389364,0.644073,0.366331,0.420433,0.285882,0.604502,0.418166,0.792834,0.387119,0.481135,0.364038,0.399775,0.303580,0.569590,0.468661,0.570664,0.457643,0.453525,0.442918,0.428978,0.383902,0.579547,0.524103,0.573824,0.498825,0.589410,0.503992,0.469996,0.450259,0.623198,0.558289
3000,0.260601,0.260507,0.248003,0.248273,0.487126,0.272012,0.491761,0.314575,0.910997,0.349121,0.704214,0.333602,0.531990,0.278652,0.644362,0.390952,0.945675,0.379774,0.671798,0.362153,0.437690,0.280201,0.610740,0.412028,0.817460,0.377931,0.492507,0.360829,0.408990,0.299286,0.572764,0.465347,0.584508,0.456147,0.450158,0.438609,0.433262,0.377508,0.579162,0.520035,0.581498,0.503409,0.598385,0.509245,0.469782,0.449597,0.624651,0.558808
3200,0.249286,0.249141,0.236817,0.237063,0.510476,0.268358,0.504121,0.307766,0.942609,0.339558,0.734429,0.325636,0.556524,0.273346,0.661133,0.385279,0.987151,0.369536,0.700019,0.357690,0.456108,0.274842,0.619205,0.405496,0.842006,0.369614,0.504772,0.357674,0.419668,0.295298,0.576841,0.461511,0.595353,0.452413,0.447350,0.434200,0.437950,0.371340,0.579100,0.515461,0.587759,0.506309,0.606093,0.513166,0.469645,0.449037,0.625991,0.559324
3400,0.238831,0.238634,0.226514,0.226739,0.533660,0.264045,0.517192,0.301706,0.973435,0.330561,0.763780,0.317652,0.581250,0.268383,0.677923,0.379722,1.027649,0.360509,0.727723,0.352450,0.474821,0.269768,0.627897,0.399345,0.863005,0.361913,0.515634,0.354640,0.430232,0.291998,0.581099,0.457864,0.608137,0.449019,0.444871,0.429949,0.444146,0.365413,0.579317,0.511163,0.593647,0.508390,0.612994,0.515650,0.469653,0.448709,0.627525,0.559916
3600,0.229259,0.229026,0.217158,0.217360,0.556773,0.259191,0.528623,0.296497,1.000540,0.322757,0.792330,0.310045,0.605331,0.264072,0.692914,0.374743,1.066706,0.351964,0.754224,0.346931,0.492788,0.265685,0.634843,0.393932,0.883395,0.354567,0.526539,0.350927,0.440451,0.289061,0.584749,0.454755,0.618694,0.446458,0.442761,0.425618,0.450739,0.359857,0.579467,0.507400,0.601585,0.512619,0.623002,0.520102,0.469549,0.448176,0.629885,0.560823
3800,0.220538,0.220267,0.208616,0.208803,0.579700,0.254923,0.541565,0.291743,1.026116,0.315047,0.819838,0.302726,0.629494,0.259280,0.708929,0.369903,1.106031,0.343620,0.779688,0.341336,0.511130,0.261528,0.642121,0.388119,0.905944,0.346702,0.537222,0.347529,0.450699,0.286247,0.588314,0.451287,0.628396,0.443164,0.441358,0.422076,0.457249,0.354658,0.579170,0.502973,0.606861,0.516023,0.629423,0.523960,0.469606,0.447935,0.634112,0.562558
