step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
500,7.059472,2.013005,19.729351,19.621901,19.626734,19.630486,19.626095,19.627670,1.006808,1.001325,1.001571,1.001763,1.001539,1.001619,19.705860,19.668119,19.666874,19.663885,19.663763,19.654617,2.23238368e-04,4.75062930e-04,1.94105844e-04,1.70546060e-04,1.72730957e-04,1.67698570e-04,1.59285846e-04
1000,5.880419,1.755367,19.791136,19.652229,19.664520,19.685083,19.673758,19.678814,1.009958,1.002870,1.003496,1.004544,1.003966,1.004225,19.598785,19.696003,19.686331,19.707680,19.740475,19.719044,1.21032460e-03,1.26920035e-03,1.17048318e-03,1.13374845e-03,1.23389717e-03,1.21608598e-03,1.23853248e-03
1500,5.350207,1.609081,19.789808,19.698277,19.723896,19.748579,19.736021,19.724924,1.009885,1.005214,1.006515,1.007772,1.007132,1.006570,19.311121,19.686710,19.623566,19.664064,19.771582,19.764158,3.60094166e-03,3.05261440e-03,3.55167408e-03,3.58432881e-03,3.77446972e-03,3.81162600e-03,3.83093697e-03
2000,4.994094,1.510969,19.677586,19.724459,19.754261,19.752710,19.738604,19.718170,1.004153,1.006539,1.008047,1.007969,1.007248,1.006215,18.864180,19.663305,19.478848,19.557323,19.825867,19.851599,7.29026048e-03,5.76671027e-03,7.32911797e-03,7.42699299e-03,7.69430259e-03,7.79842725e-03,7.72601180e-03
2500,4.760193,1.444216,19.508089,19.717026,19.738180,19.707937,19.690430,19.683357,0.995498,1.006145,1.007209,1.005669,1.004771,1.004421,18.384560,19.620422,19.317413,19.446468,20.054796,20.008842,1.10005148e-02,8.39774869e-03,1.11856926e-02,1.13251396e-02,1.16238743e-02,1.17952256e-02,1.16754081e-02
3000,4.560558,1.386131,19.298466,19.684315,19.695559,19.641212,19.621368,19.630438,0.984794,1.004459,1.005014,1.002246,1.001226,1.001697,17.881456,19.561270,19.124187,19.335564,20.450249,20.164190,1.46070930e-02,1.08483713e-02,1.49648925e-02,1.51255075e-02,1.53732505e-02,1.57169793e-02,1.56135568e-02
3500,4.417666,1.347736,19.053318,19.645863,19.651209,19.582148,19.549278,19.572136,0.972277,1.002482,1.002733,0.999218,0.997528,0.998696,17.405846,19.503468,18.939493,19.229845,20.706562,20.299173,1.81151854e-02,1.30767366e-02,1.86606646e-02,1.88508239e-02,1.90113224e-02,1.95516013e-02,1.95399635e-02
4000,4.334506,1.320452,18.775240,19.608084,19.607790,19.531384,19.478069,19.508402,0.958080,1.000539,1.000498,0.996614,0.993873,0.995411,16.951248,19.449234,18.775484,19.130787,20.885664,20.427841,2.14728441e-02,1.50600122e-02,2.22221203e-02,2.24392395e-02,2.25053970e-02,2.32383497e-02,2.33719461e-02
4500,4.256918,1.300167,18.481499,19.572485,19.565792,19.484415,19.410748,19.444201,0.943078,0.998706,0.998340,0.994202,0.990419,0.992099,16.547031,19.395922,18.631899,19.042728,21.016975,20.560398,2.46508485e-02,1.68138035e-02,2.56187990e-02,2.58474294e-02,2.58116014e-02,2.67371126e-02,2.70763449e-02
5000,4.208143,1.282363,18.189754,19.537937,19.525469,19.440529,19.347113,19.382372,0.928178,0.996929,0.996268,0.991952,0.987154,0.988908,16.175447,19.349131,18.513641,18.968643,21.131117,20.689531,2.76250768e-02,1.83458552e-02,2.88511943e-02,2.90574133e-02,2.89082751e-02,2.99992859e-02,3.05884369e-02
