step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497674,0.497897,0.496602,0.496605,0.496247,0.496196,0.498253,0.498316,0.497265,0.497269,0.498094,0.498117,0.498481,0.498442,0.497460,0.497473,0.499326,0.499385,0.498643,0.498672,0.497768,0.497827,0.499813,0.499820,0.498454,0.498427,0.497933,0.497954,0.500350,0.500346,0.498698,0.498527,0.497950,0.497987,0.500047,0.500063
400,0.490012,0.492579,0.492416,0.492512,0.487294,0.487529,0.499572,0.497607,0.491129,0.491675,0.493782,0.493791,0.498396,0.497634,0.495778,0.496016,0.499372,0.498872,0.498936,0.498183,0.495439,0.495804,0.498380,0.498051,0.498148,0.497895,0.497442,0.497509,0.501589,0.501294,0.497974,0.497852,0.497230,0.497330,0.499821,0.499770
600,0.476430,0.483032,0.486484,0.486994,0.474503,0.476519,0.510240,0.502339,0.478399,0.479383,0.481532,0.481806,0.502197,0.497208,0.491779,0.492562,0.499790,0.498359,0.506521,0.499580,0.487528,0.488576,0.492530,0.491694,0.499153,0.497115,0.496922,0.497097,0.503921,0.503054,0.498305,0.497623,0.496546,0.496698,0.499936,0.499840
800,0.459585,0.470691,0.479122,0.480477,0.459474,0.464132,0.526424,0.509891,0.462263,0.462721,0.462583,0.462934,0.514802,0.499681,0.483295,0.484583,0.500617,0.497366,0.523772,0.506115,0.472443,0.473527,0.479277,0.477889,0.504628,0.497590,0.496224,0.496424,0.508891,0.506609,0.500119,0.497887,0.495632,0.495719,0.500157,0.499963
1000,0.444426,0.459695,0.469543,0.472173,0.444562,0.451159,0.547282,0.519527,0.448892,0.446069,0.440920,0.440794,0.531899,0.504089,0.473273,0.473999,0.503533,0.496800,0.546544,0.514965,0.456643,0.455757,0.464545,0.461573,0.514791,0.499008,0.494289,0.494306,0.516118,0.510951,0.504993,0.499620,0.495383,0.494647,0.500634,0.500163
1200,0.434145,0.451725,0.459195,0.463295,0.431774,0.439426,0.566949,0.527116,0.447299,0.435356,0.422161,0.420508,0.550159,0.509458,0.465157,0.463672,0.506084,0.494621,0.571104,0.524926,0.446660,0.439095,0.451709,0.446443,0.530814,0.503735,0.491860,0.490569,0.523330,0.514284,0.510917,0.501601,0.496555,0.494111,0.501339,0.500423
1400,0.427444,0.446401,0.449939,0.455186,0.419610,0.427051,0.586831,0.534967,0.458171,0.431600,0.408567,0.402426,0.569954,0.514995,0.459247,0.453706,0.510535,0.493182,0.597373,0.536049,0.447547,0.425654,0.440621,0.431785,0.548434,0.509257,0.490060,0.485946,0.530334,0.516768,0.519255,0.504851,0.500153,0.494469,0.502112,0.500572
1600,0.422514,0.441943,0.441483,0.447696,0.409267,0.414628,0.607617,0.543922,0.476361,0.436011,0.405753,0.387687,0.589488,0.520412,0.457449,0.444362,0.514648,0.489720,0.623215,0.546080,0.463009,0.419273,0.432684,0.417176,0.568505,0.516087,0.489087,0.479655,0.536010,0.517517,0.530254,0.509266,0.506726,0.495767,0.503212,0.500762
1800,0.419703,0.438738,0.434519,0.441063,0.403794,0.404419,0.628388,0.552049,0.495903,0.442401,0.414828,0.379155,0.610947,0.527042,0.460482,0.436589,0.520964,0.487770,0.648560,0.554156,0.482726,0.418764,0.430881,0.406183,0.590222,0.524100,0.489544,0.473344,0.540358,0.516825,0.540865,0.513282,0.515511,0.497737,0.504006,0.500639
2000,0.418137,0.436162,0.428605,0.435269,0.401886,0.395916,0.646857,0.557972,0.518332,0.452090,0.429486,0.375345,0.632040,0.532146,0.467390,0.430730,0.528846,0.486083,0.675269,0.563086,0.505524,0.422928,0.432897,0.396439,0.613172,0.532305,0.493680,0.467303,0.543254,0.514217,0.554271,0.518545,0.527129,0.500557,0.504955,0.500477
