step,train_loss,val_bpb
200,8.545899,2.262230
400,6.973869,1.998900
600,6.360272,1.894357
800,6.064281,1.837901
1000,5.892774,1.790242
1200,5.748008,1.755275
1400,5.644790,1.727159
1600,5.554841,1.705957
1800,5.487644,1.687689
