step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.out_v2d.T,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.out_v2d.T,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.out_v2d.T,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.out_v2d.T,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.out_v2d.T,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.out_v2d.T
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000
200,0.497183,0.497081,0.498455,0.498471,0.498188,0.498154,0.100412,0.499083,0.498778,0.499027,0.498997,0.498932,0.498900,0.100386,0.499503,0.499421,0.498875,0.498836,0.498816,0.498824,0.099838,0.499918,0.499918,0.498741,0.498706,0.498696,0.498710,0.099813,0.500072,0.500121,0.498584,0.498525,0.498508,0.498530,0.099850,0.499825,0.499768,0.498604,0.498536,0.498506,0.498528,0.099905
400,0.488256,0.488083,0.498307,0.498389,0.493051,0.492364,0.102367,0.497086,0.494795,0.497444,0.497265,0.496515,0.496466,0.101937,0.499426,0.498399,0.497804,0.497557,0.496317,0.495970,0.100919,0.500363,0.499371,0.497976,0.497672,0.497215,0.497404,0.099975,0.500438,0.500618,0.497259,0.496844,0.496185,0.495938,0.099642,0.500325,0.499959,0.496648,0.496351,0.496226,0.496845,0.099732
600,0.472833,0.472631,0.497433,0.497684,0.482914,0.481709,0.105235,0.498148,0.489694,0.494842,0.494391,0.490982,0.491112,0.103573,0.500126,0.496770,0.495441,0.494503,0.491848,0.491143,0.102321,0.502645,0.500346,0.498377,0.497520,0.495711,0.495507,0.100717,0.503306,0.502903,0.497737,0.497133,0.495818,0.494219,0.100235,0.503450,0.502252,0.495638,0.494809,0.494246,0.493161,0.099708
800,0.450364,0.450089,0.490923,0.491269,0.465282,0.463660,0.108968,0.502813,0.482331,0.491055,0.490332,0.484605,0.484915,0.105611,0.503598,0.496699,0.492109,0.490548,0.486039,0.484930,0.103992,0.505982,0.501917,0.499467,0.497961,0.495750,0.495263,0.102197,0.504968,0.503937,0.500888,0.499612,0.497606,0.495500,0.100866,0.505483,0.504422,0.497729,0.496579,0.495698,0.491979,0.100091
1000,0.425148,0.424772,0.479760,0.480107,0.442604,0.440020,0.113398,0.515360,0.474260,0.485719,0.484731,0.476565,0.476910,0.108271,0.507476,0.494974,0.487725,0.485573,0.479443,0.477437,0.105724,0.510714,0.505103,0.500102,0.497985,0.495372,0.494792,0.103366,0.505034,0.504285,0.504213,0.502450,0.499824,0.497433,0.101919,0.504251,0.502636,0.500109,0.498860,0.497774,0.492907,0.100825
1200,0.402639,0.402092,0.468689,0.469062,0.420176,0.416285,0.118527,0.533764,0.466211,0.479696,0.478349,0.466841,0.467302,0.111165,0.512823,0.494179,0.482792,0.480043,0.470802,0.467778,0.108717,0.514540,0.507648,0.498958,0.496298,0.494771,0.494224,0.104718,0.509839,0.507747,0.507127,0.505045,0.501885,0.499064,0.103117,0.505709,0.503719,0.503066,0.501869,0.500795,0.495148,0.101991
1400,0.383039,0.382107,0.455450,0.455955,0.401802,0.395495,0.123495,0.555387,0.461140,0.474447,0.472687,0.457956,0.458300,0.114487,0.519021,0.494061,0.477675,0.474658,0.464235,0.459858,0.111767,0.517382,0.509727,0.497987,0.495054,0.494617,0.493943,0.105403,0.513666,0.510651,0.509614,0.507405,0.504117,0.500827,0.104099,0.506994,0.503401,0.506515,0.505051,0.503937,0.497244,0.102225
1600,0.364830,0.363442,0.441951,0.442576,0.385965,0.376478,0.128839,0.578691,0.456594,0.469324,0.467037,0.448237,0.448338,0.117921,0.525495,0.491840,0.471376,0.468165,0.456106,0.450246,0.115362,0.519084,0.509277,0.495704,0.492456,0.493991,0.493221,0.106003,0.514350,0.511101,0.511915,0.509500,0.505890,0.502231,0.104616,0.508192,0.504145,0.509054,0.507602,0.506542,0.498856,0.102361
1800,0.349298,0.347197,0.427015,0.427738,0.374609,0.361092,0.134185,0.602775,0.453084,0.465178,0.462292,0.440187,0.439958,0.121203,0.531272,0.490297,0.466045,0.462468,0.449503,0.442066,0.119306,0.521236,0.510081,0.496133,0.492445,0.493968,0.493014,0.106330,0.514230,0.511294,0.514158,0.511669,0.507975,0.503999,0.105088,0.505642,0.501663,0.511679,0.510129,0.509116,0.500247,0.102233
