step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498288,0.498197,0.498403,0.498394,0.498350,0.498279,0.499499,0.499591,0.500091,0.500041,0.502209,0.502037,0.499426,0.499455,0.501355,0.501333,0.502719,0.502718,0.500018,0.500165,0.499293,0.499256,0.502524,0.502322,0.499496,0.499639,0.501845,0.501832,0.502661,0.502655,0.500012,0.500131,0.501760,0.501764,0.502806,0.502789
400,0.488111,0.488010,0.489933,0.489704,0.489200,0.489276,0.496000,0.495678,0.499444,0.499298,0.505169,0.504587,0.500161,0.499604,0.502689,0.501859,0.513062,0.512660,0.500574,0.500306,0.496825,0.496563,0.511924,0.510745,0.498821,0.499148,0.506450,0.506347,0.513178,0.512911,0.499032,0.499388,0.500350,0.500136,0.512923,0.512586
600,0.472207,0.472096,0.482562,0.480933,0.476091,0.476452,0.487994,0.487232,0.496173,0.495339,0.507586,0.506079,0.501697,0.500992,0.502863,0.500216,0.528054,0.527381,0.498750,0.498577,0.491200,0.489828,0.528623,0.521792,0.497399,0.498576,0.499206,0.497959,0.528234,0.528213,0.497669,0.498055,0.489412,0.488831,0.528590,0.528387
800,0.452971,0.452764,0.477781,0.474284,0.459874,0.460428,0.477031,0.473171,0.492243,0.490125,0.506254,0.503941,0.502275,0.501599,0.503719,0.500071,0.543707,0.542319,0.500752,0.500438,0.489325,0.483838,0.546210,0.537564,0.496013,0.497478,0.496709,0.491672,0.542738,0.542592,0.496905,0.497416,0.481326,0.478832,0.548655,0.548773
1000,0.428848,0.428513,0.471647,0.465910,0.440339,0.440862,0.467837,0.457689,0.488142,0.483981,0.499736,0.496710,0.505035,0.504077,0.504726,0.500386,0.556944,0.555236,0.500498,0.501385,0.491781,0.482086,0.560843,0.548977,0.493289,0.495086,0.501416,0.488715,0.557396,0.549506,0.495478,0.495842,0.483756,0.472646,0.567560,0.565849
1200,0.405451,0.405024,0.462436,0.454200,0.419368,0.419602,0.460657,0.441882,0.482579,0.477619,0.491630,0.487713,0.507162,0.505910,0.505293,0.500225,0.570667,0.565520,0.498910,0.499686,0.496922,0.482742,0.571962,0.554550,0.491322,0.494045,0.508751,0.490050,0.570525,0.553748,0.496655,0.497013,0.490285,0.470543,0.580024,0.571229
1400,0.384281,0.383661,0.451365,0.440456,0.399210,0.399060,0.463800,0.428199,0.477048,0.470427,0.484097,0.479289,0.509344,0.507802,0.506894,0.500539,0.588929,0.575820,0.498629,0.499278,0.503057,0.483547,0.582964,0.559078,0.490663,0.493804,0.516219,0.491471,0.583540,0.556130,0.496134,0.496378,0.496043,0.470422,0.592920,0.573980
1600,0.364795,0.363886,0.439236,0.425955,0.380351,0.379680,0.470454,0.415375,0.471134,0.462958,0.476432,0.470927,0.509506,0.507849,0.508201,0.500908,0.606603,0.585103,0.497893,0.498903,0.509820,0.485256,0.590919,0.562801,0.489702,0.492795,0.524973,0.493662,0.597517,0.558232,0.493850,0.494034,0.504526,0.470993,0.604779,0.576146
1800,0.348194,0.346670,0.423975,0.408534,0.363379,0.361867,0.483749,0.406103,0.462628,0.453300,0.469732,0.463531,0.510628,0.508864,0.508304,0.500083,0.618927,0.591493,0.499025,0.500304,0.517325,0.487348,0.597074,0.565838,0.487091,0.492458,0.537803,0.498008,0.607587,0.559878,0.492543,0.492858,0.509755,0.471711,0.614763,0.577770
